Date,Price,Open,High,Low,Vol.
2020-03-12,2.58,2.6,2.6,2.58,22000.0
2020-03-10,2.61,2.63,2.63,2.61,11000.0
2020-03-09,2.61,2.65,2.65,2.61,38000.0
2020-02-27,2.75,2.75,2.75,2.73,44100.0
2020-02-26,2.6,2.5,2.6,2.5,11500.0
2020-02-25,2.65,2.65,2.65,2.65,1000.0
2020-02-24,2.7,2.7,2.7,2.7,11800.0
2020-02-10,2.74,2.75,2.75,2.74,7300.0
2020-02-07,2.66,2.71,2.71,2.66,17000.0
2020-02-06,2.65,2.65,2.65,2.65,5000.0
2020-02-04,2.58,2.58,2.58,2.58,1000.0
2020-02-03,2.65,2.66,2.66,2.65,26000.0
2020-01-20,2.6,2.6,2.6,2.6,1600.0
2020-01-17,2.6,2.65,2.65,2.6,8400.0
2020-01-16,2.65,2.65,2.65,2.65,5000.0
2020-01-15,2.65,2.65,2.65,2.65,2000.0
2020-01-14,2.66,2.66,2.68,2.66,28400.0
2020-01-13,2.69,2.67,2.69,2.67,50000.0
2020-01-10,2.66,2.65,2.67,2.65,22100.0
2020-01-09,2.65,2.65,2.7,2.65,24400.0
2020-01-07,2.68,2.65,2.68,2.62,7200.0
2020-01-02,2.73,2.73,2.73,2.73,20000.0
2019-12-31,2.79,2.79,2.79,2.79,1000.0
2019-12-30,2.79,2.69,2.79,2.69,61400.0
2019-12-27,2.64,2.59,2.64,2.59,8200.0
2019-12-26,2.53,2.53,2.53,2.53,100.0
2019-12-24,2.58,2.58,2.58,2.58,13000.0
2019-12-20,2.52,2.52,2.52,2.52,1000.0
2019-12-19,2.63,2.63,2.63,2.63,20000.0
2019-12-18,2.62,2.52,2.62,2.52,6000.0
2019-12-16,2.63,2.63,2.63,2.63,29200.0
2019-12-11,2.6,2.63,2.63,2.6,9000.0
2019-12-09,2.6,2.65,2.7,2.6,14000.0
2019-12-05,2.61,2.61,2.61,2.61,8000.0
2019-12-02,2.58,2.58,2.58,2.58,2100.0
2019-11-25,2.61,2.6,2.61,2.6,20500.0
2019-11-22,2.6,2.6,2.6,2.6,25000.0
2019-11-15,2.5,2.51,2.51,2.5,1200.0
2019-11-12,2.55,2.55,2.55,2.55,4500.0
2019-11-11,2.44,2.6,2.6,2.44,53200.0
2019-11-07,2.6,2.65,2.65,2.6,15600.0
2019-11-06,2.65,2.65,2.65,2.65,27000.0
2019-11-05,2.65,2.65,2.65,2.65,26000.0
2019-11-04,2.65,2.65,2.65,2.65,27700.0
2019-11-01,2.65,2.65,2.65,2.65,27000.0
2019-10-31,2.65,2.65,2.65,2.65,28000.0
2019-10-30,2.65,2.65,2.65,2.65,19000.0
2019-10-29,2.65,2.65,2.65,2.65,10000.0
2019-10-23,2.65,2.65,2.65,2.65,19800.0
2019-10-22,2.65,2.65,2.65,2.65,13000.0
2019-10-21,2.65,2.65,2.65,2.64,79000.0
2019-10-17,2.65,2.65,2.65,2.65,24700.0
2019-10-16,2.65,2.65,2.65,2.65,10000.0
2019-10-14,2.68,2.69,2.69,2.68,82000.0
2019-10-10,2.65,2.65,2.65,2.65,9200.0
2019-10-09,2.6,2.6,2.6,2.6,1000.0
2019-10-03,2.67,2.67,2.67,2.67,6000.0
2019-10-01,2.67,2.67,2.67,2.67,7000.0
2019-09-30,2.68,2.68,2.68,2.68,28100.0
2019-09-26,2.71,2.69,2.71,2.69,21800.0
2019-09-25,2.69,2.69,2.69,2.69,19000.0
2019-09-24,2.69,2.69,2.69,2.69,44600.0
2019-09-23,2.69,2.69,2.69,2.69,106800.0
2019-09-18,2.69,2.69,2.69,2.69,41900.0
2019-09-17,2.69,2.69,2.69,2.69,3500.0
2019-09-12,2.7,2.65,2.7,2.65,85000.0
2019-09-11,2.68,2.68,2.68,2.68,9000.0
2019-09-06,2.68,2.68,2.68,2.68,19800.0
2019-09-05,2.68,2.68,2.68,2.68,30800.0
2019-09-04,2.68,2.67,2.69,2.67,28600.0
2019-08-30,2.55,2.55,2.55,2.55,200.0
2019-08-26,2.68,2.68,2.68,2.68,10000.0
2019-08-23,2.66,2.66,2.66,2.66,29400.0
2019-08-22,2.68,2.68,2.68,2.68,7500.0
2019-08-20,2.65,2.65,2.65,2.65,12000.0
2019-08-15,2.51,2.51,2.51,2.51,100.0
2019-08-09,2.69,2.58,2.69,2.58,5300.0
2019-08-08,2.58,2.58,2.58,2.58,400.0
2019-08-06,2.67,2.59,2.67,2.59,16600.0
2019-08-05,2.67,2.67,2.67,2.67,5000.0
2019-07-31,2.67,2.67,2.67,2.67,46200.0
2019-07-26,2.71,2.7,2.71,2.7,30000.0
2019-07-25,2.7,2.7,2.7,2.7,10000.0
2019-07-19,2.71,2.68,2.71,2.68,35000.0
2019-07-18,2.68,2.68,2.68,2.68,13100.0
2019-07-12,2.62,2.62,2.62,2.62,1100.0
2019-07-10,2.65,2.62,2.65,2.62,20500.0
2019-07-08,2.62,2.62,2.62,2.62,1000.0
2019-07-05,2.62,2.62,2.62,2.62,500.0
2019-07-02,2.62,2.61,2.62,2.61,19700.0
2019-06-20,2.6,2.6,2.6,2.6,15000.0
2019-06-19,2.6,2.6,2.6,2.6,36900.0
2019-06-18,2.6,2.54,2.6,2.54,22400.0
2019-06-17,2.6,2.59,2.6,2.58,12600.0
2019-06-14,2.61,2.65,2.65,2.6,13000.0
2019-06-13,2.6,2.6,2.61,2.6,7000.0
2019-06-07,2.53,2.61,2.65,2.53,105800.0
2019-06-04,2.7,2.65,2.73,2.65,4000.0
2019-05-31,2.7,2.7,2.7,2.7,7000.0
2019-05-30,2.62,2.62,2.62,2.62,8400.0
2019-05-29,2.65,2.7,2.7,2.52,48900.0
2019-05-28,2.72,2.72,2.72,2.72,10000.0
2019-05-27,2.72,2.72,2.72,2.72,24800.0
2019-05-24,2.74,2.74,2.74,2.74,70000.0
2019-05-23,2.75,2.77,2.78,2.75,79700.0
2019-05-13,2.77,2.78,2.78,2.77,10000.0
2019-05-10,2.73,2.78,2.78,2.73,18400.0
2019-05-07,2.8,2.86,2.86,2.8,5000.0
2019-05-06,2.86,2.86,2.86,2.86,1000.0
2019-04-30,2.86,2.82,2.86,2.82,115000.0
2019-04-25,2.79,2.8,2.8,2.79,60600.0
2019-04-23,2.82,2.79,2.82,2.79,7600.0
2019-04-22,2.79,2.79,2.79,2.79,24000.0
2019-04-19,2.81,2.8,2.81,2.79,12400.0
2019-04-17,2.8,2.7,2.8,2.7,5000.0
2019-04-15,2.81,2.82,2.82,2.75,9600.0
2019-04-11,2.81,2.68,2.81,2.68,9600.0
2019-04-10,2.8,2.8,2.8,2.8,21300.0
2019-04-09,2.8,2.8,2.81,2.8,44300.0
2019-04-04,2.67,2.67,2.67,2.67,2000.0
2019-04-01,2.65,2.84,2.84,2.65,43300.0
2019-03-20,2.76,2.76,2.76,2.76,4000.0
2019-03-19,2.76,2.76,2.76,2.76,5300.0
2019-03-18,2.74,2.62,2.74,2.61,18800.0
2019-03-14,2.61,2.66,2.66,2.61,7700.0
2019-03-07,2.78,2.8,2.8,2.78,1200.0
2019-03-06,2.8,2.8,2.8,2.8,6000.0
2019-03-05,2.8,2.77,2.8,2.77,5000.0
2019-03-01,2.77,2.8,2.8,2.77,47800.0
2019-02-27,2.71,2.82,2.82,2.71,42800.0
2019-02-25,2.83,2.75,2.83,2.75,124100.0
2019-02-22,2.75,2.75,2.75,2.75,4200.0
2019-02-21,2.9,2.85,2.9,2.85,58500.0
2019-02-20,2.82,2.82,2.82,2.82,1500.0
2019-02-19,2.8,2.8,2.8,2.8,11200.0
2019-02-18,2.76,2.8,2.8,2.76,7000.0
2019-02-15,2.86,2.86,2.86,2.86,200.0
2019-02-14,2.86,2.85,2.86,2.85,2000.0
2019-02-13,2.8,2.8,2.8,2.8,16200.0
2019-02-12,2.7,2.7,2.7,2.7,1000.0
2019-02-11,2.82,2.75,2.82,2.75,14200.0
2019-02-07,2.8,2.75,2.8,2.75,7600.0
2019-01-31,2.75,2.75,2.75,2.75,5000.0
2019-01-28,2.79,2.77,2.8,2.77,37800.0
2019-01-25,2.77,2.9,2.9,2.75,14400.0
2019-01-23,2.82,2.82,2.82,2.82,1000.0
2019-01-22,2.8,2.8,2.8,2.8,7300.0
2019-01-18,2.8,2.85,2.85,2.8,22100.0
2019-01-16,2.8,2.8,2.8,2.8,11000.0
2019-01-14,2.79,2.88,2.88,2.79,13800.0
2019-01-09,2.8,2.76,2.8,2.76,18100.0
2019-01-08,2.8,2.8,2.8,2.76,20000.0
2019-01-07,2.8,2.8,2.8,2.8,4200.0
2019-01-04,2.76,2.8,2.8,2.76,13000.0
