Date,Price,Open,High,Low,Vol.
2020-03-13,0.68,0.66,0.69,0.61,10300000.0
2020-03-12,0.685,0.655,0.69,0.61,24710000.0
2020-03-11,0.66,0.67,0.675,0.635,27570000.0
2020-03-10,0.67,0.65,0.69,0.63,16750000.0
2020-03-09,0.66,0.735,0.735,0.655,21340000.0
2020-03-06,0.73,0.725,0.76,0.72,18720000.0
2020-03-05,0.725,0.705,0.735,0.705,16370000.000000002
2020-03-04,0.7,0.72,0.745,0.695,21340000.0
2020-03-03,0.72,0.75,0.76,0.71,16970000.0
2020-03-02,0.75,0.71,0.755,0.68,16329999.999999998
2020-02-28,0.725,0.775,0.79,0.725,20600000.0
2020-02-27,0.78,0.76,0.79,0.755,17610000.0
2020-02-26,0.76,0.745,0.77,0.74,12360000.0
2020-02-25,0.74,0.755,0.78,0.74,18650000.0
2020-02-24,0.76,0.72,0.76,0.715,15850000.0
2020-02-21,0.725,0.685,0.73,0.68,18150000.0
2020-02-20,0.685,0.675,0.7,0.675,15090000.0
2020-02-19,0.675,0.655,0.68,0.65,13240000.0
2020-02-18,0.655,0.675,0.685,0.65,14670000.0
2020-02-17,0.675,0.665,0.7,0.66,16160000.0
2020-02-14,0.665,0.645,0.67,0.64,7670000.0
2020-02-13,0.65,0.655,0.66,0.635,14000000.0
2020-02-12,0.655,0.645,0.68,0.645,19730000.0
2020-02-11,0.645,0.64,0.66,0.63,9330000.0
2020-02-10,0.645,0.635,0.655,0.635,8520000.0
2020-02-07,0.635,0.62,0.645,0.62,16710000.0
2020-02-06,0.62,0.605,0.635,0.605,13000000.0
2020-02-05,0.605,0.625,0.63,0.605,15910000.0
2020-02-04,0.625,0.625,0.63,0.62,14420000.0
2020-02-03,0.62,0.625,0.645,0.615,15640000.0
2020-01-31,0.63,0.645,0.655,0.63,12840000.0
2020-01-30,0.65,0.635,0.655,0.635,12970000.0
2020-01-29,0.635,0.625,0.645,0.62,14250000.0
2020-01-28,0.63,0.675,0.695,0.63,15290000.0
2020-01-24,0.68,0.65,0.68,0.65,16629999.999999998
2020-01-23,0.655,0.65,0.665,0.65,15170000.0
2020-01-22,0.655,0.645,0.66,0.635,16469999.999999998
2020-01-21,0.645,0.655,0.67,0.645,15640000.0
2020-01-20,0.655,0.625,0.665,0.625,17960000.0
2020-01-17,0.62,0.615,0.63,0.61,20340000.0
2020-01-16,0.615,0.6,0.615,0.58,12970000.0
2020-01-15,0.595,0.605,0.63,0.585,19850000.0
2020-01-14,0.6,0.535,0.615,0.535,24290000.0
2020-01-13,0.535,0.525,0.54,0.52,18680000.0
2020-01-10,0.52,0.555,0.565,0.52,17320000.0
2020-01-09,0.55,0.525,0.565,0.525,21630000.0
2020-01-08,0.525,0.525,0.55,0.515,20050000.0
2020-01-07,0.525,0.515,0.555,0.51,22090000.0
2020-01-06,0.515,0.505,0.53,0.5,20130000.0
2020-01-03,0.51,0.5,0.515,0.49,19940000.0
2020-01-02,0.5,0.5,0.52,0.49,19130000.0
2019-12-31,0.505,0.465,0.505,0.45,23320000.0
2019-12-30,0.465,0.455,0.475,0.455,18800000.0
2019-12-27,0.455,0.49,0.5,0.45,19510000.0
2019-12-26,0.49,0.465,0.49,0.46,17400000.0
2019-12-24,0.465,0.47,0.48,0.455,22690000.0
2019-12-23,0.465,0.45,0.485,0.45,21580000.0
2019-12-20,0.445,0.45,0.45,0.435,15310000.0
2019-12-19,0.445,0.425,0.45,0.425,16649999.999999998
2019-12-18,0.425,0.45,0.46,0.42,20130000.0
2019-12-17,0.455,0.425,0.46,0.425,19170000.0
2019-12-16,0.425,0.445,0.465,0.425,20780000.0
2019-12-13,0.445,0.435,0.45,0.435,19240000.0
2019-12-12,0.435,0.43,0.45,0.43,22690000.0
2019-12-11,0.425,0.41,0.455,0.405,19670000.0
2019-12-10,0.41,0.38,0.42,0.38,26180000.0
2019-12-09,0.38,0.38,0.435,0.37,23210000.0
2019-12-06,0.38,0.37,0.39,0.37,19030000.0
2019-12-05,0.37,0.37,0.395,0.365,23390000.0
2019-12-04,0.37,0.36,0.37,0.36,16680000.0
2019-12-03,0.355,0.36,0.37,0.355,17050000.0
2019-12-02,0.365,0.365,0.37,0.355,14670000.0
2019-11-29,0.36,0.365,0.37,0.35,13840000.0
2019-11-28,0.365,0.355,0.37,0.35,11590000.0
2019-11-27,0.355,0.34,0.36,0.34,16219999.999999998
2019-11-26,0.34,0.34,0.35,0.34,11740000.0
2019-11-25,0.34,0.34,0.345,0.335,4440000.0
2019-11-22,0.34,0.34,0.34,0.335,10530000.0
2019-11-21,0.34,0.335,0.34,0.335,7740000.0
2019-11-20,0.335,0.35,0.35,0.335,11780000.0
2019-11-19,0.35,0.35,0.355,0.345,11070000.0
2019-11-18,0.345,0.35,0.355,0.345,15030000.0
2019-11-15,0.345,0.345,0.355,0.345,9550000.0
2019-11-14,0.345,0.34,0.345,0.335,15680000.0
2019-11-13,0.34,0.34,0.345,0.335,9010000.0
2019-11-12,0.34,0.345,0.355,0.34,7950000.0
2019-11-11,0.345,0.36,0.36,0.345,15670000.0
2019-11-08,0.365,0.37,0.37,0.36,10900000.0
2019-11-07,0.365,0.37,0.38,0.365,8289999.999999999
2019-11-06,0.37,0.38,0.39,0.365,22050000.0
2019-11-05,0.385,0.38,0.39,0.375,19600000.0
2019-11-04,0.38,0.375,0.39,0.375,5240000.0
2019-11-01,0.38,0.39,0.39,0.375,24680000.0
2019-10-31,0.39,0.38,0.405,0.38,17970000.0
2019-10-30,0.375,0.385,0.39,0.375,12870000.0
2019-10-29,0.385,0.375,0.395,0.375,17810000.0
2019-10-25,0.375,0.36,0.385,0.36,16620000.000000002
2019-10-24,0.36,0.375,0.38,0.36,12060000.0
2019-10-23,0.375,0.37,0.39,0.365,21690000.0
2019-10-22,0.37,0.39,0.395,0.37,14150000.0
2019-10-21,0.39,0.385,0.4,0.38,12510000.0
2019-10-18,0.38,0.38,0.41,0.37,18620000.0
2019-10-17,0.38,0.38,0.395,0.375,9090000.0
2019-10-16,0.38,0.365,0.385,0.365,14480000.0
2019-10-15,0.36,0.36,0.37,0.36,4540000.0
2019-10-14,0.36,0.365,0.37,0.36,8680000.0
2019-10-11,0.365,0.36,0.38,0.36,13090000.0
2019-10-10,0.36,0.36,0.365,0.355,2880000.0
2019-10-09,0.36,0.355,0.365,0.355,12770000.0
2019-10-08,0.355,0.35,0.37,0.35,7740000.0
2019-10-07,0.345,0.34,0.355,0.34,5010000.0
2019-10-04,0.34,0.355,0.355,0.34,11770000.0
2019-10-03,0.355,0.35,0.36,0.35,8400000.0
2019-10-02,0.35,0.36,0.36,0.35,2340000.0
2019-10-01,0.36,0.36,0.365,0.355,10200000.0
2019-09-30,0.36,0.36,0.365,0.355,4970000.0
2019-09-27,0.365,0.36,0.365,0.36,1890000.0
2019-09-26,0.365,0.365,0.37,0.36,3490000.0
2019-09-25,0.365,0.355,0.365,0.355,2040000.0
2019-09-24,0.36,0.36,0.365,0.355,1640000.0
2019-09-23,0.365,0.36,0.365,0.355,2820000.0
2019-09-20,0.365,0.37,0.37,0.355,4360000.0
2019-09-19,0.365,0.36,0.365,0.355,8390000.0
2019-09-18,0.355,0.35,0.365,0.35,9060000.0
2019-09-17,0.35,0.35,0.36,0.345,7380000.0
