Date,Price,Open,High,Low,Vol.
2020-03-13,28.7,29.0,29.0,28.1,111900.0
2020-03-12,29.7,29.42,29.98,29.22,152600.0
2020-03-11,29.92,29.42,30.06,29.12,205200.0
2020-03-10,29.4,30.0,30.5,29.32,256600.00000000003
2020-03-09,30.5,30.48,30.7,29.7,161500.0
2020-03-06,30.52,31.88,31.88,30.52,172200.0
2020-03-05,32.0,31.38,32.0,31.38,55000.0
2020-03-04,31.4,31.02,31.4,30.04,94500.0
2020-03-03,31.02,31.08,31.54,30.48,108900.0
2020-03-02,31.0,30.72,31.7,30.5,189100.0
2020-02-28,30.72,30.38,31.0,30.04,304800.0
2020-02-27,31.3,31.76,31.76,30.92,127900.0
2020-02-26,31.14,30.42,31.34,30.04,183900.0
2020-02-25,31.36,30.0,31.68,29.3,151300.0
2020-02-24,30.3,30.2,30.54,29.64,185800.0
2020-02-21,30.54,31.72,32.08,30.22,162800.0
2020-02-20,31.7,32.7,33.7,31.48,116700.0
2020-02-19,33.5,33.48,33.5,32.36,25100.0
2020-02-18,32.94,33.0,33.1,32.8,57600.0
2020-02-17,33.24,33.3,33.42,33.24,98800.0
2020-02-14,33.5,33.5,34.38,33.3,60700.0
2020-02-13,34.4,33.58,34.4,33.42,58200.0
2020-02-12,33.78,33.34,34.0,33.02,206300.0
2020-02-11,33.38,33.0,33.38,33.0,50300.0
2020-02-10,33.5,33.2,33.5,33.12,143300.0
2020-02-07,33.2,33.08,33.36,33.08,84700.0
2020-02-06,33.1,33.08,33.78,33.08,65400.00000000001
2020-02-05,33.08,33.5,33.5,32.96,118200.0
2020-02-04,32.94,32.9,32.96,32.84,435100.0
2020-02-03,32.44,32.0,32.9,31.9,113800.0
2020-01-31,32.86,32.52,33.0,32.52,104900.0
2020-01-30,33.0,31.98,33.0,31.98,52100.0
2020-01-29,31.96,32.0,32.3,31.78,125900.0
2020-01-28,32.08,33.0,33.02,31.78,496900.0
2020-01-24,33.0,33.0,33.0,33.0,200.0
2020-01-23,33.5,33.36,33.92,33.36,94500.0
2020-01-22,33.38,32.78,33.48,32.78,85000.0
2020-01-21,33.2,33.3,33.3,33.04,104500.0
2020-01-20,33.3,33.32,33.32,33.2,824300.0
2020-01-17,33.32,33.26,33.88,33.26,821700.0
2020-01-16,33.26,33.32,33.34,33.0,245700.0
2020-01-15,33.4,33.5,33.5,33.3,563600.0
2020-01-14,33.5,33.5,33.58,33.34,41900.0
2020-01-13,33.5,33.76,33.76,33.36,72900.0
2020-01-10,33.78,33.8,33.8,33.66,164500.0
2020-01-09,33.8,33.6,34.0,33.6,96600.0
2020-01-08,33.7,34.4,34.4,33.6,264200.0
2020-01-07,34.4,34.3,34.4,34.2,82400.0
2020-01-06,34.3,34.0,34.46,34.0,289500.0
2020-01-03,34.58,34.36,34.84,34.2,129800.00000000001
2020-01-02,34.36,34.3,34.7,34.28,3700.0
2019-12-31,34.84,33.78,34.84,33.78,450700.0
2019-12-30,34.0,34.2,34.58,33.7,61900.0
2019-12-27,34.58,34.2,34.58,33.9,49200.0
2019-12-26,34.2,34.24,34.48,34.18,9800.0
2019-12-24,34.68,34.4,34.78,34.22,11500.0
2019-12-23,34.66,34.74,34.82,34.32,33600.0
2019-12-20,34.84,34.42,34.84,34.16,212000.0
2019-12-19,34.46,34.04,34.74,34.02,47000.0
2019-12-18,34.8,34.0,34.8,33.38,86800.0
2019-12-17,33.34,33.8,33.8,33.28,291800.0
2019-12-16,33.34,34.2,34.2,33.2,86500.0
2019-12-13,34.1,33.88,34.38,33.88,79200.0
2019-12-12,34.0,34.08,34.12,34.0,120100.0
2019-12-11,34.08,34.0,34.24,34.0,109800.0
2019-12-10,34.0,34.4,34.4,34.0,250300.0
2019-12-09,34.12,34.32,34.34,34.0,62800.0
2019-12-06,34.0,34.22,34.36,33.84,44800.0
2019-12-05,34.5,34.4,34.5,34.4,15400.0
2019-12-04,34.5,34.2,34.78,33.92,240000.0
2019-12-03,34.3,34.5,34.64,34.3,92900.0
2019-12-02,34.78,34.84,34.84,34.76,109600.0
2019-11-29,34.74,34.96,34.96,34.64,52100.0
2019-11-28,34.64,34.64,34.78,34.6,177300.0
2019-11-27,34.66,34.96,35.0,34.46,80200.0
2019-11-26,34.78,34.82,34.82,34.5,819100.0
2019-11-25,34.58,34.5,34.74,34.42,177000.0
2019-11-22,34.66,34.8,34.8,34.66,35000.0
2019-11-21,34.66,34.6,34.74,34.58,254000.0
2019-11-20,34.82,34.84,34.88,34.5,711600.0
2019-11-19,34.84,34.84,34.84,34.58,227400.0
2019-11-18,34.84,34.62,34.9,34.62,185900.0
2019-11-15,34.86,34.6,34.86,34.42,55100.0
2019-11-14,34.6,34.78,34.78,34.56,643900.0
2019-11-13,34.78,34.98,34.98,34.58,762000.0
2019-11-12,34.6,35.2,35.2,34.5,374300.0
2019-11-11,35.0,34.66,35.0,34.6,673500.0
2019-11-08,34.64,34.66,34.96,34.64,78600.0
2019-11-07,34.9,34.7,35.1,34.7,372700.0
2019-11-06,35.3,35.68,35.68,35.02,135100.0
2019-11-05,35.06,35.06,35.08,35.0,117800.0
2019-11-04,35.06,35.08,35.1,35.0,138300.0
2019-11-01,35.2,34.58,35.3,34.58,211100.0
2019-10-31,34.58,34.6,34.9,34.5,273000.0
2019-10-30,34.62,34.9,34.9,34.58,187600.0
2019-10-29,34.6,34.9,34.9,34.22,340000.0
2019-10-25,34.58,34.88,34.88,34.22,360900.0
2019-10-24,34.6,34.6,34.62,34.58,149900.0
2019-10-23,34.62,34.5,34.62,34.34,633600.0
2019-10-22,34.54,34.26,34.58,34.26,410900.0
2019-10-21,34.36,34.2,34.9,34.18,200500.0
2019-10-18,35.2,34.8,35.2,34.8,196100.0
