Date,Price,Open,High,Low,Vol.
2020-03-13,2.88,3.2,3.2,2.88,9790000.0
2020-03-12,3.3,3.29,3.33,3.2,7040000.0
2020-03-11,3.29,3.24,3.38,3.24,8920000.0
2020-03-10,3.22,3.14,3.23,3.06,7630000.0
2020-03-09,3.18,3.24,3.24,3.13,7110000.0
2020-03-06,3.33,3.43,3.43,3.33,5060000.0
2020-03-05,3.45,3.31,3.45,3.3,15100000.0
2020-03-04,3.3,3.17,3.36,3.13,12470000.0
2020-03-03,3.14,3.24,3.27,3.03,11690000.0
2020-03-02,3.19,3.25,3.25,3.17,16670000.000000002
2020-02-28,3.31,3.53,3.55,3.22,22810000.0
2020-02-27,3.61,3.58,3.63,3.56,5600000.0
2020-02-26,3.59,3.6,3.66,3.56,12030000.0
2020-02-25,3.62,3.5,3.66,3.46,12940000.0
2020-02-24,3.51,3.75,3.75,3.42,41400000.0
2020-02-21,3.98,4.01,4.03,3.98,1250000.0
2020-02-20,4.04,4.02,4.07,4.02,2110000.0
2020-02-19,4.05,4.07,4.07,4.0,3980000.0
2020-02-18,4.07,4.09,4.13,4.02,3170000.0
2020-02-17,4.09,4.09,4.13,4.02,2970000.0
2020-02-14,4.09,4.03,4.1,3.97,4960000.0
2020-02-13,4.05,3.94,4.08,3.88,7770000.0
2020-02-12,3.94,3.9,3.95,3.89,3410000.0
2020-02-11,3.91,3.91,3.94,3.88,3100000.0
2020-02-10,3.91,3.95,3.95,3.89,1340000.0
2020-02-07,3.98,3.96,3.99,3.95,5250000.0
2020-02-06,3.96,4.0,4.01,3.96,6880000.0
2020-02-05,4.0,3.97,4.05,3.96,6610000.0
2020-02-04,3.96,3.88,3.99,3.88,2840000.0
2020-02-03,3.84,3.79,3.87,3.75,7140000.0
2020-01-31,3.86,3.99,3.99,3.8,5830000.0
2020-01-30,4.0,3.97,4.02,3.94,1980000.0
2020-01-29,3.97,4.02,4.1,3.95,3940000.0
2020-01-28,4.02,3.99,4.04,3.92,2550000.0
2020-01-24,4.04,4.03,4.04,3.95,951000.0
2020-01-23,4.09,4.08,4.13,4.02,3620000.0
2020-01-22,4.09,4.11,4.17,4.07,2310000.0
2020-01-21,4.12,4.14,4.16,4.1,3820000.0
2020-01-20,4.11,4.1,4.23,4.06,8199999.999999999
2020-01-17,4.1,4.05,4.3,4.02,14330000.0
2020-01-16,4.05,3.92,4.05,3.92,3580000.0
2020-01-15,3.9,4.0,4.05,3.88,10190000.0
2020-01-14,3.99,3.99,4.02,3.99,4610000.0
2020-01-13,3.99,4.0,4.0,3.96,1460000.0
2020-01-10,4.0,4.0,4.02,3.96,1790000.0
2020-01-09,4.0,4.04,4.04,3.98,2190000.0
2020-01-08,4.05,4.0,4.08,4.0,3660000.0
2020-01-07,4.03,4.03,4.07,4.0,2130000.0
2020-01-06,4.03,4.07,4.08,4.0,2520000.0
2020-01-03,4.07,3.92,4.09,3.92,7520000.0
2020-01-02,3.9,3.9,3.92,3.86,424000.0
2019-12-31,3.9,3.85,3.93,3.83,2730000.0
2019-12-30,3.85,3.9,3.93,3.85,1700000.0
2019-12-27,3.88,3.89,3.93,3.88,1100000.0
2019-12-26,3.89,3.9,3.92,3.89,448600.0
2019-12-24,3.93,3.9,3.93,3.9,263700.0
2019-12-23,3.94,3.86,3.94,3.86,1110000.0
2019-12-20,3.94,3.86,3.94,3.86,5620000.0
2019-12-19,3.88,3.94,3.94,3.85,3070000.0
2019-12-18,3.93,3.9,3.93,3.88,3260000.0
2019-12-17,3.9,3.89,3.9,3.86,6130000.0
2019-12-16,3.89,3.78,3.93,3.78,2460000.0
2019-12-13,3.78,3.81,3.85,3.78,1950000.0
2019-12-12,3.8,3.8,3.81,3.79,1930000.0
2019-12-11,3.8,3.8,3.83,3.78,3100000.0
2019-12-10,3.78,3.66,3.79,3.66,2250000.0
2019-12-09,3.66,3.71,3.72,3.65,1320000.0
