Date,Price,Open,High,Low,Vol.
2020-03-13,2.7,2.67,2.7,2.67,163600.0
2020-03-12,2.73,2.7,2.73,2.7,302400.0
2020-03-11,2.75,2.79,2.79,2.74,32400.0
2020-03-10,2.75,2.71,2.75,2.7,425900.0
2020-03-09,2.71,2.82,2.82,2.67,203000.0
2020-03-06,2.82,2.79,2.82,2.79,107900.0
2020-03-05,2.82,2.8,2.82,2.8,19400.0
2020-03-04,2.81,2.8,2.81,2.8,353500.0
2020-03-03,2.8,2.8,2.8,2.8,
2020-03-02,2.8,2.79,2.8,2.79,134400.0
2020-02-28,2.8,2.79,2.8,2.78,70300.0
2020-02-27,2.8,2.79,2.8,2.79,14100.0
2020-02-26,2.79,2.79,2.79,2.79,4000.0
2020-02-25,2.8,2.79,2.81,2.79,235500.0
2020-02-24,2.78,2.76,2.79,2.76,120300.0
2020-02-21,2.82,2.85,2.85,2.82,18800.0
2020-02-20,2.86,2.85,2.86,2.85,5400.0
2020-02-19,2.85,2.84,2.88,2.84,36800.0
2020-02-18,2.84,2.85,2.86,2.84,99200.0
2020-02-17,2.83,2.84,2.84,2.83,55300.0
2020-02-14,2.83,2.83,2.84,2.83,379700.0
2020-02-13,2.82,2.82,2.82,2.81,78000.0
2020-02-12,2.82,2.81,2.82,2.81,35700.0
2020-02-11,2.81,2.77,2.81,2.75,30200.0
2020-02-10,2.79,2.75,2.79,2.75,91400.0
2020-02-07,2.79,2.8,2.81,2.75,57100.0
2020-02-06,2.75,2.82,2.82,2.74,409400.0
2020-02-05,2.8,2.76,2.8,2.76,76300.0
2020-02-04,2.76,2.76,2.76,2.75,36600.0
2020-02-03,2.76,2.72,2.76,2.72,32400.0
2020-01-31,2.75,2.75,2.75,2.73,47400.0
2020-01-30,2.77,2.74,2.77,2.74,29100.0
2020-01-29,2.75,2.71,2.75,2.71,256700.0
2020-01-28,2.75,2.75,2.75,2.75,54400.0
2020-01-23,2.75,2.77,2.77,2.75,1200.0
2020-01-22,2.78,2.79,2.79,2.78,22200.0
2020-01-21,2.78,2.78,2.78,2.78,40000.0
2020-01-20,2.8,2.8,2.83,2.8,145200.0
2020-01-17,2.78,2.78,2.78,2.78,126000.0
2020-01-16,2.79,2.78,2.8,2.78,1110000.0
2020-01-14,2.78,2.77,2.8,2.76,138100.0
2020-01-13,2.8,2.76,2.8,2.76,36800.0
2020-01-10,2.8,2.8,2.8,2.8,107000.0
2020-01-09,2.8,2.8,2.8,2.79,251300.0
2020-01-08,2.8,2.76,2.81,2.7,643100.0
2020-01-07,2.81,2.83,2.83,2.81,6300.0
2020-01-06,2.82,2.83,2.83,2.8,194900.0
2020-01-03,2.8,2.8,2.8,2.8,372500.0
2019-12-31,2.75,2.8,2.81,2.75,546200.0
2019-12-30,2.8,2.77,2.8,2.75,216900.0
2019-12-27,2.77,2.77,2.78,2.77,25500.0
2019-12-26,2.75,2.78,2.8,2.72,113200.0
2019-12-24,2.65,2.68,2.7,2.65,31500.0
2019-12-23,2.65,2.65,2.65,2.65,17400.0
2019-12-20,2.61,2.59,2.61,2.59,21300.0
2019-12-19,2.6,2.58,2.61,2.58,32000.0
2019-12-18,2.58,2.59,2.6,2.58,336600.0
2019-12-17,2.59,2.6,2.62,2.57,345400.0
2019-12-16,2.6,2.68,2.68,2.59,482300.0
2019-12-13,2.68,2.69,2.69,2.67,6800.0
2019-12-12,2.69,2.69,2.69,2.69,2100.0
2019-12-11,2.68,2.68,2.69,2.66,304100.0
2019-12-10,2.69,2.7,2.71,2.69,69500.0
2019-12-09,2.7,2.71,2.72,2.7,12900.0
2019-12-06,2.69,2.7,2.72,2.68,51500.0
2019-12-05,2.7,2.72,2.72,2.7,8200.0
2019-12-04,2.7,2.71,2.71,2.7,3600.0
2019-12-03,2.71,2.7,2.71,2.7,34900.0
2019-12-02,2.69,2.7,2.73,2.69,66800.0
2019-11-29,2.7,2.71,2.72,2.7,83300.0
2019-11-28,2.75,2.75,2.75,2.71,184800.0
2019-11-27,2.71,2.74,2.75,2.7,174900.0
2019-11-26,2.73,2.83,2.83,2.72,311300.0
2019-11-25,2.84,2.84,2.84,2.84,700.0
2019-11-22,2.8,2.85,2.85,2.79,171700.0
2019-11-21,2.85,2.8,2.85,2.79,190000.0
2019-11-20,2.8,2.85,2.85,2.8,4700.0
2019-11-19,2.8,2.8,2.8,2.79,1470000.0
2019-11-18,2.8,2.81,2.82,2.79,302200.0
2019-11-15,2.81,2.82,2.82,2.81,57700.0
2019-11-14,2.82,2.83,2.83,2.82,6600.0
2019-11-12,2.83,2.85,2.87,2.83,18800.0
2019-11-11,2.85,2.85,2.85,2.85,12500.0
2019-11-08,2.85,2.85,2.85,2.85,319900.0
2019-11-07,2.81,2.85,2.86,2.81,222300.0
2019-11-05,2.85,2.81,2.85,2.81,66400.0
2019-11-04,2.8,2.8,2.85,2.79,151100.0
2019-11-01,2.8,2.86,2.86,2.8,12400.0
2019-10-31,2.8,2.8,2.86,2.79,497000.0
2019-10-30,2.82,2.81,2.82,2.81,14000.0
2019-10-29,2.81,2.81,2.82,2.81,31500.0
2019-10-25,2.81,2.82,2.82,2.81,300.0
2019-10-24,2.81,2.81,2.82,2.81,1090000.0
2019-10-23,2.81,2.8,2.81,2.8,137600.0
2019-10-22,2.8,2.8,2.81,2.8,26100.0
2019-10-21,2.8,2.8,2.81,2.79,760300.0
2019-10-18,2.81,2.82,2.82,2.81,10800.0
2019-10-17,2.82,2.82,2.84,2.82,63200.0
