Date,Price,Open,High,Low,Vol.
2020-03-13,4.01,4.0,4.14,3.93,7290000.0
2020-03-12,4.3,4.5,4.51,4.29,9230000.0
2020-03-11,4.54,4.55,4.65,4.53,5840000.0
2020-03-10,4.51,4.48,4.58,4.4,5910000.0
2020-03-09,4.51,4.65,4.66,4.5,7460000.0
2020-03-06,4.75,4.86,4.86,4.75,4680000.0
2020-03-05,4.87,4.9,4.95,4.82,4010000.0
2020-03-04,4.86,4.97,4.99,4.84,5310000.0
2020-03-03,4.99,4.95,5.0,4.89,5430000.0
2020-03-02,4.87,4.8,4.96,4.73,12030000.0
2020-02-28,4.95,5.15,5.15,4.95,26020000.0
2020-02-27,5.16,5.21,5.24,5.16,4790000.0
2020-02-26,5.18,5.2,5.25,5.18,10530000.0
2020-02-25,5.23,5.25,5.32,5.19,8119999.999999999
2020-02-24,5.27,5.4,5.4,5.26,12430000.0
2020-02-21,5.52,5.45,5.52,5.42,3400000.0
2020-02-20,5.45,5.55,5.57,5.45,6570000.0
2020-02-19,5.51,5.51,5.56,5.48,4870000.0
2020-02-18,5.52,5.45,5.52,5.44,2410000.0
2020-02-17,5.44,5.45,5.47,5.43,2690000.0
2020-02-14,5.46,5.39,5.46,5.37,3290000.0
2020-02-13,5.39,5.4,5.41,5.36,4320000.0
2020-02-12,5.4,5.39,5.49,5.35,5810000.0
2020-02-11,5.39,5.36,5.4,5.35,5410000.0
2020-02-10,5.35,5.39,5.41,5.34,3090000.0
2020-02-07,5.4,5.4,5.44,5.33,7500000.0
2020-02-06,5.38,5.32,5.41,5.3,11900000.0
2020-02-05,5.3,5.4,5.41,5.3,14820000.0
2020-02-04,5.38,5.5,5.54,5.36,9970000.0
2020-02-03,5.5,5.45,5.57,5.38,6820000.0
2020-01-31,5.5,5.6,5.66,5.5,10550000.0
2020-01-30,5.6,5.67,5.7,5.6,7290000.0
2020-01-29,5.65,5.6,5.73,5.6,5750000.0
2020-01-28,5.6,5.73,5.73,5.52,11080000.0
2020-01-24,5.82,5.91,5.93,5.8,3840000.0
2020-01-23,5.91,6.0,6.04,5.9,5690000.0
2020-01-22,6.05,6.1,6.17,6.01,4920000.0
2020-01-21,6.12,6.15,6.18,6.1,2760000.0
2020-01-20,6.17,6.15,6.19,6.14,1730000.0
2020-01-17,6.18,6.17,6.18,6.14,1690000.0
