Date,Price,Open,High,Low,Vol.
2020-03-13,9.14,8.8,9.2,8.8,963200.0
2020-03-12,9.17,9.42,9.42,9.17,1390000.0
2020-03-11,9.42,9.7,9.7,9.42,383000.0
2020-03-10,9.7,9.4,9.88,9.26,684900.0
2020-03-09,9.5,9.66,9.66,9.25,1490000.0
2020-03-06,9.8,9.7,9.94,9.7,764800.0
2020-03-05,9.89,10.0,10.1,9.87,505200.0
2020-03-04,10.1,10.06,10.14,9.95,474900.0
2020-03-03,10.04,9.98,10.1,9.98,220200.0
2020-03-02,10.02,9.7,10.36,9.7,253600.0
2020-02-28,10.02,9.78,10.38,9.78,2570000.0
2020-02-27,10.38,10.4,10.4,10.12,465400.0
2020-02-26,10.0,9.68,10.08,9.68,492900.0
2020-02-25,10.14,9.8,10.28,9.6,334800.0
2020-02-24,10.0,10.02,10.02,9.54,161600.0
2020-02-21,10.02,10.1,10.26,10.02,348800.0
2020-02-20,10.08,10.32,10.4,10.08,224900.0
2020-02-19,10.4,10.42,10.48,10.4,7600.0
2020-02-18,10.46,10.44,10.5,10.38,293800.0
2020-02-17,10.56,10.7,10.7,10.56,48900.0
2020-02-14,10.68,10.5,10.68,10.46,1370000.0
2020-02-13,10.54,10.4,10.66,10.4,446500.0
2020-02-12,10.54,10.5,10.58,10.5,160100.0
2020-02-11,10.54,10.78,10.78,10.5,1670000.0
2020-02-10,10.68,10.48,10.68,10.44,67800.0
2020-02-07,10.48,10.38,10.56,10.38,289600.0
2020-02-06,10.5,10.6,10.6,10.44,901200.0
2020-02-05,10.6,10.58,10.6,10.46,2009999.9999999998
2020-02-04,10.5,10.5,10.52,10.42,1600000.0
2020-02-03,10.44,10.2,10.5,10.2,187300.0
2020-01-31,10.5,10.52,10.66,10.42,982100.0
2020-01-30,10.58,10.44,10.76,10.32,578900.0
2020-01-29,10.54,10.38,10.58,10.06,531100.0
2020-01-28,10.56,10.56,10.66,10.54,84500.0
2020-01-24,10.74,10.64,10.74,10.6,557100.0
2020-01-23,10.7,10.58,10.7,10.56,614700.0
2020-01-22,10.5,10.44,10.58,10.44,1200000.0
2020-01-21,10.52,10.56,10.58,10.52,1300000.0
2020-01-20,10.56,10.44,10.6,10.44,606700.0
2020-01-17,10.6,10.6,10.6,10.44,1890000.0
2020-01-16,10.6,10.68,10.68,10.56,354500.0
2020-01-15,10.6,10.52,10.64,10.5,147700.0
2020-01-14,10.6,10.74,10.78,10.52,928100.0
2020-01-13,10.6,10.6,10.64,10.56,1230000.0
2020-01-10,10.6,10.6,10.66,10.58,2120000.0
2020-01-09,10.6,10.7,10.74,10.58,301700.0
2020-01-08,10.6,10.76,10.76,10.5,279600.0
2020-01-07,10.78,10.8,10.8,10.7,151900.0
2020-01-06,10.8,10.9,10.9,10.54,356800.0
2020-01-03,10.8,10.86,10.86,10.7,1100000.0
2020-01-02,10.56,10.58,10.6,10.54,962300.0
2019-12-31,10.58,10.74,10.86,10.56,283300.0
2019-12-30,10.74,10.66,10.88,10.64,342100.0
2019-12-27,10.58,10.6,11.14,10.56,1600000.0
2019-12-26,10.6,10.54,10.68,10.54,2100000.0
2019-12-24,10.6,10.54,10.86,10.54,927500.0
2019-12-23,10.8,10.8,10.9,10.74,365700.0
2019-12-20,10.5,10.8,10.8,10.24,1270000.0
2019-12-19,10.64,10.8,10.8,10.64,238600.0
2019-12-18,10.74,10.9,10.9,10.52,305700.0
2019-12-17,10.7,10.54,10.9,10.54,614100.0
2019-12-16,10.54,10.66,10.7,10.44,109400.0
2019-12-13,10.4,10.7,10.92,10.4,2330000.0
2019-12-12,10.64,10.7,10.7,10.56,1500000.0
2019-12-11,10.6,10.64,10.72,10.56,2930000.0
2019-12-10,10.6,10.6,10.62,10.58,619300.0
2019-12-09,10.6,10.5,10.66,10.48,3470000.0
2019-12-06,10.4,10.54,10.64,10.3,534100.0
2019-12-05,10.48,10.48,10.68,10.44,368800.0
2019-12-04,10.18,10.06,10.26,10.06,521700.00000000006
2019-12-03,10.2,10.3,10.3,10.18,1220000.0
2019-12-02,10.3,10.32,10.32,10.26,94100.0
2019-11-29,10.32,10.46,10.58,10.26,422400.0
2019-11-28,10.44,10.5,10.52,10.18,292700.0
2019-11-27,10.6,10.66,10.66,10.42,124300.0
2019-11-26,10.54,10.58,10.58,10.46,2900000.0
2019-11-25,10.5,10.42,10.56,10.42,218500.0
2019-11-22,10.42,10.6,10.6,10.32,1440000.0
2019-11-21,10.6,10.22,10.8,10.2,1200000.0
2019-11-20,10.28,10.2,10.3,10.18,918800.0
2019-11-19,10.22,10.24,10.24,10.18,619000.0
2019-11-18,10.22,10.18,10.22,10.14,404000.0
2019-11-15,10.18,10.18,10.18,10.1,51200.0
2019-11-14,10.1,10.1,10.12,10.04,1400000.0
2019-11-13,10.14,10.14,10.18,10.06,290900.0
2019-11-12,10.14,10.18,10.2,10.1,560700.0
2019-11-11,10.14,10.12,10.14,10.08,495900.0
2019-11-08,10.12,10.08,10.16,10.08,1280000.0
2019-11-07,10.12,10.18,10.18,10.1,152000.0
2019-11-06,10.04,10.16,10.16,10.02,183800.0
2019-11-05,10.08,10.1,10.12,10.06,980200.0
2019-11-04,10.1,10.1,10.14,10.02,232100.0
2019-11-01,10.02,9.96,10.02,9.95,210000.0
2019-10-31,9.94,9.92,9.96,9.91,434200.0
2019-10-30,9.93,9.93,9.93,9.86,110400.0
2019-10-29,9.89,9.85,9.89,9.84,342100.0
2019-10-25,9.8,9.9,9.9,9.75,1100000.0
2019-10-24,9.91,9.9,9.91,9.8,163300.0
2019-10-23,9.9,9.9,9.91,9.79,75600.0
2019-10-22,9.93,9.73,9.97,9.73,1340000.0
2019-10-21,9.84,9.8,9.85,9.7,282100.0
2019-10-18,9.8,9.9,10.1,9.8,736700.0
2019-10-17,10.08,10.08,10.1,9.88,62400.0
2019-10-16,10.0,9.9,10.0,9.8,247800.0
2019-10-15,9.88,9.83,10.0,9.83,202000.0
2019-10-14,9.84,10.0,10.0,9.72,224600.0
2019-10-11,10.02,10.02,10.02,10.0,39000.0
2019-10-10,10.08,10.0,10.08,10.0,103700.0
2019-10-09,10.0,10.02,10.08,10.0,330600.0
2019-10-08,10.02,10.0,10.06,9.89,70200.0
2019-10-07,10.06,10.06,10.06,10.06,23000.0
2019-10-04,9.95,9.86,9.95,9.86,3580000.0
2019-10-03,9.93,9.84,9.96,9.84,1520000.0
2019-10-02,9.91,9.9,9.93,9.9,91200.0
2019-10-01,9.95,9.85,9.95,9.84,579300.0
2019-09-30,9.91,9.76,9.97,9.76,732400.0
2019-09-27,9.79,9.71,9.84,9.71,118800.0
2019-09-26,9.76,9.81,9.87,9.75,228100.0
2019-09-25,9.89,9.69,9.96,9.69,769400.0
2019-09-24,9.98,9.7,9.98,9.69,178600.0
2019-09-23,9.91,9.89,9.99,9.8,41700.0
2019-09-20,9.9,9.76,10.02,9.76,1330000.0
2019-09-19,9.99,10.0,10.0,9.9,110800.0
2019-09-18,10.08,10.1,10.12,10.0,97600.0
2019-09-17,10.22,9.98,10.5,9.8,373300.0
2019-09-13,10.04,9.98,10.08,9.94,547900.0
2019-09-12,9.95,9.99,9.99,9.94,683300.0
2019-09-11,9.94,10.0,10.0,9.85,146600.0
2019-09-10,9.99,9.75,9.99,9.71,271800.0
2019-09-06,9.75,9.78,9.81,9.74,1520000.0
2019-09-05,9.72,9.7,9.79,9.7,133800.0
2019-09-04,9.7,9.73,9.73,9.55,323800.0
2019-09-03,9.72,10.16,10.2,9.72,152900.0
2019-08-30,10.02,10.06,10.06,9.92,1770000.0
2019-08-29,10.02,10.0,10.04,9.83,1290000.0
2019-08-28,10.0,10.16,10.16,9.71,1280000.0
2019-08-27,10.2,10.0,10.2,9.73,463900.0
2019-08-26,9.98,9.81,9.98,9.71,2230000.0
2019-08-23,9.98,9.6,9.98,9.56,108700.0
2019-08-22,9.8,9.75,9.8,9.75,745300.0
2019-08-21,9.75,9.7,9.8,9.54,151300.0
2019-08-20,9.7,9.7,9.79,9.7,3320000.0
2019-08-19,9.7,9.31,9.8,9.31,133600.0
2019-08-16,9.65,9.59,9.7,9.59,248400.0
2019-08-15,9.98,9.28,9.98,9.2,209000.0
2019-08-14,9.56,9.46,9.61,9.46,166000.0
2019-08-13,9.59,9.54,9.68,9.54,115500.0
2019-08-09,9.56,9.4,9.61,9.4,231700.0
2019-08-08,9.6,9.48,9.8,9.48,163600.0
2019-08-07,9.47,9.21,9.51,9.21,138200.0
2019-08-06,9.36,9.33,9.44,9.17,388700.0
2019-08-05,9.42,9.45,9.47,9.33,280900.0
2019-08-02,9.55,9.45,9.66,9.45,232100.0
2019-08-01,9.53,9.7,9.76,9.49,397300.0
2019-07-31,9.7,9.76,9.86,9.67,284800.0
2019-07-29,9.9,9.78,9.9,9.76,56100.0
2019-07-26,9.82,9.68,9.92,9.68,231700.0
2019-07-25,9.77,9.83,9.9,9.67,201600.0
2019-07-24,9.82,9.88,9.9,9.66,214000.0
2019-07-23,9.81,9.85,9.88,9.81,138100.0
2019-07-22,9.88,9.9,10.08,9.85,70300.0
2019-07-19,9.95,9.94,9.96,9.89,106300.0
2019-07-18,9.94,9.9,9.95,9.89,149000.0
2019-07-17,10.0,9.95,10.04,9.89,570500.0
2019-07-16,10.04,10.0,10.04,9.98,342800.0
