Date,Price,Open,High,Low,Vol.
2020-03-13,1.57,1.65,1.66,1.45,7680000.0
2020-03-12,1.81,1.96,1.98,1.8,4390000.0
2020-03-11,2.02,2.05,2.05,1.97,6230000.0
2020-03-10,2.01,2.0,2.03,1.93,2100000.0
2020-03-09,2.03,2.05,2.05,2.0,3540000.0
2020-03-06,2.08,2.13,2.13,2.05,5640000.0
2020-03-05,2.13,2.15,2.15,2.11,403300.0
2020-03-04,2.14,2.06,2.14,2.06,926400.0
2020-03-03,2.08,2.1,2.19,2.08,4660000.0
2020-03-02,2.09,2.08,2.14,2.02,1950000.0
2020-02-28,2.08,2.14,2.15,2.04,3330000.0
2020-02-27,2.16,2.22,2.23,2.16,3060000.0
2020-02-26,2.22,2.27,2.27,2.19,8470000.0
2020-02-25,2.33,2.25,2.34,2.13,4870000.0
2020-02-24,2.39,2.34,2.39,2.31,2180000.0
2020-02-21,2.39,2.35,2.41,2.35,1710000.0
2020-02-20,2.35,2.4,2.4,2.35,883300.0
2020-02-19,2.39,2.34,2.39,2.34,986600.0
2020-02-18,2.35,2.4,2.4,2.3,10450000.0
2020-02-17,2.45,2.4,2.46,2.4,1510000.0
2020-02-14,2.4,2.4,2.42,2.39,1820000.0
2020-02-13,2.4,2.4,2.42,2.36,4170000.0
2020-02-12,2.4,2.33,2.44,2.33,3620000.0
2020-02-11,2.33,2.36,2.4,2.27,3690000.0
2020-02-10,2.35,2.42,2.42,2.34,4570000.0
2020-02-07,2.45,2.45,2.46,2.43,1840000.0
2020-02-06,2.45,2.45,2.47,2.43,1940000.0
2020-02-05,2.45,2.35,2.47,2.35,8390000.0
2020-02-04,2.34,2.3,2.36,2.3,4980000.0
2020-02-03,2.3,2.31,2.33,2.18,4930000.0
2020-01-31,2.36,2.42,2.45,2.35,2720000.0
2020-01-30,2.43,2.48,2.48,2.39,2130000.0
2020-01-29,2.48,2.35,2.48,2.35,2780000.0
2020-01-28,2.32,2.38,2.38,2.32,702500.0
2020-01-24,2.4,2.39,2.44,2.39,318000.0
2020-01-23,2.38,2.38,2.39,2.35,527000.0
2020-01-22,2.39,2.37,2.42,2.34,552900.0
2020-01-21,2.37,2.43,2.46,2.36,1600000.0
2020-01-20,2.44,2.44,2.47,2.41,2580000.0
2020-01-17,2.44,2.44,2.44,2.38,2080000.0
2020-01-16,2.44,2.4,2.45,2.37,1900000.0
2020-01-15,2.4,2.44,2.44,2.36,1760000.0
2020-01-14,2.42,2.38,2.44,2.38,1460000.0
2020-01-13,2.38,2.36,2.42,2.36,1810000.0
2020-01-10,2.36,2.29,2.37,2.28,3240000.0
2020-01-09,2.28,2.27,2.29,2.27,2360000.0
2020-01-08,2.27,2.27,2.27,2.25,1190000.0
2020-01-07,2.28,2.27,2.33,2.26,1470000.0
2020-01-06,2.27,2.34,2.34,2.25,1990000.0
2020-01-03,2.36,2.35,2.37,2.32,2380000.0
2020-01-02,2.36,2.33,2.36,2.3,1950000.0
2019-12-31,2.33,2.29,2.37,2.29,1800000.0
2019-12-30,2.29,2.25,2.29,2.25,2620000.0
2019-12-27,2.27,2.3,2.3,2.25,153500.0
2019-12-26,2.3,2.32,2.32,2.28,480600.0
2019-12-24,2.3,2.26,2.32,2.25,1840000.0
2019-12-23,2.25,2.23,2.25,2.2,779500.0
2019-12-20,2.24,2.2,2.24,2.2,996900.0
2019-12-19,2.21,2.23,2.23,2.2,3500000.0
2019-12-18,2.24,2.25,2.25,2.21,1580000.0
