Date,Price,Open,High,Low,Vol.
2020-03-13,6.05,6.38,6.69,6.0,7980000.0
2020-03-12,6.57,6.5,6.67,6.5,11320000.0
2020-03-11,6.48,6.4,6.5,6.39,9300000.0
2020-03-10,6.4,6.34,6.5,6.32,6670000.0
2020-03-09,6.42,6.44,6.45,6.27,8750000.0
2020-03-06,6.4,6.2,6.42,6.18,15170000.0
2020-03-05,6.23,6.2,6.32,6.19,8300000.000000001
2020-03-04,6.24,6.06,6.3,6.04,13810000.0
2020-03-03,6.03,6.06,6.15,6.01,7260000.0
2020-03-02,6.06,6.1,6.18,6.01,8400000.0
2020-02-28,6.2,6.06,6.2,6.0,13490000.0
2020-02-27,6.04,6.05,6.05,5.98,3800000.0
2020-02-26,6.06,6.01,6.1,5.99,5480000.0
2020-02-25,6.05,5.91,6.13,5.9,10690000.0
2020-02-24,5.91,5.85,5.94,5.69,6300000.0
2020-02-21,5.88,5.88,5.92,5.83,3570000.0
2020-02-20,5.89,5.92,5.96,5.78,7850000.0
2020-02-19,5.92,6.12,6.12,5.89,6760000.0
2020-02-18,6.11,6.06,6.12,6.03,4320000.0
2020-02-17,6.1,6.18,6.21,6.06,6490000.0
2020-02-14,6.17,6.1,6.17,6.09,9300000.0
2020-02-13,6.11,6.12,6.13,6.05,6370000.0
2020-02-12,6.12,6.09,6.15,6.08,13220000.0
2020-02-11,6.0,5.97,6.02,5.96,9260000.0
2020-02-10,5.93,5.88,6.0,5.86,8660000.0
2020-02-07,5.8,5.81,5.87,5.74,8080000.0
2020-02-06,5.8,5.72,5.81,5.71,12800000.0
2020-02-05,5.73,5.81,5.82,5.67,12010000.0
2020-02-04,5.79,5.82,5.9,5.74,10540000.0
2020-02-03,5.8,5.89,5.93,5.74,6580000.0
2020-01-31,5.92,5.97,6.1,5.9,7830000.0
2020-01-30,5.95,6.06,6.06,5.9,9960000.0
2020-01-29,6.04,6.24,6.25,5.97,7470000.0
2020-01-28,6.25,6.2,6.44,6.19,14370000.0
2020-01-24,6.03,5.93,6.07,5.92,7690000.0
2020-01-23,5.89,6.07,6.1,5.82,11380000.0
2020-01-22,6.05,5.88,6.13,5.88,15560000.0
2020-01-21,5.8,5.59,5.82,5.59,14640000.0
2020-01-20,5.55,5.5,5.57,5.46,7310000.0
2020-01-17,5.5,5.48,5.5,5.44,1810000.0
2020-01-16,5.48,5.45,5.48,5.43,1870000.0
2020-01-15,5.48,5.46,5.48,5.45,857300.0
2020-01-14,5.46,5.44,5.48,5.43,1600000.0
2020-01-13,5.44,5.44,5.45,5.4,1240000.0
2020-01-10,5.43,5.47,5.47,5.4,475400.0
2020-01-09,5.43,5.41,5.47,5.41,3380000.0
2020-01-08,5.4,5.48,5.48,5.35,1790000.0
2020-01-07,5.48,5.35,5.5,5.35,2820000.0
2020-01-06,5.35,5.39,5.39,5.32,793400.0
2020-01-03,5.4,5.33,5.45,5.33,1690000.0
2020-01-02,5.35,5.4,5.43,5.32,2380000.0
2019-12-31,5.48,5.55,5.55,5.36,5970000.0
2019-12-30,5.56,5.5,5.57,5.5,2530000.0
2019-12-27,5.5,5.4,5.57,5.39,3110000.0
2019-12-26,5.43,5.46,5.49,5.39,1400000.0
2019-12-24,5.42,5.49,5.49,5.42,1040000.0
2019-12-23,5.49,5.48,5.5,5.38,2470000.0
2019-12-20,5.51,5.34,5.51,5.32,4179999.9999999995
2019-12-19,5.34,5.3,5.38,5.28,1350000.0
