Date,Price,Open,High,Low,Vol.
2020-03-13,21.86,22.88,22.88,20.76,216300.0
2020-03-12,23.24,24.24,24.4,23.12,991400.0
2020-03-11,24.4,24.8,24.8,24.22,139200.0
2020-03-10,24.22,23.9,24.4,23.9,315000.0
2020-03-09,24.0,24.36,24.36,23.46,565900.0
2020-03-06,24.6,24.66,24.86,24.52,390100.0
2020-03-05,24.64,24.7,24.8,24.5,308700.0
2020-03-04,24.06,23.9,24.16,23.6,515700.00000000006
2020-03-03,24.16,23.3,24.4,23.3,466400.0
2020-03-02,23.0,22.0,23.9,21.72,1090000.0
2020-02-28,25.5,27.46,27.46,25.28,642500.0
2020-02-27,27.5,28.36,28.36,27.44,330400.0
2020-02-26,28.36,28.9,28.9,28.02,429900.0
2020-02-25,29.0,27.3,29.0,27.12,772400.0
2020-02-24,28.36,30.0,30.0,26.9,1130000.0
2020-02-21,31.04,30.34,31.74,30.34,315100.0
2020-02-20,30.34,30.3,30.68,30.18,177000.0
2020-02-19,30.12,29.66,30.38,29.48,317700.0
2020-02-18,29.66,29.6,29.8,29.5,118500.0
2020-02-17,29.58,29.5,29.84,29.32,74500.0
2020-02-14,29.48,29.4,29.76,29.1,145000.0
2020-02-13,29.4,28.2,29.78,28.2,400300.0
2020-02-12,28.0,27.94,28.28,27.7,268500.0
2020-02-11,27.94,27.8,28.18,27.8,72900.0
2020-02-10,27.5,28.2,28.3,27.5,98200.0
2020-02-07,28.2,28.36,28.46,28.2,78700.0
2020-02-06,28.34,28.26,28.76,28.12,133700.0
2020-02-05,28.48,28.42,28.5,28.2,215700.0
2020-02-04,28.4,27.42,28.4,27.42,256399.99999999997
2020-02-03,27.42,27.8,27.8,27.02,46100.0
2020-01-31,27.86,27.84,27.98,27.7,193200.0
2020-01-30,27.54,27.5,27.7,27.0,205300.0
2020-01-29,27.5,26.9,27.5,26.82,41800.0
2020-01-28,27.0,27.24,27.24,26.7,218000.0
2020-01-24,27.48,27.4,27.8,27.4,368500.0
2020-01-23,27.34,27.28,27.38,27.26,18900.0
2020-01-22,27.2,27.16,27.3,27.16,11500.0
2020-01-21,27.16,27.04,27.24,27.0,83600.0
2020-01-20,27.04,27.26,27.36,27.0,89500.0
2020-01-17,27.26,27.1,27.36,27.0,72300.0
2020-01-16,27.0,27.1,27.1,26.9,58000.0
2020-01-15,27.2,27.28,27.28,27.1,38100.0
2020-01-14,27.3,27.2,27.3,27.12,122000.0
2020-01-13,27.1,27.16,27.26,27.02,24200.0
2020-01-10,27.16,27.2,27.2,26.98,139700.0
2020-01-09,27.02,27.0,27.28,27.0,151300.0
2020-01-08,26.92,27.28,27.28,26.9,65099.99999999999
2020-01-07,27.28,27.36,27.4,27.26,192700.0
2020-01-06,27.34,27.4,27.4,27.12,58700.0
2020-01-03,27.48,27.26,27.6,27.0,231300.0
2020-01-02,27.26,27.2,27.3,27.2,15800.0
2019-12-31,27.12,27.12,27.22,27.02,23200.0
2019-12-30,27.12,27.44,27.44,27.0,37100.0
2019-12-27,27.44,27.32,27.5,27.3,16500.0
2019-12-26,27.28,27.1,27.28,27.06,5000.0
