Date,Price,Open,High,Low,Vol.
2020-03-13,13.56,13.94,13.94,13.56,189700.0
2020-03-12,14.02,14.34,14.38,14.0,371900.0
2020-03-11,14.34,14.8,14.8,14.34,367200.0
2020-03-10,14.7,15.0,15.26,14.7,198500.0
2020-03-09,15.1,15.22,15.4,15.1,245800.0
2020-03-06,15.8,16.0,16.02,15.5,488600.0
2020-03-05,15.84,16.02,16.02,15.6,1380000.0
2020-03-04,15.9,15.4,15.9,15.28,108900.0
2020-03-03,15.32,15.3,15.46,15.18,28900.0
2020-03-02,15.2,15.1,15.56,15.06,531500.0
2020-02-28,15.3,15.54,15.56,15.2,707900.0
2020-02-27,15.72,15.74,15.8,15.7,436600.0
2020-02-26,15.72,15.8,15.9,15.52,563200.0
2020-02-25,15.8,15.96,16.0,15.78,351900.0
2020-02-24,16.06,15.62,16.18,15.62,281600.0
2020-02-21,16.04,15.92,16.28,15.92,150000.0
2020-02-20,16.06,15.94,16.18,15.94,164000.0
2020-02-19,16.1,16.0,16.2,16.0,89900.0
2020-02-18,16.02,16.1,16.1,16.0,89400.0
2020-02-17,16.1,15.86,16.12,15.86,610800.0
2020-02-14,15.84,16.0,16.0,15.84,137700.0
2020-02-13,16.06,16.16,16.16,15.98,412900.0
2020-02-12,16.16,16.26,16.32,16.1,442800.0
2020-02-11,16.38,16.66,16.66,16.26,88600.0
2020-02-10,16.38,16.5,16.68,16.26,92900.0
2020-02-07,17.28,16.34,17.28,16.34,109200.0
2020-02-06,16.16,16.4,16.4,16.16,247900.0
2020-02-05,16.32,16.18,16.32,16.08,187800.0
2020-02-04,16.2,16.2,16.36,16.2,137300.0
2020-02-03,16.16,16.14,16.22,16.1,130000.0
2020-01-31,16.14,16.22,16.26,16.12,469900.0
2020-01-30,16.22,16.18,16.38,16.18,126000.0
2020-01-29,16.2,16.2,16.36,16.16,149900.0
2020-01-28,16.18,16.3,16.3,16.12,237000.0
2020-01-24,16.4,16.32,16.54,16.32,10400.0
2020-01-23,16.4,16.4,16.58,16.3,175200.0
2020-01-22,16.56,16.52,16.72,16.52,409900.0
2020-01-21,16.52,16.72,16.72,16.52,15600.0
2020-01-20,16.88,17.0,17.0,16.76,524900.0
2020-01-17,16.86,16.86,16.92,16.76,108300.0
2020-01-16,16.98,16.72,16.98,16.72,33500.0
2020-01-15,16.98,16.96,16.98,16.68,213100.0
2020-01-14,16.94,17.22,17.22,16.8,50800.0
2020-01-13,17.16,16.9,17.18,16.86,109300.0
2020-01-10,17.28,17.62,17.62,17.1,87600.0
2020-01-09,17.44,17.3,17.5,17.16,821500.0
2020-01-08,17.0,17.1,17.16,16.86,99500.0
2020-01-07,17.44,17.3,17.5,17.3,273100.0
2020-01-06,17.68,17.48,17.68,16.88,45200.0
2020-01-03,17.52,17.14,17.52,17.14,369300.0
2020-01-02,17.12,16.6,17.14,16.6,47300.0
2019-12-31,16.9,17.0,17.1,16.58,225600.0
2019-12-30,17.02,17.16,17.32,17.02,120200.0
2019-12-27,17.16,16.84,17.2,16.84,65700.0
2019-12-26,17.1,16.9,17.2,16.9,35500.0
2019-12-24,16.96,16.84,17.1,16.84,27400.0
2019-12-23,16.82,16.84,16.9,16.62,59200.0
