Date,Price,Open,High,Low,Vol.
2020-03-13,2.9,3.15,3.15,2.82,26900.0
2020-03-12,3.15,3.02,3.17,3.0,21100.0
2020-03-11,3.18,3.08,3.18,3.08,6600.0
2020-03-10,3.18,3.1,3.18,3.1,2100.0
2020-03-09,3.11,3.13,3.13,3.11,78600.0
2020-03-06,3.14,3.14,3.24,3.13,17100.0
2020-03-05,3.24,3.22,3.24,3.17,154100.0
2020-03-04,3.23,3.21,3.3,3.2,125900.0
2020-03-03,3.32,3.2,3.32,3.18,80800.0
2020-03-02,3.32,3.11,3.32,3.11,157900.0
2020-02-28,3.24,3.18,3.24,3.13,72100.0
2020-02-27,3.2,3.12,3.2,3.12,12000.0
2020-02-26,3.2,3.09,3.2,3.09,19100.0
2020-02-25,3.11,3.1,3.25,3.1,64700.0
2020-02-24,3.1,3.21,3.25,3.1,153500.0
2020-02-21,3.28,3.28,3.28,3.22,5600.0
2020-02-20,3.23,3.3,3.3,3.23,56700.0
2020-02-19,3.32,3.32,3.32,3.26,7100.0
2020-02-18,3.32,3.3,3.32,3.26,56100.0
2020-02-17,3.33,3.33,3.33,3.3,25700.0
2020-02-14,3.33,3.3,3.33,3.3,28000.0
2020-02-13,3.35,3.3,3.35,3.3,18500.0
2020-02-12,3.36,3.3,3.37,3.29,35500.0
2020-02-11,3.35,3.3,3.35,3.29,9000.0
2020-02-10,3.37,3.29,3.37,3.29,6700.0
2020-02-07,3.37,3.4,3.4,3.35,9100.0
2020-02-06,3.4,3.3,3.4,3.3,16400.0
2020-02-05,3.38,3.28,3.38,3.28,8100.0
2020-02-04,3.28,3.37,3.4,3.23,85100.0
2020-02-03,3.38,3.38,3.38,3.38,100.0
2020-01-31,3.4,3.4,3.4,3.4,2400.0
2020-01-30,3.4,3.4,3.4,3.35,3700.0
2020-01-29,3.46,3.46,3.46,3.46,100.0
2020-01-28,3.43,3.43,3.43,3.34,25200.0
2020-01-24,3.46,3.41,3.46,3.41,17400.0
2020-01-23,3.46,3.48,3.48,3.46,35500.0
2020-01-22,3.48,3.45,3.48,3.45,74000.0
2020-01-21,3.46,3.45,3.48,3.43,24400.0
2020-01-20,3.48,3.46,3.48,3.46,400.0
2020-01-17,3.5,3.5,3.5,3.46,27300.0
2020-01-16,3.5,3.48,3.5,3.46,11400.0
2020-01-15,3.5,3.5,3.51,3.48,3200.0
2020-01-14,3.49,3.51,3.51,3.49,16700.0
2020-01-13,3.52,3.52,3.52,3.5,19600.0
2020-01-10,3.54,3.51,3.55,3.5,26100.0
2020-01-09,3.55,3.58,3.58,3.54,21800.0
2020-01-08,3.58,3.53,3.58,3.5,23000.0
2020-01-07,3.6,3.59,3.6,3.55,57200.0
2020-01-06,3.59,3.55,3.59,3.55,4100.0
2020-01-03,3.59,3.55,3.59,3.54,8100.0
2020-01-02,3.6,3.61,3.61,3.53,12800.0
2019-12-31,3.61,3.58,3.61,3.58,12500.0
2019-12-30,3.61,3.61,3.62,3.58,40000.0
2019-12-27,3.61,3.62,3.66,3.61,33900.0
2019-12-26,3.63,3.63,3.64,3.61,27100.0
2019-12-24,3.63,3.63,3.64,3.63,38500.0
2019-12-23,3.67,3.63,3.67,3.63,13000.0
2019-12-20,3.62,3.64,3.65,3.62,42000.0
2019-12-19,3.65,3.62,3.65,3.62,53900.0
2019-12-18,3.65,3.6,3.65,3.59,37500.0
2019-12-17,3.61,3.61,3.64,3.6,24700.0
2019-12-16,3.55,3.65,3.65,3.55,58800.0
2019-12-13,3.65,3.66,3.68,3.62,35700.0
2019-12-12,3.66,3.67,3.67,3.65,11500.0
2019-12-11,3.7,3.68,3.72,3.68,35900.0
2019-12-10,3.68,3.74,3.74,3.67,41200.0
2019-12-09,3.74,3.67,3.79,3.62,83600.0
2019-12-06,3.72,3.8,3.8,3.72,19000.0
2019-12-05,3.68,3.94,4.06,3.67,438500.0
2019-12-04,3.92,3.49,3.95,3.41,485900.0
2019-12-03,3.4,3.28,3.55,3.28,196300.0
2019-12-02,3.25,3.25,3.25,3.23,28000.0
2019-11-29,3.22,3.2,3.25,3.2,106400.0
2019-11-28,3.22,3.18,3.22,3.18,12900.0
2019-11-27,3.17,3.18,3.18,3.16,66300.0
2019-11-26,3.18,3.17,3.18,3.12,98700.0
2019-11-25,3.17,3.28,3.31,3.11,583400.0
2019-11-22,3.09,2.8,3.25,2.8,538600.0
2019-11-21,2.7,2.7,2.7,2.7,167400.0
2019-11-18,2.7,2.7,2.7,2.7,6300.0
2019-11-14,2.77,2.78,2.78,2.77,20000.0
2019-11-13,2.7,2.7,2.7,2.7,4000.0
2019-11-12,2.7,2.7,2.7,2.7,2000.0
2019-11-11,2.7,2.7,2.7,2.7,2000.0
2019-11-08,2.69,2.74,2.74,2.69,4400.0
2019-11-06,2.7,2.7,2.7,2.7,10800.0
2019-11-01,2.77,2.73,2.77,2.73,18000.0
2019-10-29,2.77,2.75,2.79,2.75,98700.0
2019-10-23,2.77,2.71,2.77,2.71,20500.0
2019-10-22,2.73,2.72,2.78,2.72,33400.0
2019-10-21,2.79,2.75,2.79,2.75,40000.0
2019-10-17,2.78,2.78,2.78,2.78,3700.0
2019-10-15,2.79,2.74,2.79,2.72,38300.0
2019-10-14,2.79,2.79,2.79,2.79,2000.0
2019-10-11,2.79,2.79,2.79,2.78,634500.0
2019-10-10,2.79,2.78,2.79,2.78,495000.0
2019-10-09,2.79,2.79,2.79,2.78,504000.0
2019-10-08,2.79,2.78,2.8,2.78,262000.0
2019-10-07,2.8,2.79,2.8,2.79,63600.0
2019-10-04,2.8,2.8,2.8,2.79,30300.0
2019-10-03,2.79,2.78,2.79,2.78,690200.0
2019-10-02,2.79,2.78,2.79,2.78,576000.0
2019-10-01,2.79,2.79,2.79,2.78,62000.0
2019-09-27,2.79,2.75,2.79,2.75,60000.0
2019-09-26,2.79,2.79,2.79,2.79,163600.0
2019-09-25,2.79,2.79,2.8,2.78,532200.0
2019-09-24,2.8,2.79,2.8,2.71,160900.0
