Date,Price,Open,High,Low,Vol.
2020-03-13,5.33,5.35,5.55,5.33,2630000.0
2020-03-12,5.56,5.59,5.62,5.42,6470000.0
2020-03-11,5.59,5.57,5.64,5.57,6550000.0
2020-03-10,5.59,5.69,5.74,5.56,8510000.0
2020-03-09,5.69,5.65,5.77,5.55,7460000.0
2020-03-06,5.75,5.56,5.81,5.56,3290000.0
2020-03-05,5.59,5.6,5.66,5.54,2620000.0
2020-03-04,5.58,5.6,5.63,5.55,3520000.0
2020-03-03,5.6,5.7,5.72,5.52,5590000.0
2020-03-02,5.68,5.6,5.73,5.6,7290000.0
2020-02-28,5.7,5.6,5.81,5.6,6010000.0
2020-02-27,5.68,5.7,5.76,5.58,2810000.0
2020-02-26,5.66,5.56,5.7,5.56,5920000.0
2020-02-25,5.69,5.48,5.7,5.48,4680000.0
2020-02-24,5.6,5.45,5.83,5.45,3540000.0
2020-02-21,5.74,5.72,5.85,5.72,5270000.0
2020-02-20,5.81,5.81,5.82,5.8,3870000.0
2020-02-19,5.82,5.8,5.85,5.78,8600000.0
2020-02-18,5.82,5.78,5.83,5.78,3610000.0
2020-02-17,5.82,5.8,5.84,5.8,3260000.0
2020-02-14,5.81,5.8,5.81,5.78,5390000.0
2020-02-13,5.79,5.79,5.8,5.77,7140000.0
2020-02-12,5.74,5.77,5.83,5.67,2870000.0
2020-02-11,5.7,5.7,5.83,5.64,3180000.0
2020-02-10,5.77,5.82,5.82,5.74,3230000.0
2020-02-07,5.78,5.77,5.8,5.69,2300000.0
2020-02-06,5.77,5.87,5.87,5.71,5000000.0
2020-02-05,5.73,5.68,5.77,5.67,3410000.0
2020-02-04,5.72,5.7,5.78,5.68,6020000.0
2020-02-03,5.65,5.7,5.8,5.62,5340000.0
2020-01-31,5.7,5.82,5.88,5.61,7670000.0
2020-01-30,5.8,5.75,5.86,5.72,5820000.0
2020-01-29,5.8,5.89,5.94,5.75,12130000.0
2020-01-28,5.89,5.68,5.94,5.68,6030000.0
2020-01-24,5.79,5.82,5.82,5.69,3620000.0
2020-01-23,5.82,5.86,5.86,5.8,6290000.0
2020-01-22,5.86,5.7,5.93,5.7,7590000.0
2020-01-21,5.73,5.7,5.74,5.68,5960000.0
2020-01-20,5.68,5.63,5.71,5.62,5030000.0
2020-01-17,5.63,5.57,5.65,5.57,3100000.0
2020-01-16,5.58,5.53,5.58,5.52,1150000.0
2020-01-15,5.55,5.52,5.57,5.5,5650000.0
2020-01-14,5.57,5.56,5.59,5.51,3370000.0
2020-01-13,5.54,5.69,5.69,5.53,6150000.0
2020-01-10,5.6,5.6,5.62,5.57,3520000.0
2020-01-09,5.6,5.55,5.64,5.53,4350000.0
2020-01-08,5.55,5.58,5.58,5.51,2870000.0
2020-01-07,5.6,5.55,5.7,5.52,2200000.0
2020-01-06,5.55,5.51,5.57,5.51,2100000.0
2020-01-03,5.62,5.62,5.69,5.57,4240000.0
2020-01-02,5.57,5.5,5.59,5.48,6630000.0
2019-12-31,5.47,5.65,5.7,5.43,3930000.0
2019-12-30,5.7,5.7,5.73,5.67,3220000.0
2019-12-27,5.76,5.6,5.76,5.6,992100.0
2019-12-26,5.6,5.62,5.65,5.58,402700.0
2019-12-24,5.6,5.64,5.64,5.57,845700.0
2019-12-23,5.64,5.59,5.69,5.56,926100.0
2019-12-20,5.66,5.58,5.66,5.5,5760000.0
2019-12-19,5.54,5.75,5.75,5.49,3370000.0
2019-12-18,5.93,5.5,5.93,5.45,4370000.0
2019-12-17,5.45,5.35,5.52,5.33,3410000.0
2019-12-16,5.35,5.36,5.38,5.31,3220000.0
2019-12-13,5.4,5.44,5.48,5.36,2290000.0
2019-12-12,5.36,5.35,5.45,5.35,4520000.0
2019-12-11,5.4,5.2,5.46,5.2,1850000.0
2019-12-10,5.25,5.2,5.28,5.18,933800.0
2019-12-09,5.25,5.28,5.28,5.15,4190000.0000000005
2019-12-06,5.27,5.3,5.3,5.24,4019999.9999999995
2019-12-05,5.3,5.3,5.34,5.23,4780000.0
2019-12-04,5.29,5.39,5.39,5.21,7810000.0
2019-12-03,5.35,5.39,5.39,5.22,3670000.0
2019-12-02,5.4,5.37,5.42,5.35,3100000.0
2019-11-29,5.37,5.38,5.43,5.3,4650000.0
2019-11-28,5.38,5.41,5.41,5.37,2750000.0
2019-11-27,5.4,5.4,5.43,5.38,4500000.0
2019-11-26,5.4,5.41,5.47,5.4,16760000.000000002
2019-11-25,5.45,5.4,5.51,5.4,2720000.0
2019-11-22,5.44,5.42,5.49,5.36,3820000.0
2019-11-21,5.45,5.5,5.5,5.38,5200000.0
2019-11-20,5.44,5.39,5.5,5.38,3760000.0
2019-11-19,5.45,5.64,5.64,5.39,3030000.0
2019-11-18,5.56,5.35,5.6,5.35,1400000.0
2019-11-15,5.35,5.25,5.38,5.25,7760000.0
2019-11-14,5.24,5.39,5.4,5.24,8800000.0
2019-11-13,5.39,5.44,5.45,5.39,6640000.0
2019-11-12,5.44,5.49,5.49,5.38,8310000.000000001
