Date,Price,Open,High,Low,Vol.
2020-03-13,1.36,1.39,1.39,1.35,22200.0
2020-03-12,1.39,1.48,1.48,1.38,66900.0
2020-03-11,1.49,1.5,1.5,1.4,54100.0
2020-03-10,1.48,1.4,1.5,1.39,63100.0
2020-03-09,1.43,1.52,1.52,1.4,254100.0
2020-03-06,1.62,1.63,1.63,1.62,28600.0
2020-03-05,1.63,1.62,1.63,1.6,27600.0
2020-03-04,1.59,1.61,1.61,1.56,126900.0
2020-03-03,1.63,1.63,1.63,1.61,16200.0
2020-03-02,1.62,1.67,1.67,1.62,5200.0
2020-02-28,1.67,1.73,1.73,1.61,88600.0
2020-02-27,1.76,1.76,1.78,1.76,3400.0
2020-02-26,1.8,1.81,1.83,1.78,1110000.0
2020-02-25,1.77,1.71,1.77,1.71,24400.0
2020-02-24,1.78,1.82,1.82,1.76,36300.0
2020-02-21,1.85,1.88,1.88,1.85,20100.0
2020-02-20,1.88,1.88,1.88,1.88,8000.0
2020-02-19,1.89,1.93,1.93,1.89,900.0
2020-02-18,1.86,1.88,1.88,1.86,25500.0
2020-02-17,1.88,1.88,1.89,1.87,93400.0
2020-02-14,1.86,1.86,1.87,1.86,20600.0
2020-02-12,1.9,1.9,1.91,1.9,20300.0
2020-02-11,1.89,1.88,1.9,1.88,92700.0
2020-02-10,1.87,1.88,1.9,1.86,158100.0
2020-02-07,1.92,1.96,1.96,1.92,49000.0
2020-02-06,1.96,1.94,2.21,1.94,177500.0
2020-02-05,1.9,1.87,1.91,1.87,77900.0
2020-02-04,1.85,1.83,1.85,1.83,13100.0
2020-02-03,1.86,1.82,1.88,1.8,65500.0
2020-01-31,1.88,1.9,1.91,1.88,33000.0
2020-01-30,1.92,1.92,1.93,1.88,85700.0
2020-01-29,1.92,1.88,1.92,1.86,773300.0
2020-01-28,1.92,2.03,2.03,1.87,172100.0
2020-01-24,2.05,2.05,2.05,2.05,900.0
2020-01-23,2.05,2.05,2.05,2.05,3000.0
2020-01-22,2.08,2.1,2.14,2.08,63900.0
2020-01-21,2.17,2.19,2.19,2.12,8200.0
2020-01-20,2.19,2.1,2.19,2.1,5500.0
2020-01-17,2.2,2.21,2.24,2.18,227600.0
2020-01-16,2.21,2.12,2.22,2.12,80500.0
2020-01-15,2.2,2.13,2.2,2.13,93400.0
2020-01-14,2.14,2.2,2.2,2.11,149800.0
2020-01-13,2.22,2.25,2.25,2.2,116800.0
2020-01-10,2.24,2.2,2.24,2.2,33900.0
2020-01-09,2.19,2.22,2.22,2.18,125500.0
2020-01-08,2.25,2.24,2.25,2.16,990800.0
2020-01-07,2.23,2.22,2.25,2.22,106000.0
2020-01-06,2.22,2.26,2.32,2.18,136600.0
2020-01-03,2.32,2.31,2.32,2.3,108700.0
2020-01-02,2.3,2.37,2.37,2.29,140800.0
2019-12-31,2.36,2.45,2.45,2.35,220500.0
2019-12-30,2.45,2.26,2.48,2.26,494400.0
