Date,Price,Open,High,Low,Vol.
2020-03-13,1.2,1.24,1.24,1.15,19680000.0
2020-03-12,1.3,1.33,1.34,1.28,16660000.0
2020-03-11,1.36,1.35,1.37,1.3,12930000.0
2020-03-10,1.33,1.26,1.34,1.24,26410000.0
2020-03-09,1.29,1.37,1.38,1.27,36600000.0
2020-03-06,1.41,1.42,1.43,1.4,6490000.0
2020-03-05,1.43,1.45,1.47,1.42,11570000.0
2020-03-04,1.43,1.43,1.45,1.41,19290000.0
2020-03-03,1.46,1.45,1.48,1.44,8680000.0
2020-03-02,1.41,1.39,1.45,1.38,16360000.0
2020-02-28,1.41,1.49,1.49,1.41,28250000.0
2020-02-27,1.52,1.57,1.57,1.52,11500000.0
2020-02-26,1.57,1.58,1.6,1.54,38640000.0
2020-02-25,1.64,1.57,1.65,1.55,9210000.0
2020-02-24,1.6,1.61,1.63,1.57,18780000.0
2020-02-21,1.65,1.68,1.68,1.65,7600000.0
2020-02-20,1.68,1.67,1.68,1.66,9870000.0
2020-02-19,1.65,1.69,1.7,1.65,14000000.0
2020-02-18,1.7,1.73,1.73,1.68,15760000.0
2020-02-17,1.74,1.74,1.75,1.72,7300000.0
2020-02-14,1.74,1.78,1.78,1.73,7970000.0
2020-02-13,1.77,1.75,1.81,1.75,13680000.0
2020-02-12,1.75,1.73,1.77,1.72,14540000.0
2020-02-11,1.73,1.76,1.76,1.71,11240000.0
2020-02-10,1.74,1.78,1.78,1.74,14390000.0
2020-02-07,1.79,1.8,1.82,1.76,10600000.0
2020-02-06,1.8,1.8,1.82,1.78,6610000.0
2020-02-05,1.8,1.78,1.81,1.77,10080000.0
2020-02-04,1.77,1.73,1.8,1.72,18340000.0
2020-02-03,1.72,1.71,1.75,1.66,22110000.0
2020-01-31,1.76,1.83,1.84,1.74,17350000.0
2020-01-30,1.81,1.87,1.88,1.8,13830000.0
2020-01-29,1.89,1.84,1.91,1.83,24090000.0
2020-01-28,1.81,1.85,1.86,1.79,18960000.0
2020-01-24,1.9,1.78,1.92,1.78,31350000.0
2020-01-23,1.76,1.77,1.78,1.75,7280000.0
2020-01-22,1.77,1.73,1.78,1.72,13810000.0
2020-01-21,1.73,1.73,1.74,1.72,6090000.0
2020-01-20,1.73,1.71,1.74,1.71,9880000.0
2020-01-17,1.71,1.73,1.74,1.7,12780000.0
2020-01-16,1.72,1.72,1.74,1.7,6890000.0
2020-01-15,1.72,1.74,1.74,1.7,5230000.0
2020-01-14,1.74,1.74,1.75,1.72,11460000.0
2020-01-13,1.73,1.73,1.77,1.71,13630000.0
2020-01-10,1.72,1.73,1.73,1.7,10070000.0
2020-01-09,1.72,1.71,1.73,1.7,8950000.0
2020-01-08,1.69,1.69,1.7,1.66,8920000.0
2020-01-07,1.71,1.72,1.73,1.7,3290000.0
2020-01-06,1.7,1.74,1.74,1.69,9650000.0
2020-01-03,1.74,1.74,1.77,1.73,18010000.0
2020-01-02,1.73,1.7,1.75,1.7,18220000.0
2019-12-31,1.7,1.72,1.73,1.69,11510000.0
2019-12-30,1.74,1.68,1.75,1.67,20030000.0
2019-12-27,1.68,1.7,1.71,1.67,16559999.999999998
2019-12-26,1.7,1.63,1.7,1.62,36240000.0
2019-12-24,1.62,1.63,1.64,1.61,18860000.0
2019-12-23,1.63,1.65,1.65,1.6,26570000.0
2019-12-20,1.64,1.59,1.68,1.58,92100000.0
2019-12-19,1.61,1.87,1.88,1.59,141070000.0
2019-12-18,1.88,1.89,1.89,1.84,8140000.000000001
2019-12-17,1.9,1.9,1.9,1.89,6840000.0
2019-12-16,1.9,1.93,1.93,1.88,7550000.0
2019-12-13,1.92,1.91,1.95,1.87,9340000.0
2019-12-12,1.91,1.86,1.91,1.85,5430000.0
2019-12-11,1.85,1.86,1.87,1.84,4200000.0
2019-12-10,1.86,1.89,1.89,1.85,2380000.0
2019-12-09,1.87,1.87,1.91,1.87,4450000.0
2019-12-06,1.86,1.85,1.87,1.84,4210000.0
2019-12-05,1.84,1.84,1.87,1.83,14500000.0
2019-12-04,1.8,1.78,1.82,1.78,3190000.0
2019-12-03,1.79,1.83,1.83,1.79,5550000.0
2019-12-02,1.83,1.83,1.86,1.82,3830000.0
2019-11-29,1.82,1.84,1.84,1.8,9010000.0
2019-11-28,1.84,1.87,1.89,1.81,14680000.0
2019-11-27,1.87,1.93,1.94,1.87,20410000.0
2019-11-26,1.95,1.94,1.97,1.93,13540000.0
2019-11-25,1.94,1.96,1.96,1.93,4710000.0
2019-11-22,1.96,1.96,1.97,1.95,7910000.0
2019-11-21,1.96,1.96,1.97,1.94,3990000.0
2019-11-20,1.96,1.95,1.98,1.95,12520000.0
2019-11-19,1.95,1.95,1.96,1.93,3440000.0
2019-11-18,1.95,1.95,1.97,1.93,8840000.0
2019-11-15,1.93,1.93,1.95,1.92,7380000.0
2019-11-14,1.93,1.98,1.98,1.93,6550000.0
2019-11-13,1.98,1.98,1.98,1.95,2590000.0
2019-11-12,1.98,2.02,2.03,1.96,9840000.0
2019-11-11,2.02,2.04,2.04,2.0,3560000.0
2019-11-08,2.04,2.04,2.07,2.03,9670000.0
2019-11-07,2.04,2.01,2.04,2.0,9690000.0
2019-11-06,2.01,2.02,2.03,2.01,10930000.0
2019-11-05,2.01,1.99,2.02,1.98,9340000.0
2019-11-04,1.98,1.99,2.01,1.96,6870000.0
2019-11-01,1.99,1.98,2.02,1.98,9630000.0
2019-10-31,1.97,2.0,2.0,1.95,11780000.0
2019-10-30,1.99,2.0,2.01,1.97,8279999.999999999
2019-10-29,2.01,2.02,2.06,2.01,8510000.0
2019-10-25,2.02,2.06,2.07,2.01,14030000.0
2019-10-24,2.07,2.07,2.09,2.05,10350000.0
2019-10-23,2.06,2.07,2.09,2.05,14730000.0
2019-10-22,2.08,2.05,2.09,2.05,17450000.0
