Date,Price,Open,High,Low,Vol.
2020-03-13,8.07,8.15,8.15,8.05,595000.0
2020-03-12,8.16,8.2,8.25,8.16,825300.0
2020-03-11,8.26,8.25,8.28,8.24,838400.0
2020-03-10,8.2,8.13,8.2,8.13,677900.0
2020-03-09,8.12,8.15,8.16,8.1,475500.0
2020-03-06,8.14,8.15,8.19,8.14,423000.0
2020-03-05,8.14,8.15,8.15,8.12,116300.0
2020-03-04,8.12,8.17,8.17,8.11,142500.0
2020-03-03,8.13,8.16,8.16,8.11,1150000.0
2020-03-02,8.12,8.14,8.14,8.11,487400.0
2020-02-28,8.14,8.1,8.15,8.07,1270000.0
2020-02-27,8.14,8.12,8.14,8.06,63600.0
2020-02-26,8.14,8.12,8.15,8.01,745500.0
2020-02-25,8.15,8.09,8.15,8.06,568400.0
2020-02-24,8.09,8.13,8.13,8.06,240800.0
2020-02-21,8.11,8.1,8.15,8.09,205900.0
2020-02-20,8.15,8.15,8.15,8.14,2800.0
2020-02-19,8.15,8.13,8.16,8.13,664300.0
2020-02-18,8.14,8.1,8.14,8.09,2810000.0
2020-02-17,8.1,8.1,8.12,8.09,419100.0
2020-02-14,8.09,8.03,8.12,8.02,532100.0
2020-02-13,8.05,8.01,8.1,8.0,1790000.0
2020-02-12,7.98,7.98,8.0,7.9,2160000.0
2020-02-11,7.97,7.91,8.0,7.91,44300.0
2020-02-10,7.91,7.85,7.99,7.8,140600.0
2020-02-07,7.83,7.83,7.85,7.71,564300.0
2020-02-06,7.83,7.87,7.87,7.82,723900.0
2020-02-05,7.81,7.83,7.88,7.8,1150000.0
2020-02-04,7.8,7.8,7.81,7.78,2620000.0
2020-02-03,7.82,7.85,7.87,7.8,570700.0
2020-01-31,7.83,7.85,7.92,7.81,592200.0
2020-01-30,7.8,7.8,7.87,7.77,1700000.0
2020-01-29,7.76,7.9,7.9,7.75,3090000.0
2020-01-28,7.85,7.98,8.0,7.84,894700.0
2020-01-24,7.98,7.98,8.0,7.92,29100.0
2020-01-23,7.98,7.85,7.98,7.83,3860000.0
2020-01-22,7.83,7.93,7.93,7.83,245400.0
2020-01-21,7.93,7.95,7.95,7.92,256000.0
2020-01-20,7.94,7.9,7.94,7.9,816400.0
2020-01-17,7.89,7.95,7.95,7.88,655600.0
2020-01-16,7.96,7.98,7.98,7.92,1730000.0
2020-01-15,7.95,7.95,7.96,7.91,1060000.0
2020-01-14,7.95,8.0,8.0,7.94,516900.0
2020-01-13,8.0,8.13,8.13,7.99,162500.0
2020-01-10,8.14,7.97,8.14,7.95,423900.0
2020-01-09,7.97,7.98,7.98,7.97,918400.0
2020-01-08,7.98,7.95,7.99,7.95,932900.0
2020-01-07,7.98,7.97,7.99,7.96,1510000.0
2020-01-06,7.97,7.9,7.98,7.89,74400.0
2020-01-03,7.91,7.85,7.92,7.84,793800.0
2020-01-02,7.85,7.94,7.94,7.85,217300.0
2019-12-31,7.9,8.0,8.03,7.9,241100.0
2019-12-30,7.98,8.0,8.01,7.97,47000.0
2019-12-27,7.99,8.0,8.0,7.98,967700.0
2019-12-26,8.0,7.99,8.0,7.99,225600.0
2019-12-24,7.99,7.99,8.0,7.96,613400.0
2019-12-23,7.99,7.99,8.0,7.97,704400.0
2019-12-20,8.0,8.0,8.0,7.95,256600.00000000003
2019-12-19,7.98,7.99,8.01,7.97,503800.0
2019-12-18,7.99,8.05,8.05,7.99,1030000.0
2019-12-17,7.99,8.01,8.01,7.99,777300.0
2019-12-16,8.0,7.99,8.0,7.99,540200.0
2019-12-13,8.0,7.99,8.02,7.99,262400.0
2019-12-12,8.02,8.0,8.02,7.99,688100.0
2019-12-11,7.99,7.99,8.0,7.98,610200.0
2019-12-10,7.97,7.99,7.99,7.96,918700.0
2019-12-09,7.98,8.0,8.0,7.98,772800.0
2019-12-06,7.99,8.09,8.09,7.99,1100000.0
2019-12-05,8.03,7.97,8.03,7.97,77400.0
2019-12-04,7.98,7.97,7.98,7.97,239800.0
2019-12-03,7.98,8.0,8.0,7.95,1140000.0
2019-12-02,8.0,8.0,8.0,7.99,234300.0
2019-11-29,8.0,8.09,8.09,7.99,328100.0
2019-11-28,8.0,7.99,8.09,7.99,137500.0
2019-11-27,7.98,7.97,8.0,7.97,616100.0
2019-11-26,7.99,8.0,8.02,7.98,1120000.0
2019-11-25,7.99,8.0,8.0,7.99,489200.0
2019-11-22,7.99,8.0,8.06,7.99,490800.0
2019-11-21,8.0,8.01,8.06,7.99,458600.0
2019-11-20,8.0,7.99,8.01,7.99,630200.0
2019-11-19,7.99,8.1,8.1,7.99,870300.0
2019-11-18,8.1,8.15,8.15,8.0,117300.0
2019-11-15,8.0,8.1,8.2,8.0,433600.0
2019-11-14,8.1,8.08,8.3,8.02,169200.0
2019-11-13,8.0,8.04,8.04,7.99,48900.0
2019-11-12,7.99,8.0,8.05,7.97,681600.0
2019-11-11,7.99,8.0,8.0,7.98,67400.0
2019-11-08,7.99,8.0,8.0,7.96,147500.0
2019-11-07,7.99,8.0,8.09,7.98,845100.0
2019-11-06,8.0,8.0,8.08,7.99,503100.0
2019-11-05,7.99,8.0,8.0,7.97,676100.0
2019-11-04,7.99,8.0,8.03,7.99,371700.0
2019-11-01,7.95,8.0,8.0,7.95,437000.0
2019-10-31,7.99,8.0,8.08,7.95,995200.0
2019-10-30,8.0,8.01,8.02,7.99,627300.0
2019-10-29,8.01,8.12,8.12,8.0,50100.0
2019-10-25,8.01,8.01,8.08,8.01,9300.0
2019-10-24,8.0,8.0,8.01,7.99,325700.0
2019-10-23,8.0,8.0,8.1,8.0,92200.0
2019-10-22,7.99,7.98,8.06,7.97,757000.0
2019-10-21,7.98,7.97,8.0,7.97,2000.0
2019-10-18,7.96,7.99,8.04,7.96,906800.0
2019-10-17,7.99,7.96,8.05,7.92,1220000.0
2019-10-16,7.96,8.1,8.1,7.95,392400.0
2019-10-15,8.06,7.96,8.14,7.96,15400.0
2019-10-14,8.0,8.01,8.06,7.95,924700.0
2019-10-11,8.01,8.06,8.09,8.01,673000.0
2019-10-10,8.06,8.06,8.09,8.05,448400.0
2019-10-09,8.1,8.14,8.14,8.09,912700.0
2019-10-08,8.08,8.08,8.13,8.06,988200.0
2019-10-07,8.09,8.08,8.15,8.08,1100000.0
2019-10-04,8.08,8.08,8.12,8.05,2020000.0
2019-10-03,8.07,8.03,8.16,8.03,1190000.0
2019-10-02,8.07,8.09,8.16,8.03,451400.0
2019-10-01,8.07,8.15,8.15,8.06,1210000.0
2019-09-30,8.07,8.08,8.13,8.05,2110000.0
2019-09-27,8.04,8.18,8.18,8.04,675200.0
2019-09-26,8.1,8.1,8.1,8.02,439000.0
2019-09-25,8.1,8.09,8.1,8.02,1220000.0
2019-09-24,8.1,8.15,8.15,8.04,865800.0
2019-09-23,8.13,8.12,8.22,8.12,78200.0
2019-09-20,8.22,8.19,8.24,8.09,14280000.0
2019-09-19,8.05,8.08,8.21,8.0,1950000.0
2019-09-18,8.08,8.08,8.14,8.03,1510000.0
2019-09-17,8.0,8.05,8.05,7.87,801700.0
2019-09-13,8.04,8.1,8.11,8.02,548100.0
2019-09-12,8.05,8.35,8.35,8.02,1630000.0
2019-09-11,8.15,8.19,8.27,8.11,1940000.0
2019-09-10,8.19,8.2,8.27,8.13,1570000.0
2019-09-06,8.2,8.25,8.27,8.18,1460000.0
2019-09-05,8.28,8.3,8.39,8.21,2120000.0
2019-09-04,8.25,8.36,8.36,8.19,483300.0
2019-09-03,8.3,8.24,8.41,8.17,967500.0
2019-08-30,8.16,8.09,8.27,8.04,1360000.0
2019-08-29,8.01,8.39,8.39,8.01,1210000.0
2019-08-28,8.2,8.48,8.48,8.16,775100.0
2019-08-27,8.4,8.4,8.4,8.13,2590000.0
2019-08-26,8.25,8.2,8.37,8.18,1430000.0
2019-08-23,8.15,7.95,8.2,7.95,1220000.0
2019-08-22,7.92,7.88,7.98,7.86,3100000.0
2019-08-21,7.87,7.88,7.92,7.86,4139999.9999999995
2019-08-20,7.87,7.86,7.88,7.85,738700.0
2019-08-19,7.87,7.88,7.89,7.84,1340000.0
