Date,Price,Open,High,Low,Vol.
2020-03-13,0.9,0.93,0.93,0.875,2980000.0
2020-03-12,0.935,0.94,0.945,0.935,1080000.0
2020-03-11,0.95,0.94,0.955,0.935,416100.0
2020-03-10,0.94,0.945,0.945,0.92,1330000.0
2020-03-09,0.95,0.96,0.96,0.945,1780000.0
2020-03-06,0.97,0.965,0.975,0.965,778900.0
2020-03-05,0.97,0.965,0.97,0.965,841100.0
2020-03-04,0.97,0.965,0.97,0.96,2820000.0
2020-03-03,0.96,0.97,0.97,0.96,524700.0
2020-03-02,0.965,0.97,0.97,0.955,2000000.0
2020-02-28,0.97,0.95,0.97,0.945,4099999.9999999995
2020-02-27,0.96,0.955,0.965,0.95,2870000.0
2020-02-26,0.95,0.95,0.97,0.95,3530000.0
2020-02-25,0.95,0.955,0.965,0.95,4260000.0
2020-02-24,0.96,0.97,0.97,0.95,2400000.0
2020-02-21,0.98,0.975,0.99,0.975,3030000.0
2020-02-20,0.98,0.98,0.98,0.975,1260000.0
2020-02-19,0.98,0.98,0.985,0.98,1280000.0
2020-02-18,0.98,0.98,0.98,0.97,2240000.0
2020-02-17,0.98,0.975,0.985,0.975,1190000.0
2020-02-14,0.975,0.97,0.98,0.97,3700000.0
2020-02-13,0.97,0.96,0.975,0.955,3350000.0
2020-02-12,0.96,0.965,0.97,0.955,1920000.0
2020-02-11,0.96,0.96,0.97,0.955,2320000.0
2020-02-10,0.955,0.98,0.98,0.955,6330000.0
2020-02-07,0.97,0.985,0.985,0.965,2520000.0
2020-02-06,0.975,0.99,0.995,0.97,3900000.0
2020-02-05,0.985,0.965,0.985,0.955,5260000.0
2020-02-04,0.955,0.95,0.965,0.95,3690000.0
2020-02-03,0.955,0.975,0.975,0.95,6430000.0
2020-01-31,0.98,0.965,0.985,0.965,3720000.0
2020-01-30,0.97,1.01,1.01,0.97,3460000.0
2020-01-29,0.995,1.03,1.03,0.985,5510000.0
2020-01-28,1.02,0.99,1.04,0.99,11320000.0
2020-01-24,0.97,0.99,0.99,0.97,1140000.0
2020-01-23,0.98,1.0,1.01,0.98,3280000.0
2020-01-22,0.99,0.955,0.995,0.95,17570000.0
2020-01-21,0.95,0.95,0.955,0.945,2350000.0
2020-01-20,0.95,0.955,0.955,0.945,3100000.0
2020-01-17,0.955,0.94,0.96,0.94,3200000.0
2020-01-16,0.94,0.955,0.955,0.935,2650000.0
2020-01-15,0.955,0.955,0.96,0.95,2940000.0
2020-01-14,0.95,0.95,0.96,0.94,1090000.0
2020-01-13,0.945,0.95,0.95,0.945,487500.0
2020-01-10,0.95,0.96,0.96,0.945,1330000.0
2020-01-09,0.955,0.96,0.965,0.955,1970000.0
2020-01-08,0.955,0.965,0.965,0.955,1840000.0
2020-01-07,0.96,0.95,0.96,0.95,621100.0
2020-01-06,0.955,0.96,0.96,0.945,684200.0
2020-01-03,0.96,0.96,0.96,0.95,658300.0
2020-01-02,0.96,0.945,0.96,0.945,1550000.0
2019-12-31,0.945,0.94,0.955,0.94,3690000.0
2019-12-30,0.94,0.94,0.945,0.94,631300.0
2019-12-27,0.94,0.94,0.94,0.925,2730000.0
2019-12-26,0.935,0.935,0.94,0.93,684300.0
2019-12-24,0.93,0.935,0.935,0.93,406500.0
2019-12-23,0.93,0.93,0.935,0.925,746000.0
2019-12-20,0.935,0.93,0.935,0.93,641400.0
2019-12-19,0.93,0.93,0.935,0.93,617300.0
2019-12-18,0.93,0.925,0.935,0.925,871800.0
2019-12-17,0.925,0.93,0.935,0.92,1290000.0
2019-12-16,0.935,0.93,0.935,0.925,1310000.0
2019-12-13,0.93,0.935,0.94,0.925,822100.0
2019-12-12,0.935,0.93,0.935,0.925,379800.0
2019-12-11,0.93,0.925,0.93,0.92,637500.0
2019-12-10,0.925,0.93,0.94,0.925,830200.0
2019-12-09,0.935,0.925,0.935,0.925,1320000.0
2019-12-06,0.925,0.92,0.93,0.915,1270000.0
2019-12-05,0.92,0.92,0.925,0.915,788300.0
2019-12-04,0.92,0.925,0.925,0.915,1160000.0
2019-12-03,0.915,0.915,0.92,0.91,938400.0
2019-12-02,0.915,0.905,0.92,0.905,1320000.0
2019-11-29,0.905,0.905,0.92,0.905,2310000.0
2019-11-28,0.905,0.91,0.915,0.9,2990000.0
2019-11-27,0.91,0.925,0.925,0.905,1530000.0
2019-11-26,0.935,0.92,0.935,0.915,4220000.0
2019-11-25,0.915,0.915,0.925,0.915,1700000.0
2019-11-22,0.915,0.92,0.925,0.915,1890000.0
2019-11-21,0.92,0.92,0.93,0.92,191900.0
2019-11-20,0.92,0.915,0.93,0.915,935900.0
2019-11-19,0.915,0.91,0.92,0.905,1600000.0
2019-11-18,0.91,0.91,0.915,0.91,731200.0
2019-11-15,0.905,0.905,0.915,0.905,2500000.0
2019-11-14,0.91,0.915,0.915,0.905,701500.0
2019-11-13,0.915,0.91,0.93,0.905,1630000.0
2019-11-12,0.91,0.92,0.925,0.91,1340000.0
2019-11-11,0.925,0.925,0.925,0.915,1180000.0
2019-11-08,0.925,0.925,0.93,0.92,670200.0
2019-11-07,0.92,0.93,0.935,0.92,1150000.0
2019-11-06,0.93,0.93,0.935,0.93,388900.0
2019-11-05,0.93,0.945,0.945,0.93,2009999.9999999998
2019-11-04,0.94,0.935,0.94,0.925,1240000.0
2019-11-01,0.93,0.92,0.935,0.92,1720000.0
2019-10-31,0.92,0.925,0.93,0.92,5340000.0
2019-10-30,0.925,0.92,0.925,0.915,4240000.0
2019-10-29,0.92,0.93,0.945,0.92,1500000.0
2019-10-25,0.93,0.915,0.935,0.915,2650000.0
2019-10-24,0.92,0.915,0.92,0.91,2029999.9999999998
2019-10-23,0.915,0.925,0.93,0.915,1040000.0
2019-10-22,0.93,0.94,0.945,0.93,1310000.0
2019-10-21,0.95,0.935,0.95,0.915,2380000.0
2019-10-18,0.95,0.905,0.95,0.905,3420000.0
2019-10-17,0.91,0.915,0.92,0.9,1710000.0
2019-10-16,0.915,0.9,0.915,0.9,5120000.0
2019-10-15,0.9,0.915,0.915,0.9,2060000.0
2019-10-14,0.92,0.91,0.925,0.9,2910000.0
2019-10-11,0.9,0.885,0.905,0.885,2730000.0
2019-10-10,0.885,0.875,0.89,0.875,4139999.9999999995
2019-10-09,0.875,0.885,0.89,0.875,4990000.0
2019-10-08,0.885,0.89,0.89,0.88,6390000.0
2019-10-07,0.885,0.88,0.895,0.875,3260000.0
2019-10-04,0.88,0.875,0.885,0.875,6600000.0
2019-10-03,0.875,0.885,0.885,0.87,5390000.0
2019-10-02,0.88,0.88,0.885,0.875,2930000.0
2019-10-01,0.88,0.885,0.89,0.88,2210000.0
2019-09-30,0.885,0.88,0.885,0.875,4640000.0
2019-09-27,0.88,0.885,0.89,0.87,7790000.0
2019-09-26,0.885,0.895,0.895,0.88,5500000.0
2019-09-25,0.895,0.9,0.9,0.895,926100.0
