Date,Price,Open,High,Low,Vol.
2020-03-13,17.96,19.1,19.1,17.54,1780000.0
2020-03-12,20.0,20.6,20.76,19.92,1510000.0
2020-03-11,20.72,21.4,21.4,20.28,545700.0
2020-03-10,20.3,21.38,21.4,20.02,1220000.0
2020-03-09,20.94,21.0,21.48,20.4,1740000.0
2020-03-06,21.8,22.32,22.32,21.6,219300.0
2020-03-05,21.72,21.6,21.92,21.6,797300.0
2020-03-04,21.76,21.58,21.9,21.54,716000.0
2020-03-03,21.92,21.7,22.04,21.7,1320000.0
2020-03-02,21.9,21.72,22.3,21.5,446500.0
2020-02-28,21.84,21.52,22.14,21.52,2460000.0
2020-02-27,22.34,22.74,22.74,22.24,862200.0
2020-02-26,22.24,22.24,22.52,21.62,876800.0
2020-02-25,22.24,22.2,22.32,22.08,956600.0
2020-02-24,22.2,22.16,22.74,21.92,1190000.0
2020-02-21,23.2,22.6,23.3,22.6,513600.0
2020-02-20,22.84,23.0,23.04,22.6,345800.0
2020-02-19,23.02,23.42,23.42,22.8,564900.0
2020-02-18,23.14,23.94,23.94,22.82,1250000.0
2020-02-17,23.74,23.54,23.8,23.54,139600.0
2020-02-14,23.54,23.76,23.76,23.32,265800.0
2020-02-13,23.4,24.0,24.0,23.1,308000.0
2020-02-12,23.7,23.7,23.78,23.52,608000.0
2020-02-11,23.7,24.0,24.0,23.5,349200.0
2020-02-10,23.58,24.0,24.0,23.36,687500.0
2020-02-07,23.6,23.56,23.78,23.2,278300.0
2020-02-06,23.62,23.46,23.92,23.42,417900.0
2020-02-05,23.44,23.06,23.8,22.98,693300.0
2020-02-04,22.88,22.66,23.18,22.64,1320000.0
2020-02-03,22.58,22.54,22.7,22.48,2910000.0
2020-01-31,22.8,22.9,22.96,22.72,2240000.0
2020-01-30,22.9,23.2,23.3,22.82,1760000.0
2020-01-29,23.12,23.24,23.66,23.12,1500000.0
2020-01-28,23.24,23.4,23.44,23.02,2089999.9999999998
2020-01-24,23.46,23.9,23.9,23.36,285400.0
2020-01-23,23.9,24.2,24.22,23.84,250300.0
2020-01-22,24.3,24.3,24.36,24.1,558300.0
2020-01-21,24.4,24.26,24.42,24.2,113000.0
2020-01-20,24.26,24.28,24.46,24.06,294600.0
2020-01-17,24.4,24.4,24.48,24.28,415400.0
2020-01-16,24.5,24.0,24.52,23.9,557300.0
2020-01-15,24.58,24.62,24.66,24.56,793100.0
2020-01-14,24.68,24.74,24.78,24.5,368400.0
2020-01-13,24.74,24.7,24.86,24.6,446600.0
2020-01-10,24.66,24.68,24.68,24.62,298600.0
2020-01-09,24.68,24.86,24.88,24.6,897800.0
2020-01-08,24.5,24.52,24.9,24.2,622400.0
2020-01-07,24.94,24.98,25.02,24.7,308100.0
2020-01-06,24.98,25.32,25.32,24.8,150100.0
2020-01-03,25.0,25.3,25.4,24.9,1090000.0
2020-01-02,25.1,25.3,25.36,25.04,809400.0
2019-12-31,24.8,25.08,25.18,24.54,785600.0
2019-12-30,25.1,24.9,25.4,24.9,626900.0
2019-12-27,24.8,24.4,24.86,24.4,1010000.0
2019-12-26,24.8,24.86,24.86,24.7,290500.0
2019-12-24,24.8,24.8,25.16,24.58,625300.0
2019-12-23,24.8,24.46,24.8,24.46,685200.0
2019-12-20,24.6,24.5,24.76,24.3,2270000.0
2019-12-19,24.76,24.7,24.8,24.6,448600.0
2019-12-18,24.7,24.8,24.8,24.6,824300.0
2019-12-17,24.6,24.72,24.76,23.6,1360000.0
2019-12-16,24.5,24.42,24.7,24.2,370400.0
2019-12-13,24.7,24.8,24.82,24.66,671600.0
2019-12-12,24.7,24.48,24.8,24.48,734300.0
2019-12-11,24.6,24.26,24.68,24.26,1300000.0
2019-12-10,24.5,24.98,24.98,24.32,1090000.0
2019-12-09,24.82,24.3,25.02,24.3,2150000.0
2019-12-06,24.16,23.76,24.24,23.76,999400.0
2019-12-05,23.74,23.6,23.84,23.58,735100.0
2019-12-04,23.54,23.38,23.54,23.3,1680000.0
2019-12-03,23.5,23.5,23.68,23.28,1680000.0
2019-12-02,23.74,23.2,23.76,23.14,1100000.0
2019-11-29,23.34,23.74,23.74,23.12,892200.0
2019-11-28,23.3,23.74,23.74,23.3,446400.0
2019-11-27,23.5,23.78,23.78,23.36,246000.0
2019-11-26,23.7,23.98,23.98,22.84,2380000.0
2019-11-25,23.78,23.8,23.82,23.48,513000.0
2019-11-22,23.8,23.7,23.86,23.08,1500000.0
2019-11-21,23.7,23.98,24.0,23.32,1490000.0
2019-11-20,23.6,22.66,23.66,22.64,2670000.0
2019-11-19,22.5,22.34,22.58,22.34,983900.0
2019-11-18,22.54,22.2,22.6,22.2,462700.0
2019-11-15,22.4,22.4,22.54,22.26,1990000.0
2019-11-14,22.52,21.96,22.68,21.86,789700.0
2019-11-13,22.2,22.4,22.42,22.16,940700.0
2019-11-12,22.36,22.48,22.6,22.3,2730000.0
2019-11-11,22.2,22.5,22.64,21.46,932200.0
2019-11-08,22.52,22.5,22.8,22.5,634900.0
2019-11-07,22.92,22.44,22.92,22.32,1450000.0
2019-11-06,22.32,22.32,22.36,22.26,1320000.0
2019-11-05,22.28,22.16,22.38,22.04,2800000.0
2019-11-04,21.98,21.76,22.04,21.74,4410000.0
2019-11-01,21.7,21.8,21.82,21.62,1640000.0
2019-10-31,21.66,21.7,21.8,21.6,2270000.0
2019-10-30,21.52,21.68,21.68,21.46,587900.0
2019-10-29,21.58,21.68,21.7,21.48,1280000.0
2019-10-25,21.6,21.6,21.62,21.54,206800.0
2019-10-24,21.6,21.96,22.08,21.4,388600.0
2019-10-23,21.7,21.84,21.84,21.46,165200.0
2019-10-22,21.74,21.7,21.74,21.62,1170000.0
2019-10-21,21.62,21.4,21.62,21.4,650200.0
2019-10-18,21.5,21.52,21.8,21.5,623300.0
2019-10-17,21.62,21.54,21.82,21.52,601500.0
2019-10-16,21.68,21.64,21.84,21.5,692300.0
2019-10-15,21.5,21.48,21.7,21.36,1030000.0
2019-10-14,21.42,21.38,21.54,21.34,494400.0
2019-10-11,21.4,21.22,21.54,21.22,803500.0
2019-10-10,21.44,21.28,21.46,21.26,2700000.0
2019-10-09,21.3,21.36,21.38,21.06,2790000.0
2019-10-08,21.34,21.28,21.78,21.1,1950000.0
2019-10-07,21.18,21.24,21.44,20.9,1980000.0
2019-10-04,21.24,22.9,22.9,21.0,2980000.0
2019-10-03,22.78,22.96,22.96,22.68,1190000.0
2019-10-02,22.92,23.0,23.22,22.74,1400000.0
2019-10-01,23.18,22.96,23.36,22.96,837500.0
2019-09-30,23.08,23.08,23.1,22.8,315200.0
2019-09-27,22.98,23.22,23.22,22.74,452100.0
2019-09-26,23.16,23.0,23.24,22.98,416800.0
2019-09-25,22.98,23.34,23.34,22.9,114200.0
2019-09-24,23.12,22.72,23.12,22.6,2960000.0
2019-09-23,23.1,22.7,23.18,22.7,388400.0
2019-09-20,23.06,23.28,23.28,22.12,2140000.0
2019-09-19,23.4,23.16,23.42,23.06,157900.0
2019-09-18,23.36,23.6,23.7,23.04,2340000.0
2019-09-17,23.58,23.68,23.68,23.44,2450000.0
2019-09-13,23.74,23.62,23.78,23.46,199200.0
2019-09-12,23.64,23.84,23.86,23.56,127800.0
2019-09-11,23.78,23.48,23.9,23.48,414900.0
2019-09-10,23.66,23.84,23.92,23.58,498400.0
2019-09-06,23.58,23.74,23.84,23.38,71700.0
2019-09-05,23.66,23.84,23.84,23.58,1050000.0
2019-09-04,23.84,24.0,24.0,23.4,249100.0
2019-09-03,23.6,24.02,24.08,23.6,749400.0
2019-08-30,23.98,23.7,24.04,23.7,597400.0
2019-08-29,23.6,23.64,23.96,23.34,424600.0
2019-08-28,23.48,23.8,23.8,23.22,277500.0
2019-08-27,23.52,23.88,23.88,23.38,1710000.0
2019-08-26,23.66,23.5,23.66,23.5,261700.0
2019-08-23,23.8,23.4,23.84,23.32,214900.0
2019-08-22,23.62,23.6,23.66,23.6,453800.0
2019-08-21,23.62,23.76,23.8,23.44,1200000.0
2019-08-20,23.82,23.78,23.9,23.78,652200.0
2019-08-19,23.78,23.64,23.9,23.64,198700.0
2019-08-16,24.02,23.46,24.02,23.46,301500.0
2019-08-15,23.9,23.24,23.9,23.24,360100.0
2019-08-14,23.62,23.2,23.76,23.2,261600.00000000003
2019-08-13,23.56,23.52,23.88,23.48,249900.0
2019-08-09,23.6,23.42,23.82,23.42,220000.0
2019-08-08,23.68,23.6,23.86,23.54,172600.0
2019-08-07,23.6,23.2,23.9,23.2,299700.0
2019-08-06,23.34,23.2,23.4,23.0,855700.0
2019-08-05,23.42,23.42,23.5,23.3,481600.0
2019-08-02,23.76,23.3,23.76,23.3,371400.0
2019-08-01,23.5,23.34,23.58,23.24,229000.0
2019-07-31,23.62,23.22,23.62,23.22,750800.0
2019-07-29,23.62,23.16,23.62,23.16,1980000.0
2019-07-26,23.56,23.56,23.66,23.48,2230000.0
2019-07-25,23.82,23.6,23.92,23.5,317600.0
2019-07-24,23.64,23.62,23.88,23.62,1260000.0
2019-07-23,23.68,23.7,23.72,23.66,1920000.0
2019-07-22,23.7,23.7,23.82,23.6,170200.0
2019-07-19,23.9,23.94,24.0,23.82,234000.0
2019-07-18,24.0,24.26,24.26,23.94,124800.0
2019-07-17,24.0,24.02,24.02,23.9,113700.0
2019-07-16,24.04,24.2,24.2,23.92,880200.0
