Date,Price,Open,High,Low,Vol.
2020-03-13,0.7,0.7,0.7,0.7,
2020-03-12,0.7,0.7,0.7,0.7,11500.0
2020-03-09,0.7,0.7,0.7,0.7,5000.0
2020-03-05,0.705,0.705,0.705,0.705,1100.0
2020-03-04,0.7,0.705,0.71,0.7,75300.0
2020-03-03,0.705,0.705,0.705,0.705,4000.0
2020-03-02,0.705,0.71,0.71,0.705,6400.0
2020-02-28,0.7,0.7,0.7,0.7,4000.0
2020-02-25,0.7,0.7,0.7,0.7,1000.0
2020-02-19,0.72,0.7,0.72,0.7,5000.0
2020-02-14,0.69,0.69,0.7,0.69,469600.0
2020-02-12,0.7,0.7,0.7,0.7,1000.0
2020-02-04,0.7,0.7,0.7,0.7,300.0
2020-02-03,0.7,0.7,0.7,0.7,62300.0
2020-01-29,0.7,0.7,0.7,0.7,6200.0
2020-01-16,0.7,0.7,0.7,0.7,6400.0
2020-01-06,0.7,0.7,0.7,0.7,5000.0
2019-12-31,0.7,0.7,0.7,0.7,61800.0
2019-12-26,0.7,0.7,0.7,0.7,177000.0
2019-12-23,0.7,0.705,0.74,0.7,372200.0
2019-12-18,0.705,0.705,0.705,0.705,1600.0
2019-12-17,0.705,0.705,0.705,0.705,400.0
2019-11-22,0.74,0.74,0.74,0.74,7000.0
2019-11-20,0.69,0.69,0.73,0.69,3800.0
2019-11-19,0.8,0.85,0.85,0.8,355300.0
2019-11-18,0.85,0.85,0.85,0.85,7700.0
2019-11-13,0.8,0.81,0.81,0.8,20000.0
2019-11-11,0.71,0.71,0.715,0.71,98500.0
2019-10-29,0.7,0.7,0.7,0.7,10000.0
2019-10-09,0.69,0.69,0.69,0.69,1000.0
2019-10-03,0.69,0.69,0.69,0.69,1000.0
2019-09-27,0.69,0.69,0.69,0.69,400.0
2019-09-20,0.73,0.73,0.73,0.73,800.0
2019-09-19,0.73,0.73,0.73,0.73,200.0
2019-09-11,0.73,0.75,0.75,0.73,9500.0
2019-09-10,0.73,0.75,0.75,0.73,1300.0
2019-09-06,0.775,0.77,0.775,0.74,33000.0
2019-09-03,0.775,0.78,0.785,0.775,27100.0
2019-08-26,0.785,0.785,0.785,0.785,10000.0
2019-08-23,0.785,0.79,0.79,0.785,6000.0
2019-08-15,0.79,0.79,0.79,0.79,12000.0
2019-08-13,0.795,0.795,0.795,0.795,20000.0
2019-08-09,0.795,0.795,0.795,0.795,90000.0
2019-08-08,0.795,0.795,0.795,0.795,100000.0
2019-07-31,0.795,0.795,0.795,0.795,32000.0
2019-07-26,0.795,0.795,0.795,0.795,27000.0
2019-07-25,0.8,0.8,0.8,0.795,17000.0
2019-07-24,0.795,0.795,0.795,0.795,54400.0
2019-07-23,0.795,0.795,0.795,0.795,600.0
2019-07-18,0.795,0.795,0.795,0.795,20000.0
2019-07-16,0.795,0.8,0.8,0.795,26000.0
2019-07-12,0.8,0.8,0.8,0.8,50000.0
2019-07-11,0.795,0.795,0.795,0.795,30000.0
2019-07-09,0.8,0.8,0.8,0.8,115000.0
2019-07-02,0.8,0.8,0.8,0.8,58500.0
2019-07-01,0.8,0.8,0.8,0.8,80000.0
2019-06-28,0.8,0.8,0.8,0.8,1000.0
2019-06-26,0.8,0.8,0.8,0.8,75300.0
2019-06-24,0.8,0.805,0.805,0.8,14700.0
2019-06-21,0.81,0.81,0.81,0.81,9000.0
2019-06-17,0.81,0.81,0.81,0.81,200.0
2019-06-07,0.815,0.815,0.815,0.815,6200.0
2019-05-29,0.815,0.815,0.815,0.815,2000.0
2019-05-24,0.81,0.85,0.85,0.81,192000.0
2019-05-15,0.85,0.85,0.85,0.85,4000.0
2019-05-14,0.85,0.85,0.85,0.85,900.0
2019-05-02,0.85,0.85,0.85,0.85,2800.0
2019-04-30,0.85,0.85,0.85,0.85,200.0
2019-04-02,0.845,0.845,0.845,0.845,2000.0
2019-04-01,0.85,0.85,0.85,0.85,1600.0
2019-03-28,0.85,0.86,0.86,0.85,2000.0
2019-03-22,0.85,0.85,0.85,0.85,1000.0
2019-03-07,0.84,0.845,0.845,0.84,22000.0
2019-02-18,0.84,0.84,0.84,0.84,4700.0
2019-02-13,0.8,0.85,0.85,0.8,28900.0
2019-02-12,0.85,0.88,0.88,0.83,168400.0
2019-02-07,0.88,0.93,0.93,0.88,83900.0
2019-01-24,0.9,0.95,0.95,0.9,3000.0
2019-01-22,0.88,1.0,1.0,0.88,17500.0
2019-01-08,1.03,1.0,1.03,1.0,500.0
2018-12-21,1.03,1.02,1.03,1.02,1000.0
2018-12-17,1.04,1.02,1.04,0.93,6200.0
2018-12-10,1.04,1.02,1.04,1.0,1800.0
2018-12-06,1.02,1.02,1.02,1.02,1200.0
2018-11-29,1.02,1.02,1.02,1.02,1000.0
2018-11-28,1.02,1.02,1.02,1.02,1000.0
2018-11-27,1.04,1.02,1.04,1.02,3000.0
2018-11-22,1.04,1.02,1.04,1.0,8000.0
2018-11-14,1.04,1.01,1.04,1.01,2000.0
2018-10-31,1.04,1.01,1.04,1.01,6000.0
2018-10-29,1.04,1.04,1.05,1.02,17000.0
2018-10-26,1.04,1.02,1.06,1.02,14000.0
2018-10-23,0.95,0.96,0.96,0.95,4200.0
2018-10-22,0.97,0.97,0.97,0.97,1000.0
2018-10-11,1.0,1.0,1.0,1.0,2000.0
2018-10-09,1.02,1.02,1.02,1.02,2000.0
2018-10-08,0.97,0.98,0.98,0.97,2000.0
2018-10-05,1.02,1.02,1.02,1.02,2000.0
2018-10-01,1.01,1.01,1.01,1.01,6600.0
2018-09-26,1.0,1.0,1.0,1.0,124000.0
2018-09-21,1.01,1.01,1.01,1.01,6000.0
2018-09-19,1.01,1.01,1.01,1.01,600.0
2018-09-18,1.05,1.05,1.05,1.05,12500.0
2018-09-14,1.0,1.0,1.0,1.0,17200.0
2018-09-13,1.0,1.0,1.0,1.0,10000.0
2018-09-06,1.0,1.0,1.0,1.0,1000.0
2018-08-09,1.0,1.0,1.0,1.0,1000.0
2018-08-07,1.01,1.01,1.01,1.01,1000.0
2018-08-03,1.02,1.02,1.02,1.02,3000.0
2018-08-01,1.1,1.02,1.1,1.02,10500.0
2018-07-31,1.1,1.01,1.1,1.01,2000.0
2018-07-27,1.02,1.02,1.02,1.02,1000.0
2018-07-26,1.02,1.02,1.02,1.02,2000.0
2018-07-19,1.01,1.01,1.01,1.01,4000.0
2018-07-17,1.01,1.0,1.01,1.0,3400.0
2018-07-13,1.0,1.0,1.0,1.0,1000.0
2018-07-06,1.0,1.0,1.0,1.0,4000.0
2018-07-02,1.0,1.0,1.0,1.0,10000.0
2018-06-29,1.0,1.0,1.0,1.0,2200.0
2018-06-27,1.0,1.0,1.0,1.0,4000.0
2018-06-21,1.0,1.0,1.0,1.0,110000.0
2018-06-18,1.0,1.0,1.0,1.0,11600.0
2018-06-14,1.0,1.0,1.0,1.0,400.0
2018-06-13,1.0,1.01,1.01,1.0,102000.0
2018-06-12,1.01,1.01,1.01,1.01,300.0
2018-06-07,1.0,1.01,1.01,1.0,103100.0
2018-06-05,1.0,0.995,1.0,0.995,900.0
2018-06-01,1.0,1.01,1.01,0.99,187900.0
2018-05-28,1.1,1.1,1.1,1.1,500.0
2018-05-25,1.04,1.0,1.04,1.0,50500.0
2018-05-24,1.05,1.05,1.05,1.05,1000.0
2018-05-23,1.0,1.01,1.01,1.0,68700.0
2018-05-21,1.02,1.02,1.03,1.02,86400.0
2018-05-18,1.02,1.03,1.1,1.02,11400.0
2018-05-17,1.09,1.03,1.09,1.02,112700.0
2018-05-07,1.11,1.03,1.11,1.03,700.0
2018-05-04,1.11,1.11,1.11,1.11,100.0
2018-04-23,1.11,1.03,1.11,1.03,22500.0
2018-04-20,1.11,1.03,1.11,1.03,1500.0
2018-04-16,1.03,1.03,1.03,1.03,2000.0
2018-04-13,1.03,1.03,1.03,1.03,200.0
2018-04-06,1.02,1.02,1.02,1.02,1000.0
2018-04-05,1.02,1.02,1.02,1.02,1000.0
2018-04-02,1.03,1.03,1.03,1.03,900.0
2018-03-30,1.03,1.03,1.03,1.03,4400.0
2018-03-29,1.03,1.03,1.03,1.03,600.0
2018-03-28,1.04,1.04,1.04,1.04,4000.0
2018-03-26,1.04,1.04,1.04,1.04,12100.0
2018-03-23,1.04,1.04,1.04,1.04,12300.0
2018-03-21,1.04,1.04,1.04,1.04,200.0
2018-03-20,1.04,1.04,1.04,1.04,53300.0
2018-03-16,1.04,1.04,1.04,1.04,1000.0
2018-03-15,1.04,1.04,1.04,1.04,24800.0
2018-03-14,1.04,1.04,1.04,1.04,25500.0
2018-03-09,1.08,1.08,1.08,1.08,20000.0
2018-03-08,1.08,1.07,1.08,1.07,20900.0
2018-03-06,1.05,1.05,1.05,1.05,19000.0
2018-03-02,1.1,1.1,1.1,1.1,600.0
2018-02-28,1.12,1.12,1.16,1.12,9700.0
2018-02-27,1.12,1.12,1.12,1.12,1800.0
2018-02-23,1.12,1.12,1.12,1.12,7000.0
2018-02-21,1.12,1.15,1.15,1.12,11600.0
2018-02-14,1.11,1.11,1.11,1.11,2000.0
2018-02-09,1.11,1.11,1.11,1.11,2000.0
2018-01-29,1.2,1.2,1.2,1.2,2800.0
2018-01-26,1.2,1.2,1.21,1.2,20000.0
2018-01-25,1.22,1.2,1.22,1.2,7000.0
2018-01-24,1.17,1.15,1.17,1.15,15800.0
2018-01-22,1.13,1.13,1.13,1.13,2000.0
2018-01-19,1.15,1.15,1.15,1.15,95600.0
2018-01-16,1.16,1.16,1.16,1.16,2000.0
2018-01-15,1.15,1.17,1.17,1.15,78400.0
2018-01-11,1.19,1.19,1.19,1.19,7000.0
2018-01-10,1.19,1.22,1.22,1.19,19000.0
2018-01-09,1.22,1.22,1.22,1.22,13600.0
2018-01-08,1.22,1.23,1.23,1.22,70200.0
2018-01-05,1.22,1.22,1.22,1.22,37500.0
2018-01-04,1.22,1.19,1.23,1.19,225000.0
2018-01-03,1.17,1.18,1.18,1.17,26000.0
2018-01-02,1.17,1.14,1.19,1.14,22500.0
2017-12-29,1.15,1.14,1.16,1.14,23500.0
2017-12-28,1.14,1.13,1.14,1.13,10100.0
2017-12-27,1.13,1.12,1.13,1.12,51000.0
2017-12-26,1.12,1.12,1.12,1.12,5000.0
2017-12-22,1.12,1.12,1.12,1.12,31100.0
2017-12-19,1.12,1.12,1.13,1.12,24300.0
2017-12-15,1.15,1.15,1.15,1.15,2000.0
2017-12-14,1.15,1.15,1.15,1.13,267200.0
2017-12-13,1.15,1.17,1.17,1.14,104400.0
2017-12-12,1.16,1.17,1.17,1.16,47600.0
2017-12-11,1.17,1.17,1.17,1.17,7500.0
2017-12-08,1.16,1.13,1.16,1.12,393400.0
2017-12-04,1.09,1.1,1.1,1.09,2800.0
2017-11-30,1.1,1.08,1.1,1.08,45600.0
2017-11-29,1.1,1.09,1.1,1.09,3000.0
2017-11-28,1.1,1.09,1.1,1.09,7000.0
2017-11-24,1.09,1.08,1.1,1.08,3800.0
2017-11-23,1.08,1.08,1.08,1.08,1600.0
2017-11-22,1.08,1.06,1.08,1.06,11800.0
2017-11-17,1.04,1.04,1.04,1.04,2000.0
2017-11-15,1.04,1.04,1.04,1.04,600.0
2017-11-10,1.04,1.04,1.04,1.04,5000.0
2017-11-08,1.04,1.05,1.05,1.04,6200.0
2017-11-07,1.04,1.04,1.04,1.04,20000.0
2017-11-03,1.04,1.04,1.04,1.04,20000.0
2017-11-02,1.04,1.04,1.04,1.04,3000.0
2017-10-25,1.04,1.04,1.04,1.04,8200.0
2017-10-24,1.05,1.05,1.05,1.05,1200.0
2017-10-23,1.05,1.04,1.05,1.02,11000.0
2017-10-20,1.05,1.04,1.05,1.04,6000.0
2017-10-19,1.05,1.05,1.05,1.05,5000.0
2017-10-17,1.06,1.04,1.06,1.04,1000.0
2017-10-16,1.04,1.04,1.04,1.04,49700.0
2017-10-13,1.04,1.07,1.07,1.04,8600.0
2017-10-10,1.04,1.05,1.05,1.04,17500.0
2017-10-06,1.05,1.05,1.05,1.05,10000.0
2017-10-04,1.04,1.04,1.04,1.04,600.0
2017-10-03,1.13,1.04,1.13,1.04,1400.0
2017-10-02,1.05,1.05,1.05,1.05,49400.0
2017-09-27,1.05,1.05,1.05,1.05,17000.0
2017-09-20,1.05,1.05,1.05,1.05,2000.0
2017-09-19,1.05,1.05,1.05,1.05,12000.0
2017-09-18,1.05,1.05,1.05,1.05,5400.0
2017-09-15,1.05,1.05,1.05,1.05,9000.0
2017-09-14,1.05,1.05,1.05,1.05,59900.0
2017-09-13,1.05,1.05,1.05,1.05,400.0
2017-09-12,1.05,1.05,1.05,1.05,42100.0
2017-09-11,1.05,1.07,1.07,1.05,22400.0
2017-09-08,1.05,1.07,1.07,1.05,8200.0
2017-09-07,1.06,1.08,1.08,1.06,30000.0
2017-09-05,1.06,1.06,1.06,1.05,47400.0
2017-08-30,1.06,1.09,1.09,1.05,41500.0
2017-08-29,1.07,1.08,1.08,1.06,3500.0
2017-08-28,1.06,1.08,1.08,1.06,16000.0
2017-08-25,1.09,1.08,1.09,1.06,4500.0
2017-08-21,1.1,1.09,1.1,1.08,7500.0
2017-08-18,1.1,1.11,1.11,1.1,2000.0
2017-08-16,1.13,1.11,1.13,1.11,2300.0
2017-08-15,1.13,1.1,1.13,1.1,2500.0
