Date,Price,Open,High,Low,Vol.
2020-03-13,13.76,13.9,14.18,13.68,139200.0
2020-03-12,14.28,14.28,14.28,14.08,511300.0
2020-03-11,14.3,14.22,14.38,14.22,79600.0
2020-03-10,14.3,13.98,14.38,13.92,88300.0
2020-03-09,14.4,14.48,14.5,14.2,251900.0
2020-03-06,14.5,14.5,14.56,14.5,71400.0
2020-03-05,14.58,14.5,14.58,14.5,28400.0
2020-03-04,14.5,14.52,14.6,14.5,125000.0
2020-03-03,14.5,14.46,14.52,14.46,17100.0
2020-03-02,14.5,14.4,14.5,14.3,36300.0
2020-02-28,14.5,14.5,14.54,14.46,147600.0
2020-02-27,14.56,14.66,14.66,14.56,35500.0
2020-02-26,14.6,14.66,14.66,14.52,13800.0
2020-02-25,14.62,14.58,14.62,14.5,19200.0
2020-02-24,14.6,14.5,14.62,14.5,469600.0
2020-02-21,14.66,14.66,14.66,14.64,19700.0
2020-02-20,14.64,14.6,14.66,14.6,41300.0
2020-02-19,14.6,14.7,14.7,14.58,43000.0
2020-02-18,14.7,14.7,14.72,14.7,69700.0
2020-02-17,14.72,14.86,14.86,14.6,70700.0
2020-02-14,15.28,15.2,15.3,15.2,121500.0
2020-02-13,15.22,15.22,15.22,15.18,91000.0
2020-02-12,15.22,15.2,15.26,15.2,127300.0
2020-02-11,15.18,15.22,15.22,15.18,48500.0
2020-02-10,15.18,15.2,15.24,15.16,44100.0
2020-02-07,15.22,15.14,15.24,15.14,406200.0
2020-02-06,15.26,15.24,15.28,15.1,62600.0
2020-02-05,15.1,15.24,15.28,15.04,325000.0
2020-02-04,15.06,15.0,15.28,15.0,40800.0
2020-02-03,14.8,14.88,14.9,14.78,39500.0
2020-01-31,14.96,15.0,15.0,14.88,27600.0
2020-01-30,15.0,15.1,15.1,14.96,19500.0
2020-01-29,15.1,15.1,15.28,14.98,4200.0
2020-01-28,15.1,14.98,15.16,14.88,53300.0
2020-01-24,15.04,15.04,15.04,15.04,200.0
2020-01-23,15.02,15.04,15.18,15.0,27300.0
2020-01-22,15.1,15.06,15.12,15.02,14000.0
2020-01-21,15.04,15.04,15.04,15.04,7100.0
2020-01-20,15.06,15.08,15.08,15.06,41400.0
2020-01-17,15.04,15.04,15.08,15.04,35400.0
2020-01-16,15.08,15.1,15.1,15.06,8300.0
2020-01-15,15.1,15.08,15.18,15.08,28400.0
2020-01-14,15.04,15.06,15.1,15.04,33500.0
2020-01-13,15.04,15.14,15.14,15.04,27700.0
2020-01-10,15.14,15.3,15.3,15.14,15200.0
2020-01-09,15.32,15.04,15.32,15.04,26500.0
2020-01-08,15.04,15.32,15.32,15.04,14600.0
2020-01-07,15.3,15.46,15.46,15.3,8400.0
2020-01-06,15.44,15.22,15.48,15.2,32800.0
2020-01-03,15.26,15.18,15.28,15.18,17000.0
2020-01-02,15.16,15.1,15.16,15.1,25100.0
2019-12-31,15.1,15.16,15.2,15.1,21300.0
2019-12-30,15.16,15.1,15.16,15.1,21100.0
2019-12-27,15.1,14.98,15.12,14.98,11700.0
2019-12-26,15.0,14.96,15.0,14.96,12300.0
2019-12-24,14.84,14.82,14.84,14.8,17100.0
2019-12-23,14.84,14.86,14.96,14.84,26700.0
2019-12-20,14.86,14.9,14.98,14.86,14800.0
2019-12-19,14.9,14.86,14.98,14.86,19100.0
2019-12-18,14.74,14.7,14.8,14.7,9500.0
2019-12-17,14.66,14.66,14.7,14.66,67600.0
2019-12-16,14.66,14.76,14.76,14.6,25500.0
2019-12-13,14.76,14.68,14.78,14.6,28700.0
2019-12-12,14.6,14.7,14.7,14.6,25200.0
2019-12-11,14.68,14.6,14.8,14.6,33500.0
2019-12-10,14.66,14.88,14.88,14.6,67000.0
2019-12-09,14.88,15.0,15.0,14.88,54900.0
2019-12-06,15.0,15.0,15.0,14.96,27600.0
2019-12-05,15.0,15.1,15.1,14.98,42700.0
2019-12-04,15.12,15.14,15.18,15.1,19300.0
2019-12-03,15.16,15.18,15.18,15.16,22700.0
2019-12-02,15.2,15.2,15.2,15.2,14200.0
2019-11-29,15.2,15.24,15.24,15.18,18500.0
2019-11-28,15.22,15.28,15.28,15.22,21600.0
2019-11-27,15.28,15.3,15.3,15.24,3800.0
2019-11-26,15.28,15.28,15.28,15.24,115100.0
2019-11-25,15.28,15.32,15.32,15.28,2600.0
2019-11-22,15.32,15.32,15.32,15.24,800.0
2019-11-21,15.24,15.24,15.24,15.22,34900.0
2019-11-20,15.26,15.3,15.3,15.26,2900.0
2019-11-19,15.26,15.3,15.3,15.26,5300.0
2019-11-18,15.24,15.3,15.34,15.22,7800.0
2019-11-15,15.3,15.28,15.3,15.02,18900.0
2019-11-14,15.3,15.32,15.4,15.3,72400.0
2019-11-13,15.3,15.32,15.36,15.3,51700.0
2019-11-12,15.32,15.34,15.34,15.32,22100.0
2019-11-11,15.36,15.36,15.36,15.34,6800.0
2019-11-08,15.34,15.34,15.34,15.32,20800.0
2019-11-07,15.32,15.38,15.38,15.32,8900.0
2019-11-06,15.32,15.3,15.32,15.3,66900.0
2019-11-05,15.28,15.28,15.28,15.26,35400.0
2019-11-04,15.28,15.28,15.32,15.26,33000.0
2019-11-01,15.28,15.28,15.3,15.24,51200.0
2019-10-31,15.28,15.38,15.38,15.28,34200.0
2019-10-30,15.28,15.3,15.3,15.28,16500.0
2019-10-29,15.3,15.28,15.4,15.28,22400.0
2019-10-25,15.34,15.32,15.34,15.3,5100.0
2019-10-24,15.3,15.3,15.3,15.3,5300.0
2019-10-23,15.28,15.3,15.3,15.28,10400.0
2019-10-22,15.3,15.28,15.3,15.28,12400.0
2019-10-21,15.3,15.34,15.36,15.28,39100.0
2019-10-18,15.34,15.38,15.4,15.34,30100.0
2019-10-17,15.36,15.4,15.4,15.36,33300.0
2019-10-16,15.4,15.46,15.48,15.38,110000.0
2019-10-15,15.48,15.5,15.6,15.48,5800.0
2019-10-14,15.5,15.5,15.5,15.44,16100.000000000002
2019-10-11,15.5,15.5,15.52,15.5,56900.0
2019-10-10,15.48,15.58,15.66,15.48,20000.0
2019-10-09,15.6,15.6,15.62,15.6,3000.0
2019-10-08,15.62,15.58,15.66,15.58,9200.0
2019-10-07,15.56,15.56,15.56,15.52,7000.0
2019-10-04,15.62,15.54,15.64,15.54,5900.0
2019-10-03,15.54,15.5,15.54,15.5,5200.0
2019-10-02,15.6,15.68,15.68,15.6,19500.0
2019-10-01,15.66,15.66,15.66,15.62,7900.0
2019-09-30,15.64,15.7,15.72,15.64,6800.0
2019-09-27,15.7,15.76,15.76,15.7,62700.0
2019-09-26,15.8,15.7,15.8,15.7,8600.0
2019-09-25,15.7,15.76,15.76,15.7,23600.0
2019-09-24,15.8,15.8,15.8,15.7,12300.0
2019-09-23,15.78,15.8,15.82,15.7,10700.0
2019-09-20,15.82,15.82,15.82,15.82,500.0
2019-09-19,15.8,15.8,15.82,15.7,13400.0
2019-09-18,15.82,15.84,15.84,15.82,16000.0
2019-09-17,15.84,15.9,15.9,15.82,44400.0
2019-09-13,15.88,15.88,15.9,15.88,8500.0
2019-09-12,15.88,15.72,15.88,15.72,57200.0
2019-09-11,15.72,15.68,15.74,15.68,33300.0
2019-09-10,15.68,15.66,15.68,15.64,2800.0
2019-09-06,15.64,15.6,15.64,15.4,11300.0
2019-09-05,15.6,15.6,15.6,15.6,10300.0
2019-09-04,15.6,15.6,15.6,15.6,3400.0
2019-09-03,15.6,15.5,15.6,15.5,11800.0
2019-08-30,15.5,15.5,15.5,15.5,14800.0
2019-08-29,15.4,15.44,15.44,15.3,25000.0
2019-08-28,15.48,15.52,15.52,15.46,13900.0
2019-08-27,15.52,15.6,15.6,15.52,8300.0
2019-08-26,15.6,15.68,15.7,15.6,12800.0
