Date,Price,Open,High,Low,Vol.
2020-03-13,0.555,0.58,0.59,0.48,3020000.0
2020-03-12,0.605,0.67,0.67,0.6,2140000.0
2020-03-11,0.67,0.67,0.685,0.67,1220000.0
2020-03-10,0.67,0.66,0.675,0.66,2029999.9999999998
2020-03-09,0.675,0.685,0.695,0.66,2160000.0
2020-03-06,0.69,0.69,0.695,0.685,677600.0
2020-03-05,0.69,0.7,0.705,0.69,1040000.0
2020-03-04,0.69,0.695,0.7,0.69,1010000.0
2020-03-03,0.695,0.7,0.705,0.69,818900.0
2020-03-02,0.69,0.7,0.705,0.685,1940000.0
2020-02-28,0.7,0.71,0.71,0.69,5060000.0
2020-02-27,0.715,0.715,0.725,0.715,816500.0
2020-02-26,0.72,0.72,0.72,0.71,663900.0
2020-02-25,0.725,0.72,0.735,0.715,2330000.0
2020-02-24,0.72,0.73,0.73,0.715,7170000.0
2020-02-21,0.735,0.755,0.76,0.735,7230000.0
2020-02-20,0.75,0.77,0.77,0.745,3940000.0
2020-02-19,0.77,0.78,0.78,0.76,1590000.0
2020-02-18,0.775,0.77,0.785,0.77,304600.0
2020-02-17,0.775,0.765,0.78,0.765,784500.0
2020-02-14,0.765,0.775,0.78,0.765,837600.0
2020-02-13,0.78,0.78,0.785,0.77,549200.0
2020-02-12,0.78,0.78,0.78,0.76,1850000.0
2020-02-11,0.78,0.78,0.79,0.775,500300.0
2020-02-10,0.785,0.795,0.795,0.78,298200.0
2020-02-07,0.8,0.775,0.805,0.77,2520000.0
2020-02-06,0.77,0.765,0.775,0.75,1590000.0
2020-02-05,0.745,0.76,0.77,0.745,2020000.0
2020-02-04,0.755,0.75,0.77,0.75,1220000.0
2020-02-03,0.75,0.75,0.76,0.74,1080000.0
2020-01-31,0.77,0.765,0.775,0.755,1420000.0
2020-01-30,0.765,0.785,0.795,0.765,2190000.0
2020-01-29,0.785,0.785,0.795,0.775,1770000.0
2020-01-28,0.785,0.8,0.805,0.78,2290000.0
2020-01-24,0.8,0.82,0.825,0.8,486700.0
2020-01-23,0.815,0.81,0.815,0.8,386100.0
2020-01-22,0.8,0.825,0.835,0.795,3590000.0
2020-01-21,0.83,0.84,0.845,0.83,2060000.0
2020-01-20,0.845,0.835,0.845,0.835,1440000.0
2020-01-17,0.835,0.84,0.855,0.835,459300.0
2020-01-16,0.85,0.845,0.85,0.835,559600.0
2020-01-15,0.845,0.84,0.845,0.835,451600.0
2020-01-14,0.84,0.845,0.85,0.84,122200.0
2020-01-13,0.84,0.835,0.84,0.835,425100.0
2020-01-10,0.835,0.845,0.845,0.83,690300.0
2020-01-09,0.845,0.84,0.85,0.84,309800.0
2020-01-08,0.84,0.865,0.865,0.83,1140000.0
2020-01-07,0.87,0.875,0.88,0.865,241300.0
2020-01-06,0.875,0.88,0.89,0.87,3310000.0
2020-01-03,0.875,0.87,0.875,0.87,634500.0
2020-01-02,0.875,0.875,0.88,0.865,952200.0
2019-12-31,0.88,0.875,0.88,0.865,2860000.0
2019-12-30,0.88,0.875,0.88,0.87,766700.0
2019-12-27,0.875,0.85,0.875,0.845,945200.0
2019-12-26,0.85,0.875,0.875,0.845,1480000.0
2019-12-24,0.87,0.885,0.885,0.87,276700.0
2019-12-23,0.88,0.88,0.89,0.87,517400.0
2019-12-20,0.875,0.89,0.89,0.87,25010000.0
2019-12-19,0.885,0.895,0.895,0.88,1630000.0
2019-12-18,0.89,0.88,0.89,0.87,4150000.0000000005
2019-12-17,0.885,0.895,0.895,0.875,1330000.0
2019-12-16,0.89,0.89,0.905,0.87,4540000.0
2019-12-13,0.89,0.88,0.895,0.875,2400000.0
2019-12-12,0.885,0.86,0.885,0.855,2100000.0
2019-12-11,0.865,0.88,0.88,0.855,1630000.0
2019-12-10,0.865,0.885,0.895,0.86,2160000.0
2019-12-09,0.895,0.835,0.895,0.83,4210000.0
2019-12-06,0.835,0.83,0.835,0.83,4680000.0
2019-12-05,0.825,0.825,0.835,0.82,3810000.0
2019-12-04,0.82,0.825,0.85,0.82,2500000.0
2019-12-03,0.83,0.83,0.84,0.825,1110000.0
2019-12-02,0.83,0.825,0.84,0.825,1910000.0
2019-11-29,0.82,0.85,0.85,0.815,4630000.0
2019-11-28,0.85,0.86,0.865,0.85,3690000.0
2019-11-27,0.86,0.905,0.905,0.855,9300000.0
2019-11-26,0.9,0.935,0.935,0.9,10430000.0
2019-11-25,0.935,0.93,0.94,0.925,8430000.0
2019-11-22,0.93,0.93,0.94,0.92,4830000.0
2019-11-21,0.93,0.93,0.935,0.925,3440000.0
2019-11-20,0.925,0.92,0.935,0.915,2880000.0
2019-11-19,0.925,0.925,0.935,0.92,4320000.0
2019-11-18,0.93,0.92,0.93,0.92,6410000.0
2019-11-15,0.925,0.935,0.945,0.92,2660000.0
2019-11-14,0.945,0.935,0.955,0.935,3780000.0
2019-11-13,0.935,0.93,0.94,0.92,4640000.0
2019-11-12,0.935,0.93,0.935,0.925,3570000.0
2019-11-11,0.93,0.94,0.94,0.925,4620000.0
2019-11-08,0.93,0.97,0.97,0.92,12220000.0
2019-11-07,0.965,0.965,0.97,0.96,5070000.0
2019-11-06,0.965,0.97,0.97,0.955,8010000.0
2019-11-05,0.975,0.97,0.99,0.96,12150000.0
2019-11-04,0.97,0.965,0.97,0.955,5870000.0
2019-11-01,0.955,0.96,0.97,0.95,7750000.0
2019-10-31,0.96,0.96,0.97,0.955,12960000.0
2019-10-30,0.955,0.96,0.965,0.945,2190000.0
2019-10-29,0.96,0.95,0.97,0.95,7940000.0
2019-10-25,0.94,0.93,0.95,0.92,1950000.0
2019-10-24,0.92,0.94,0.94,0.91,4019999.9999999995
2019-10-23,0.935,0.94,0.94,0.93,1040000.0
2019-10-22,0.94,0.925,0.96,0.925,2550000.0
2019-10-21,0.925,0.975,0.995,0.91,6860000.0
2019-10-18,0.975,0.98,0.985,0.97,2920000.0
2019-10-17,0.98,0.965,0.99,0.96,3370000.0
2019-10-16,0.97,0.975,0.995,0.965,6760000.0
2019-10-15,0.97,0.925,0.99,0.915,6060000.0
2019-10-14,0.92,0.925,0.93,0.91,1020000.0
2019-10-11,0.92,0.905,0.93,0.9,4430000.0
2019-10-10,0.9,0.885,0.905,0.885,1890000.0
2019-10-09,0.885,0.89,0.9,0.88,1840000.0
2019-10-08,0.9,0.91,0.91,0.89,5940000.0
2019-10-07,0.915,0.91,0.92,0.9,2510000.0
2019-10-04,0.9,0.9,0.915,0.89,13310000.0
2019-10-03,0.89,0.85,0.89,0.85,6310000.0
2019-10-02,0.86,0.855,0.87,0.855,2210000.0
2019-10-01,0.86,0.835,0.87,0.83,7630000.0
2019-09-30,0.825,0.82,0.83,0.82,1020000.0
2019-09-27,0.82,0.825,0.83,0.82,917000.0
2019-09-26,0.83,0.825,0.83,0.82,943300.0
2019-09-25,0.825,0.83,0.83,0.82,1090000.0
2019-09-24,0.83,0.83,0.84,0.82,1620000.0
2019-09-23,0.825,0.83,0.85,0.825,4270000.0
2019-09-20,0.825,0.81,0.835,0.81,3510000.0
2019-09-19,0.805,0.81,0.815,0.805,708200.0
2019-09-18,0.815,0.815,0.82,0.81,971400.0
2019-09-17,0.82,0.805,0.83,0.8,1970000.0
2019-09-13,0.805,0.815,0.815,0.805,1140000.0
2019-09-12,0.815,0.825,0.83,0.815,1560000.0
2019-09-11,0.82,0.805,0.825,0.805,3670000.0
2019-09-10,0.8,0.82,0.82,0.8,1630000.0
2019-09-06,0.815,0.825,0.835,0.815,1620000.0
2019-09-05,0.825,0.825,0.85,0.82,4460000.0
2019-09-04,0.825,0.835,0.835,0.815,924300.0
2019-09-03,0.835,0.845,0.855,0.825,2570000.0
2019-08-30,0.835,0.765,0.865,0.765,15940000.0
2019-08-29,0.76,0.72,0.77,0.72,4580000.0
2019-08-28,0.72,0.725,0.73,0.72,1820000.0
2019-08-27,0.725,0.73,0.73,0.72,3130000.0
2019-08-26,0.725,0.74,0.74,0.72,3050000.0
2019-08-23,0.745,0.75,0.75,0.74,2200000.0
2019-08-22,0.745,0.75,0.76,0.745,3980000.0
2019-08-21,0.755,0.76,0.765,0.74,4550000.0
2019-08-20,0.765,0.77,0.775,0.765,2680000.0
2019-08-19,0.77,0.785,0.795,0.77,3930000.0
2019-08-16,0.78,0.785,0.79,0.78,2540000.0
2019-08-15,0.785,0.795,0.795,0.785,3220000.0
2019-08-14,0.8,0.81,0.83,0.8,10670000.0
2019-08-13,0.8,0.785,0.81,0.775,11800000.0
2019-08-09,0.85,0.865,0.865,0.84,4050000.0
