Date,Price,Open,High,Low,Vol.
2020-03-13,2.75,2.87,2.87,2.66,1360000.0
2020-03-12,2.98,3.16,3.17,2.85,998600.0
2020-03-11,3.16,3.19,3.3,3.11,639200.0
2020-03-10,3.19,2.9,3.19,2.9,873000.0
2020-03-09,3.2,3.49,3.53,3.2,561600.0
2020-03-06,3.52,3.57,3.58,3.48,466500.0
2020-03-05,3.5,3.43,3.52,3.42,297500.0
2020-03-04,3.43,3.4,3.5,3.4,548600.0
2020-03-03,3.46,3.55,3.58,3.25,571000.0
2020-03-02,3.55,3.5,3.61,3.47,509400.0
2020-02-28,3.55,3.81,3.82,3.5,1660000.0
2020-02-27,3.82,3.8,3.85,3.73,1500000.0
2020-02-26,3.96,3.93,3.96,3.88,177000.0
2020-02-25,3.96,3.87,3.97,3.86,176200.0
2020-02-24,3.87,3.87,3.95,3.83,696800.0
2020-02-21,4.01,4.0,4.01,3.94,445100.0
2020-02-20,3.98,3.99,4.0,3.93,385700.0
2020-02-19,3.98,3.98,4.03,3.96,541900.0
2020-02-18,3.98,4.02,4.03,3.98,793900.0
2020-02-17,4.02,4.04,4.04,3.96,681000.0
2020-02-14,4.03,4.0,4.06,4.0,799800.0
2020-02-13,4.0,3.97,4.02,3.95,331400.0
2020-02-12,3.98,3.95,4.0,3.9,432900.0
2020-02-11,3.95,3.9,3.95,3.9,207600.0
2020-02-10,3.9,3.86,3.95,3.84,461000.0
2020-02-07,3.88,3.9,3.9,3.84,489300.0
2020-02-06,3.9,3.95,3.97,3.86,209200.0
2020-02-05,3.94,3.85,3.94,3.85,415500.0
2020-02-04,3.85,3.8,3.92,3.76,408700.0
2020-02-03,3.74,3.76,3.79,3.74,597300.0
2020-01-31,3.8,3.9,3.9,3.8,445200.0
2020-01-30,3.9,3.8,3.9,3.79,288900.0
2020-01-29,3.81,3.82,3.89,3.81,206600.0
2020-01-28,3.82,3.92,3.92,3.76,371600.0
2020-01-24,3.94,4.0,4.0,3.93,152800.0
2020-01-23,3.95,3.99,3.99,3.88,374300.0
2020-01-22,3.95,4.0,4.06,3.93,266100.0
2020-01-21,3.98,4.06,4.06,3.98,741000.0
2020-01-20,3.99,4.06,4.06,3.95,699600.0
2020-01-17,4.05,4.08,4.08,4.04,657200.0
2020-01-16,4.04,4.03,4.08,4.0,463700.0
2020-01-15,4.03,4.02,4.04,4.0,209800.0
2020-01-14,4.01,4.03,4.03,3.99,257100.00000000003
2020-01-13,4.03,4.0,4.05,4.0,161800.0
2020-01-10,4.0,4.09,4.09,3.96,369700.0
2020-01-09,4.05,3.95,4.11,3.94,980800.0
2020-01-08,3.93,3.94,3.94,3.87,705400.0
2020-01-07,3.94,3.91,3.94,3.86,835300.0
2020-01-06,3.91,3.91,3.97,3.88,175300.0
2020-01-03,3.93,3.9,4.0,3.9,580300.0
2020-01-02,3.9,3.89,3.92,3.89,702900.0
2019-12-31,3.86,3.86,3.88,3.83,146400.0
2019-12-30,3.86,3.88,3.89,3.86,414200.0
2019-12-27,3.86,3.85,3.86,3.85,716700.0
2019-12-26,3.86,3.86,3.88,3.84,657800.0
2019-12-24,3.85,3.89,3.89,3.85,562000.0
2019-12-23,3.86,3.86,3.9,3.85,166900.0
2019-12-20,3.88,3.88,3.91,3.86,948500.0
2019-12-19,3.84,3.89,3.89,3.83,1610000.0
2019-12-18,3.84,3.86,3.89,3.84,1240000.0
2019-12-17,3.86,3.86,3.89,3.86,697800.0
2019-12-16,3.85,3.85,3.87,3.84,1140000.0
2019-12-13,3.88,3.91,3.95,3.84,386600.0
2019-12-12,3.91,3.82,3.92,3.82,476500.0
2019-12-11,3.82,3.9,3.92,3.82,816700.0
2019-12-10,3.89,3.81,3.92,3.81,445700.0
2019-12-09,3.8,3.8,3.87,3.79,611700.0
2019-12-06,3.84,3.78,3.89,3.78,861600.0
2019-12-05,3.75,3.69,3.78,3.69,674400.0
2019-12-04,3.69,3.72,3.76,3.68,1380000.0
2019-12-03,3.73,3.8,3.8,3.72,1010000.0
2019-12-02,3.78,3.85,3.88,3.77,502600.0
2019-11-29,3.82,3.94,3.94,3.79,695300.0
2019-11-28,3.94,3.89,3.94,3.86,308900.0
2019-11-27,3.84,3.84,3.88,3.8,377400.0
2019-11-26,3.84,3.9,3.9,3.81,521299.99999999994
2019-11-25,3.84,3.83,3.98,3.8,1490000.0
2019-11-22,3.73,3.93,4.05,3.72,6090000.0
