Date,Price,Open,High,Low,Vol.
2020-03-13,7.16,7.25,7.38,6.97,3080000.0
2020-03-12,7.5,7.43,7.52,7.28,8320000.0
2020-03-11,7.5,7.07,7.67,7.03,10820000.0
2020-03-10,7.02,6.52,7.05,6.52,5610000.0
2020-03-09,6.65,7.27,7.27,6.58,8510000.0
2020-03-06,7.4,7.35,7.41,7.35,4800000.0
2020-03-05,7.41,7.4,7.46,7.37,4210000.0
2020-03-04,7.45,7.32,7.59,7.3,5840000.0
2020-03-03,7.45,7.4,7.49,7.38,3620000.0
2020-03-02,7.36,7.38,7.43,7.18,4200000.0
2020-02-28,7.59,7.52,7.73,7.52,13530000.0
2020-02-27,7.76,7.59,7.9,7.55,8680000.0
2020-02-26,7.7,7.4,7.81,7.4,9200000.0
2020-02-25,7.5,7.27,7.55,7.26,6640000.0
2020-02-24,7.42,7.43,7.6,7.15,9930000.0
2020-02-21,7.69,7.74,7.86,7.66,3830000.0
2020-02-20,7.8,7.9,7.9,7.7,6680000.0
2020-02-19,7.9,7.91,7.96,7.74,4240000.0
2020-02-18,7.88,8.07,8.07,7.85,9540000.0
2020-02-17,8.01,8.07,8.07,7.99,1110000.0
2020-02-14,8.07,8.0,8.09,8.0,4930000.0
2020-02-13,8.03,8.02,8.04,7.94,4630000.0
2020-02-12,8.0,7.99,8.01,7.94,5930000.0
2020-02-11,8.02,8.2,8.2,7.96,4520000.0
2020-02-10,8.07,8.15,8.15,8.01,3030000.0
2020-02-07,8.17,8.3,8.3,8.05,4370000.0
2020-02-06,8.25,8.03,8.35,8.03,5670000.0
2020-02-05,7.96,7.89,8.01,7.85,6850000.0
2020-02-04,7.85,7.82,7.86,7.72,4600000.0
2020-02-03,7.82,7.74,7.84,7.41,5480000.0
2020-01-31,7.69,7.95,7.95,7.63,7930000.0
2020-01-30,7.95,7.95,7.99,7.88,4840000.0
2020-01-29,8.0,7.9,8.08,7.82,5270000.0
2020-01-28,8.03,7.84,8.04,7.66,5760000.0
2020-01-24,8.12,8.03,8.12,7.86,1780000.0
2020-01-23,8.08,8.15,8.15,8.02,2970000.0
2020-01-22,8.14,8.12,8.21,8.08,3540000.0
2020-01-21,8.14,8.14,8.16,8.12,753400.0
