Date,Price,Open,High,Low,Vol.
2020-03-13,7.91,8.19,8.2,7.9,24870000.0
2020-03-12,8.28,8.34,8.36,8.25,16420000.000000002
2020-03-11,8.39,8.37,8.45,8.31,11600000.0
2020-03-10,8.37,8.21,8.43,8.2,18270000.0
2020-03-09,8.24,8.44,8.47,8.23,16190000.000000002
2020-03-06,8.5,8.48,8.53,8.44,10330000.0
2020-03-05,8.53,8.49,8.54,8.48,12100000.0
2020-03-04,8.47,8.41,8.5,8.39,12390000.0
2020-03-03,8.41,8.42,8.45,8.34,13110000.0
2020-03-02,8.39,8.34,8.43,8.16,19110000.0
2020-02-28,8.42,8.47,8.49,8.39,21390000.0
2020-02-27,8.52,8.35,8.53,8.34,10510000.0
2020-02-26,8.33,8.26,8.41,8.23,13800000.0
2020-02-25,8.28,8.2,8.31,8.19,9920000.0
2020-02-24,8.2,8.38,8.39,8.18,31880000.0
2020-02-21,8.41,8.4,8.44,8.4,5100000.0
2020-02-20,8.42,8.46,8.48,8.4,6470000.0
2020-02-19,8.4,8.49,8.49,8.38,7350000.0
2020-02-18,8.47,8.49,8.51,8.46,7880000.0
2020-02-17,8.49,8.47,8.5,8.47,3410000.0
2020-02-14,8.47,8.44,8.52,8.42,6150000.0
2020-02-13,8.46,8.48,8.5,8.44,7950000.0
2020-02-12,8.46,8.54,8.65,8.41,15380000.0
2020-02-11,8.54,8.5,8.56,8.48,10880000.0
2020-02-10,8.48,8.51,8.52,8.45,5700000.0
2020-02-07,8.51,8.49,8.52,8.45,9300000.0
2020-02-06,8.45,8.39,8.5,8.38,6800000.0
2020-02-05,8.36,8.43,8.43,8.35,9690000.0
2020-02-04,8.4,8.42,8.45,8.39,10390000.0
2020-02-03,8.36,8.4,8.43,8.36,7050000.0
2020-01-31,8.43,8.46,8.49,8.43,16260000.000000002
2020-01-30,8.49,8.47,8.5,8.44,6860000.0
2020-01-29,8.45,8.47,8.49,8.45,9140000.0
2020-01-28,8.46,8.5,8.51,8.45,12740000.0
2020-01-24,8.53,8.51,8.56,8.51,2740000.0
2020-01-23,8.51,8.55,8.55,8.49,5800000.0
2020-01-22,8.55,8.6,8.62,8.53,5620000.0
2020-01-21,8.6,8.62,8.62,8.59,3880000.0
2020-01-20,8.6,8.62,8.63,8.6,3920000.0
2020-01-17,8.62,8.63,8.66,8.6,5510000.0
2020-01-16,8.61,8.6,8.64,8.57,6320000.0
2020-01-15,8.6,8.65,8.67,8.58,3520000.0
2020-01-14,8.65,8.65,8.68,8.58,6870000.0
2020-01-13,8.65,8.66,8.69,8.64,6460000.0
2020-01-10,8.65,8.65,8.69,8.63,8109999.999999999
2020-01-09,8.65,8.59,8.66,8.57,6000000.0
2020-01-08,8.54,8.62,8.64,8.52,4730000.0
2020-01-07,8.65,8.65,8.7,8.64,6510000.0
2020-01-06,8.65,8.77,8.77,8.62,4530000.0
2020-01-03,8.75,8.79,8.81,8.69,6450000.0
2020-01-02,8.75,8.65,8.75,8.63,5720000.0
2019-12-31,8.64,8.69,8.69,8.61,6930000.0
2019-12-30,8.72,8.62,8.72,8.62,3760000.0
2019-12-27,8.61,8.64,8.65,8.6,6500000.0
2019-12-26,8.64,8.6,8.67,8.6,375100.0
2019-12-24,8.6,8.63,8.63,8.59,2350000.0
2019-12-23,8.62,8.61,8.67,8.57,5220000.0
2019-12-20,8.62,8.76,8.8,8.55,10130000.0
2019-12-19,8.7,8.64,8.8,8.6,7650000.0
2019-12-18,8.64,8.55,8.64,8.53,10310000.0
2019-12-17,8.55,8.53,8.55,8.52,7650000.0
2019-12-16,8.52,8.54,8.56,8.52,5150000.0
2019-12-13,8.54,8.53,8.57,8.52,10520000.0
2019-12-12,8.51,8.53,8.55,8.51,6780000.0
2019-12-11,8.54,8.53,8.6,8.52,5460000.0
2019-12-10,8.54,8.53,8.56,8.52,3220000.0
2019-12-09,8.56,8.51,8.56,8.5,3070000.0
2019-12-06,8.5,8.51,8.54,8.5,3090000.0
2019-12-05,8.53,8.51,8.6,8.51,7250000.0
2019-12-04,8.5,8.51,8.52,8.48,6850000.0
2019-12-03,8.51,8.52,8.54,8.47,6200000.0
2019-12-02,8.51,8.54,8.56,8.5,3640000.0
2019-11-29,8.53,8.53,8.57,8.51,6020000.0
2019-11-28,8.52,8.56,8.56,8.5,8070000.0
2019-11-27,8.58,8.58,8.6,8.54,4510000.0
2019-11-26,8.59,8.67,8.67,8.59,15540000.0
2019-11-25,8.66,8.65,8.67,8.62,6020000.0
2019-11-22,8.64,8.64,8.68,8.63,5060000.0
2019-11-21,8.64,8.68,8.68,8.63,5470000.0
2019-11-20,8.67,8.65,8.68,8.64,11370000.0
2019-11-19,8.65,8.66,8.68,8.64,4640000.0
2019-11-18,8.66,8.66,8.68,8.64,5250000.0
2019-11-15,8.66,8.68,8.69,8.64,7010000.0
2019-11-14,8.67,8.66,8.7,8.62,6240000.0
2019-11-13,8.65,8.79,8.79,8.64,7350000.0
2019-11-12,8.79,8.84,8.86,8.75,3940000.0
2019-11-11,8.85,8.84,8.86,8.82,8700000.0
2019-11-08,8.83,8.75,8.84,8.72,11930000.0
2019-11-07,8.75,8.71,8.75,8.69,8060000.000000001
2019-11-06,8.71,8.68,8.73,8.61,6580000.0
2019-11-05,8.66,8.6,8.68,8.58,15370000.0
2019-11-04,8.63,8.62,8.67,8.6,11280000.0
2019-11-01,8.6,8.61,8.62,8.57,3680000.0
2019-10-31,8.6,8.52,8.62,8.49,21250000.0
2019-10-30,8.47,8.47,8.52,8.46,6980000.0
2019-10-29,8.47,8.48,8.51,8.46,14630000.0
2019-10-25,8.45,8.46,8.48,8.45,3150000.0
2019-10-24,8.46,8.47,8.51,8.44,7460000.0
2019-10-23,8.47,8.5,8.51,8.45,4090000.0
2019-10-22,8.5,8.51,8.54,8.45,6500000.0
2019-10-21,8.49,8.5,8.55,8.47,3740000.0
2019-10-18,8.5,8.54,8.54,8.47,7100000.0
2019-10-17,8.52,8.53,8.55,8.5,5990000.0
2019-10-16,8.52,8.54,8.58,8.5,8850000.0
