Date,Price,Open,High,Low,Vol.
2020-03-13,9.32,9.5,9.5,9.32,30800.0
2020-03-12,9.9,10.46,10.46,9.87,43000.0
2020-03-11,10.5,10.0,10.56,10.0,53000.0
2020-03-10,10.0,9.61,10.2,9.34,94400.0
2020-03-09,10.14,10.7,10.7,10.1,26900.0
2020-03-06,10.88,11.14,11.14,10.88,400.0
2020-03-05,10.86,10.7,10.94,10.68,27500.0
2020-03-04,10.7,10.7,10.74,10.68,27600.0
2020-03-03,10.7,10.8,10.86,10.54,25400.0
2020-03-02,10.8,10.8,10.8,10.32,55100.0
2020-02-28,10.92,10.8,10.92,10.7,18500.0
2020-02-27,11.0,11.48,11.48,10.84,101400.0
2020-02-26,11.2,11.28,11.28,11.18,189000.0
2020-02-25,11.34,10.94,11.34,10.94,11900.0
2020-02-24,10.96,10.96,10.96,10.96,74500.0
2020-02-21,11.02,11.04,11.04,10.92,96700.0
2020-02-20,11.06,11.06,11.06,11.06,42300.0
2020-02-19,11.02,10.9,11.02,10.9,800.0
2020-02-18,10.88,11.4,11.4,10.8,95000.0
2020-02-17,11.34,11.28,11.44,11.28,56100.0
2020-02-14,11.28,11.3,11.34,11.24,131800.0
2020-02-13,11.26,11.3,11.4,11.26,96300.0
2020-02-12,11.4,11.4,11.46,11.38,132400.0
2020-02-11,11.4,11.58,11.58,11.34,32100.0
2020-02-10,11.58,11.66,11.66,11.56,215300.0
2020-02-07,12.02,12.0,12.02,11.98,191600.0
2020-02-06,11.98,11.7,11.98,11.68,33600.0
2020-02-05,11.66,11.2,11.66,11.2,31400.0
2020-02-04,11.6,11.6,11.6,11.6,700.0
2020-02-03,11.6,11.6,11.9,11.2,681000.0
2020-01-31,11.9,12.16,12.22,11.88,631500.0
2020-01-30,12.14,12.2,12.2,12.1,187600.0
2020-01-29,12.2,12.24,12.3,12.04,86100.0
2020-01-28,12.04,12.5,12.5,11.6,97800.0
2020-01-23,12.78,12.8,12.8,12.72,7500.0
2020-01-22,12.8,12.9,12.92,12.78,71500.0
2020-01-21,12.9,12.72,12.96,12.72,86900.0
2020-01-20,12.78,12.72,12.8,12.68,168000.0
2020-01-17,12.72,12.56,12.76,12.56,77000.0
2020-01-16,12.72,12.8,12.8,12.4,361500.0
2020-01-15,12.76,12.68,12.76,12.5,194100.0
2020-01-14,12.6,12.52,12.64,12.52,164100.0
2020-01-13,12.38,12.18,12.6,12.18,51200.0
2020-01-10,12.2,11.98,12.28,11.98,261300.0
2020-01-09,11.78,12.0,12.0,11.66,8100.0
2020-01-08,11.62,11.78,11.78,11.4,21600.0
2020-01-07,11.9,11.72,11.92,11.72,15400.0
