Date,Price,Open,High,Low,Vol.
2020-03-13,1.68,1.77,1.77,1.66,1430000.0
2020-03-12,1.83,1.89,1.89,1.82,1440000.0
2020-03-11,1.9,1.9,1.91,1.89,169100.0
2020-03-10,1.89,1.88,1.89,1.87,375500.0
2020-03-09,1.89,1.9,1.91,1.88,913900.0
2020-03-06,1.9,1.93,1.93,1.9,778800.0
2020-03-05,1.93,1.93,1.93,1.91,169900.0
2020-03-04,1.91,1.94,1.94,1.91,198700.0
2020-03-03,1.93,1.92,1.94,1.92,890700.0
2020-03-02,1.93,1.93,1.93,1.9,312800.0
2020-02-28,1.94,1.91,1.94,1.89,1070000.0
2020-02-27,1.91,1.92,1.94,1.91,382500.0
2020-02-26,1.91,1.91,1.95,1.91,432800.0
2020-02-25,1.91,1.93,1.94,1.91,645300.0
2020-02-24,1.93,1.95,1.95,1.91,638100.0
2020-02-21,1.96,1.95,1.96,1.93,346900.0
2020-02-20,1.95,1.94,1.96,1.93,513299.99999999994
2020-02-19,1.95,1.93,1.95,1.92,223800.0
2020-02-18,1.92,1.93,1.93,1.92,91100.0
2020-02-17,1.93,1.93,1.93,1.92,112800.0
2020-02-14,1.92,1.92,1.92,1.91,111800.0
2020-02-13,1.93,1.93,1.93,1.92,122100.0
2020-02-12,1.93,1.91,1.93,1.9,494900.0
2020-02-11,1.91,1.92,1.92,1.9,76400.0
2020-02-10,1.9,1.92,1.92,1.9,169700.0
2020-02-07,1.91,1.92,1.93,1.91,196400.0
2020-02-06,1.92,1.93,1.93,1.92,123500.0
2020-02-05,1.95,1.9,1.95,1.9,1550000.0
2020-02-04,1.9,1.9,1.9,1.89,475900.0
2020-02-03,1.9,1.9,1.91,1.89,408900.0
2020-01-31,1.91,1.93,1.93,1.91,692300.0
2020-01-30,1.92,1.91,1.93,1.9,640300.0
2020-01-29,1.91,1.91,1.92,1.91,29800.0
2020-01-28,1.91,1.91,1.92,1.9,223400.0
2020-01-24,1.92,1.93,1.93,1.92,206200.0
2020-01-23,1.92,1.92,1.93,1.92,132500.0
2020-01-22,1.92,1.92,1.93,1.92,124400.0
2020-01-21,1.92,1.92,1.93,1.91,98100.0
2020-01-20,1.92,1.93,1.93,1.92,105300.0
2020-01-17,1.93,1.93,1.93,1.91,83600.0
2020-01-16,1.93,1.92,1.93,1.92,57000.0
2020-01-15,1.92,1.93,1.93,1.92,137800.0
2020-01-14,1.93,1.91,1.93,1.91,93700.0
2020-01-13,1.92,1.92,1.92,1.91,64200.0
2020-01-10,1.93,1.93,1.94,1.91,91700.0
2020-01-09,1.93,1.91,1.94,1.9,463000.0
2020-01-08,1.91,1.9,1.91,1.89,282800.0
2020-01-07,1.9,1.9,1.92,1.9,60300.0
2020-01-06,1.9,1.9,1.91,1.89,345200.0
2020-01-03,1.9,1.91,1.92,1.9,80900.0
2020-01-02,1.92,1.92,1.92,1.91,305700.0
2019-12-31,1.91,1.93,1.94,1.91,206000.0
2019-12-30,1.93,1.91,1.93,1.9,861100.0
2019-12-27,1.91,1.9,1.91,1.89,81900.0
2019-12-26,1.89,1.89,1.89,1.88,310700.0
2019-12-24,1.89,1.89,1.89,1.88,182700.0
2019-12-23,1.89,1.89,1.9,1.89,210900.0
2019-12-20,1.88,1.9,1.9,1.88,336900.0
2019-12-19,1.9,1.9,1.9,1.89,300300.0
2019-12-18,1.93,1.92,1.93,1.92,137400.0
2019-12-17,1.92,1.93,1.93,1.92,272600.0
2019-12-16,1.92,1.92,1.94,1.92,184800.0
2019-12-13,1.92,1.91,1.92,1.9,143200.0
2019-12-12,1.91,1.91,1.92,1.9,266400.0
2019-12-11,1.9,1.9,1.91,1.9,313200.0
2019-12-10,1.91,1.93,1.93,1.9,89600.0
2019-12-09,1.92,1.9,1.93,1.9,199200.0
2019-12-06,1.9,1.9,1.91,1.9,38900.0
2019-12-05,1.9,1.9,1.91,1.89,871900.0
2019-12-04,1.89,1.9,1.9,1.89,333100.0
2019-12-03,1.9,1.89,1.91,1.89,272500.0
2019-12-02,1.89,1.89,1.9,1.89,79800.0
2019-11-29,1.89,1.9,1.9,1.88,649200.0
2019-11-28,1.91,1.89,1.91,1.89,304900.0
2019-11-27,1.89,1.91,1.91,1.88,1390000.0
2019-11-26,1.91,1.92,1.92,1.9,600300.0
2019-11-25,1.92,1.93,1.93,1.9,299900.0
2019-11-22,1.92,1.93,1.94,1.92,522799.99999999994
2019-11-21,1.92,1.9,1.93,1.9,1610000.0
2019-11-20,1.9,1.94,1.94,1.9,1020000.0
2019-11-19,1.94,1.95,1.95,1.93,95300.0
2019-11-18,1.94,1.96,1.96,1.94,60400.0
2019-11-15,1.96,1.93,1.97,1.93,1030000.0
2019-11-14,1.94,1.94,1.94,1.93,182800.0
2019-11-13,1.93,1.92,1.93,1.92,81400.0
2019-11-12,1.93,1.92,1.94,1.91,361600.0
2019-11-11,1.91,1.91,1.92,1.9,141100.0
2019-11-08,1.91,1.9,1.91,1.9,557300.0
2019-11-07,1.9,1.91,1.91,1.89,193100.0
2019-11-06,1.9,1.92,1.92,1.9,645700.0
2019-11-05,1.92,1.9,1.92,1.89,666600.0
2019-11-04,1.91,1.9,1.91,1.89,132000.0
2019-11-01,1.9,1.9,1.9,1.89,109500.0
2019-10-31,1.89,1.89,1.9,1.89,102000.0
2019-10-30,1.9,1.9,1.9,1.89,19900.0
2019-10-29,1.89,1.91,1.91,1.89,175800.0
2019-10-25,1.9,1.89,1.9,1.89,90100.0
2019-10-24,1.89,1.89,1.91,1.88,343800.0
2019-10-23,1.88,1.88,1.9,1.88,53200.0
2019-10-22,1.88,1.89,1.89,1.88,79000.0
2019-10-21,1.89,1.89,1.9,1.88,168500.0
2019-10-18,1.9,1.88,1.9,1.87,119300.0
2019-10-17,1.88,1.88,1.89,1.87,235700.0
2019-10-16,1.88,1.9,1.9,1.87,454800.0
2019-10-15,1.9,1.9,1.9,1.88,278100.0
2019-10-14,1.9,1.89,1.9,1.89,100700.0
2019-10-11,1.88,1.89,1.89,1.88,58600.0
2019-10-10,1.89,1.88,1.89,1.88,162000.0
2019-10-09,1.89,1.88,1.89,1.88,138700.0
2019-10-08,1.89,1.89,1.9,1.89,53800.0
2019-10-07,1.9,1.89,1.9,1.88,179500.0
2019-10-04,1.89,1.89,1.9,1.89,176900.0
2019-10-03,1.9,1.89,1.9,1.89,277200.0
2019-10-02,1.9,1.9,1.91,1.89,209800.0
2019-10-01,1.9,1.91,1.91,1.89,73300.0
2019-09-30,1.89,1.89,1.9,1.89,191500.0
2019-09-27,1.89,1.9,1.9,1.88,553600.0
2019-09-26,1.9,1.9,1.9,1.89,63500.0
2019-09-25,1.89,1.9,1.91,1.89,406300.0
2019-09-24,1.9,1.91,1.91,1.89,212600.0
2019-09-23,1.91,1.91,1.92,1.91,13900.0
2019-09-20,1.93,1.9,1.93,1.9,485400.0
2019-09-19,1.9,1.91,1.92,1.9,84900.0
2019-09-18,1.94,1.93,1.94,1.92,322100.0
2019-09-17,1.93,1.94,1.95,1.93,251600.0
2019-09-13,1.94,1.93,1.94,1.92,49200.0
2019-09-12,1.93,1.92,1.93,1.92,130900.0
2019-09-11,1.93,1.93,1.93,1.91,53400.0
2019-09-10,1.93,1.91,1.93,1.89,1040000.0
2019-09-06,1.9,1.91,1.93,1.9,428800.0
2019-09-05,1.9,1.9,1.91,1.89,686400.0
2019-09-04,1.9,1.9,1.91,1.89,930200.0
2019-09-03,1.9,1.91,1.91,1.9,420500.0
2019-08-30,1.9,1.9,1.92,1.9,1040000.0
2019-08-29,1.89,1.9,1.91,1.89,1210000.0
2019-08-28,1.9,1.93,1.93,1.9,907500.0
2019-08-27,1.93,1.91,1.93,1.91,461800.0
2019-08-26,1.91,1.9,1.91,1.89,229400.0
2019-08-23,1.9,1.9,1.91,1.89,610800.0
2019-08-22,1.9,1.9,1.93,1.89,1000000.0
2019-08-21,1.9,1.9,1.9,1.89,293100.0
2019-08-20,1.9,1.9,1.92,1.89,536600.0
2019-08-19,1.89,1.9,1.91,1.89,274200.0
2019-08-16,1.9,1.89,1.9,1.89,43800.0
2019-08-15,1.89,1.9,1.92,1.89,317900.0
2019-08-14,1.91,1.9,1.92,1.9,151300.0
2019-08-13,1.9,1.89,1.91,1.89,792500.0
2019-08-09,1.89,1.89,1.9,1.89,104000.0
2019-08-08,1.9,1.9,1.9,1.89,248300.0
2019-08-07,1.9,1.9,1.9,1.89,609400.0
2019-08-06,1.89,1.89,1.9,1.88,373000.0
2019-08-05,1.9,1.91,1.91,1.89,959500.0
2019-08-02,1.91,1.91,1.91,1.9,686000.0
2019-08-01,1.91,1.91,1.92,1.9,502100.0
2019-07-31,1.9,1.91,1.91,1.9,584200.0
2019-07-29,1.91,1.92,1.93,1.91,245900.0
2019-07-26,1.92,1.93,1.93,1.91,117700.0
2019-07-25,1.92,1.92,1.93,1.91,959500.0
2019-07-24,1.92,1.91,1.99,1.9,4330000.0
2019-07-23,1.91,1.91,1.92,1.91,152100.0
2019-07-22,1.92,1.93,1.93,1.91,181200.0
2019-07-19,1.93,1.91,1.94,1.91,228500.0
2019-07-18,1.91,1.94,1.94,1.91,157400.0
2019-07-17,1.94,1.93,1.94,1.93,75800.0
2019-07-16,1.94,1.95,1.95,1.93,64700.0
2019-07-15,1.95,1.95,1.95,1.93,112400.0
2019-07-12,1.95,1.94,1.95,1.91,955600.0
2019-07-11,1.92,1.93,1.93,1.92,383400.0
2019-07-10,1.93,1.93,1.93,1.91,125900.0
2019-07-09,1.93,1.93,1.93,1.91,465000.0
2019-07-08,1.91,1.9,1.92,1.9,236400.0
2019-07-05,1.91,1.91,1.91,1.9,623000.0
2019-07-04,1.9,1.92,1.92,1.9,572900.0
2019-07-03,1.9,1.91,1.92,1.9,510200.0
2019-07-02,1.9,1.92,1.93,1.9,617400.0
2019-07-01,1.91,1.91,1.93,1.9,345000.0
2019-06-28,1.9,1.9,1.92,1.9,239800.0
2019-06-27,1.89,1.89,1.9,1.89,893700.0
2019-06-26,1.89,1.91,1.91,1.89,750700.0
2019-06-25,1.91,1.92,1.95,1.91,372300.0
2019-06-24,1.92,1.91,1.92,1.9,297800.0
2019-06-21,1.9,1.92,1.99,1.9,5090000.0
2019-06-20,1.91,1.92,1.92,1.9,589200.0
2019-06-19,1.917,1.967,1.967,1.907,1090000.0
2019-06-18,1.957,1.948,1.967,1.927,662500.0
2019-06-17,1.948,1.987,1.987,1.917,1440000.0
2019-06-14,1.977,1.987,1.987,1.967,292300.0
2019-06-13,1.987,1.987,1.997,1.987,346300.0
2019-06-12,1.987,1.967,1.997,1.967,319700.0
2019-06-11,1.967,1.977,1.977,1.957,194900.0
2019-06-10,1.977,1.987,1.987,1.957,375800.0
2019-06-07,1.977,1.967,1.987,1.967,257500.0
2019-06-04,1.967,1.977,1.977,1.967,78800.0
2019-06-03,1.967,1.948,1.977,1.948,683600.0
2019-05-31,1.927,1.917,1.927,1.907,750300.0
2019-05-30,1.927,1.927,1.927,1.917,75700.0
2019-05-29,1.927,1.927,1.927,1.907,84200.0
2019-05-28,1.927,1.927,1.927,1.927,222400.0
2019-05-27,1.917,1.927,1.938,1.917,249600.0
2019-05-24,1.927,1.907,1.927,1.907,203600.0
2019-05-23,1.917,1.917,1.927,1.907,206300.0
2019-05-21,1.917,1.927,1.927,1.917,92200.0
2019-05-17,1.927,1.927,1.927,1.917,126300.0
2019-05-16,1.927,1.927,1.938,1.927,42300.0
2019-05-15,1.927,1.938,1.938,1.927,49500.0
2019-05-14,1.948,1.907,1.948,1.897,325600.0
2019-05-13,1.927,1.938,1.938,1.897,488500.0
2019-05-10,1.938,1.938,1.948,1.927,29400.0
2019-05-09,1.938,1.927,1.938,1.927,77300.0
2019-05-08,1.927,1.927,1.938,1.927,51900.0
2019-05-07,1.927,1.927,1.948,1.917,211000.0
2019-05-06,1.927,1.927,1.938,1.917,159100.0
2019-05-03,1.917,1.927,1.938,1.907,160300.0
2019-05-02,1.917,1.927,1.938,1.917,351700.0
2019-04-30,1.917,1.917,1.997,1.907,2770000.0
2019-04-29,1.948,1.917,1.948,1.917,92500.0
2019-04-26,1.917,1.948,1.948,1.917,654900.0
2019-04-25,1.938,1.927,1.948,1.927,400300.0
2019-04-24,1.927,1.927,1.927,1.917,397200.0
2019-04-23,1.927,1.917,1.938,1.917,201300.0
2019-04-22,1.938,1.927,1.948,1.917,337000.0
2019-04-19,1.927,1.927,1.927,1.897,255400.0
2019-04-18,1.907,1.907,1.938,1.907,275300.0
2019-04-17,1.927,1.907,1.927,1.897,216300.0
2019-04-16,1.917,1.917,1.938,1.907,551800.0
2019-04-15,1.927,1.897,1.927,1.897,315400.0
2019-04-12,1.887,1.917,1.927,1.887,1720000.0
2019-04-11,1.887,1.897,1.907,1.887,1060000.0
2019-04-10,1.897,1.907,1.907,1.897,720300.0
2019-04-09,1.907,1.938,1.938,1.897,536700.0
2019-04-08,1.938,1.938,1.948,1.917,347500.0
2019-04-05,1.917,1.917,1.938,1.917,58400.0
2019-04-04,1.917,1.927,1.927,1.897,384100.0
2019-04-03,1.897,1.907,1.917,1.897,104200.0
2019-04-02,1.917,1.907,1.927,1.907,111000.0
2019-04-01,1.897,1.948,1.948,1.897,199400.0
2019-03-29,1.887,1.907,1.917,1.887,255400.0
2019-03-28,1.907,1.897,1.907,1.887,229300.0
2019-03-27,1.897,1.887,1.917,1.887,82600.0
2019-03-26,1.887,1.927,1.927,1.887,252700.0
2019-03-25,1.897,1.917,1.927,1.897,223600.0
2019-03-22,1.917,1.957,1.957,1.907,141500.0
2019-03-21,1.938,1.938,1.948,1.917,225300.0
2019-03-20,1.938,1.948,1.957,1.938,91200.0
2019-03-19,1.938,1.987,1.987,1.927,174700.0
2019-03-18,1.987,1.967,1.987,1.967,327400.0
2019-03-15,1.957,1.957,1.967,1.948,196900.0
2019-03-14,1.948,1.948,1.967,1.948,100200.0
2019-03-13,1.948,1.948,1.957,1.938,218900.0
2019-03-12,1.948,1.957,1.957,1.948,57600.0
2019-03-11,1.957,1.948,1.957,1.948,105500.0
2019-03-08,1.957,1.967,1.967,1.948,229700.0
2019-03-07,1.948,1.957,1.957,1.948,95000.0
2019-03-06,1.957,1.967,1.967,1.948,573700.0
2019-03-05,1.957,1.948,1.957,1.938,439100.0
2019-03-04,1.957,1.967,1.967,1.948,351600.0
2019-03-01,1.967,1.957,1.967,1.948,285700.0
2019-02-28,1.967,1.977,1.977,1.957,179000.0
2019-02-27,1.977,1.967,1.977,1.957,191700.0
2019-02-26,1.967,1.957,1.977,1.948,645900.0
2019-02-25,1.967,1.957,1.977,1.948,140600.0
2019-02-22,1.957,1.977,1.977,1.938,394800.0
2019-02-21,1.967,1.987,1.987,1.957,500200.0
2019-02-20,1.967,1.967,1.987,1.957,595200.0
2019-02-19,1.967,1.977,1.987,1.967,339000.0
2019-02-18,1.977,1.997,1.997,1.977,135100.0
2019-02-15,1.997,2.017,2.017,1.997,107600.0
2019-02-14,1.997,2.017,2.017,1.987,134600.0
2019-02-13,1.997,1.997,1.997,1.987,99100.0
2019-02-12,1.987,1.997,2.007,1.987,150000.0
2019-02-11,1.997,2.007,2.007,1.987,192500.0
2019-02-08,1.997,2.017,2.017,1.977,61600.0
2019-02-07,2.007,1.977,2.007,1.967,267400.0
2019-02-04,1.967,1.957,1.977,1.957,40300.0
2019-01-31,1.957,1.948,1.977,1.948,166100.0
2019-01-30,1.938,1.948,1.957,1.938,160600.0
2019-01-29,1.938,1.967,1.967,1.927,346700.0
2019-01-28,1.948,1.967,1.987,1.927,388100.0
2019-01-25,1.967,1.907,1.977,1.887,583400.0
2019-01-24,1.897,1.897,1.907,1.887,206000.0
2019-01-23,1.907,1.887,1.907,1.887,7600.0
2019-01-22,1.907,1.887,1.907,1.878,368900.0
2019-01-18,1.887,1.887,1.907,1.887,170000.0
2019-01-17,1.878,1.887,1.897,1.868,333900.0
2019-01-16,1.878,1.878,1.907,1.878,372100.0
2019-01-15,1.897,1.897,1.897,1.878,138100.0
2019-01-14,1.887,1.887,1.897,1.887,82800.0
2019-01-11,1.887,1.878,1.897,1.878,371900.0
2019-01-10,1.878,1.868,1.878,1.858,387700.0
