Date,Price,Open,High,Low,Vol.
2020-03-13,5.21,5.18,5.25,4.9,2330000.0
2020-03-12,5.26,5.25,5.31,5.2,1160000.0
2020-03-11,5.28,5.27,5.31,5.21,2150000.0
2020-03-10,5.25,5.29,5.37,5.25,3150000.0
2020-03-09,5.31,5.38,5.46,5.3,3010000.0
2020-03-06,5.43,5.37,5.44,5.36,1610000.0
2020-03-05,5.38,5.43,5.43,5.37,1060000.0
2020-03-04,5.45,5.38,5.45,5.37,1630000.0
2020-03-03,5.38,5.46,5.46,5.36,1580000.0
2020-03-02,5.45,5.46,5.51,5.41,2240000.0
2020-02-28,5.43,5.41,5.55,5.39,4890000.0
2020-02-27,5.51,5.38,5.51,5.37,1640000.0
2020-02-26,5.37,5.35,5.42,5.35,2850000.0
2020-02-25,5.45,5.35,5.46,5.31,2250000.0
2020-02-24,5.39,5.35,5.44,5.35,1260000.0
2020-02-21,5.44,5.38,5.46,5.36,1900000.0
2020-02-20,5.4,5.36,5.47,5.32,1840000.0
2020-02-19,5.37,5.38,5.39,5.35,600400.0
2020-02-18,5.35,5.46,5.46,5.35,1100000.0
2020-02-17,5.48,5.6,5.6,5.48,630400.0
2020-02-14,5.63,5.46,5.63,5.46,1680000.0
2020-02-13,5.5,5.49,5.53,5.45,1170000.0
2020-02-12,5.58,5.38,5.64,5.34,1620000.0
2020-02-11,5.4,5.36,5.47,5.36,797000.0
2020-02-10,5.41,5.38,5.45,5.33,1140000.0
2020-02-07,5.45,5.4,5.47,5.37,1360000.0
2020-02-06,5.4,5.45,5.48,5.38,1480000.0
2020-02-05,5.44,5.44,5.5,5.35,2140000.0
2020-02-04,5.44,5.39,5.53,5.39,2620000.0
2020-02-03,5.36,5.26,5.44,5.26,1470000.0
2020-01-31,5.31,5.54,5.57,5.28,4139999.9999999995
2020-01-30,5.5,5.5,5.54,5.48,1530000.0
2020-01-29,5.49,5.45,5.56,5.44,1150000.0
2020-01-28,5.46,5.46,5.5,5.41,498100.0
2020-01-24,5.5,5.59,5.59,5.47,24800.0
2020-01-23,5.59,5.48,5.64,5.47,639600.0
2020-01-22,5.48,5.51,5.6,5.47,1530000.0
2020-01-21,5.53,5.58,5.58,5.52,396500.0
2020-01-20,5.6,5.7,5.7,5.57,1070000.0
2020-01-17,5.7,5.6,5.7,5.55,4680000.0
2020-01-16,5.6,5.55,5.6,5.52,2280000.0
2020-01-15,5.62,5.49,5.62,5.46,2560000.0
2020-01-14,5.5,5.44,5.52,5.44,1430000.0
2020-01-13,5.47,5.5,5.51,5.43,1090000.0
2020-01-10,5.5,5.51,5.51,5.46,717400.0
2020-01-09,5.51,5.51,5.51,5.44,1910000.0
2020-01-08,5.5,5.45,5.5,5.4,1090000.0
2020-01-07,5.45,5.39,5.5,5.38,1500000.0
2020-01-06,5.33,5.51,5.51,5.33,884600.0
2020-01-03,5.52,5.43,5.52,5.36,1480000.0
2020-01-02,5.39,5.37,5.4,5.33,687500.0
2019-12-31,5.32,5.4,5.4,5.31,1890000.0
2019-12-30,5.38,5.42,5.44,5.32,1420000.0
2019-12-27,5.45,5.34,5.45,5.33,474700.0
2019-12-26,5.38,5.35,5.38,5.35,19800.0
2019-12-24,5.39,5.43,5.43,5.37,210600.0
2019-12-23,5.43,5.4,5.46,5.39,1170000.0
2019-12-20,5.45,5.45,5.45,5.36,4290000.0
2019-12-19,5.41,5.27,5.47,5.27,1770000.0
2019-12-18,5.38,5.15,5.38,5.15,4099999.9999999995
2019-12-17,5.21,5.11,5.21,5.07,1810000.0
2019-12-16,5.08,5.12,5.15,5.08,1270000.0
2019-12-13,5.11,5.16,5.22,5.11,1270000.0
2019-12-12,5.16,5.13,5.19,5.11,1060000.0
2019-12-11,5.11,5.11,5.14,5.11,602700.0
2019-12-10,5.11,5.16,5.16,5.1,681800.0
2019-12-09,5.13,5.18,5.18,5.1,985800.0
2019-12-06,5.14,5.12,5.16,5.09,923300.0
2019-12-05,5.09,5.1,5.12,5.08,600600.0
2019-12-04,5.07,5.2,5.25,5.07,3050000.0
2019-12-03,5.25,5.27,5.27,5.18,1200000.0
2019-12-02,5.25,5.2,5.26,5.19,753500.0
2019-11-29,5.18,5.37,5.39,5.15,3000000.0
