Date,Price,Open,High,Low,Vol.
2020-03-13,131.7,136.0,136.0,120.0,160800.0
2020-03-12,139.2,140.2,140.2,138.7,79200.0
2020-03-11,140.2,140.2,141.6,139.9,59600.0
2020-03-10,141.0,140.8,141.6,140.2,140200.0
2020-03-09,140.8,139.5,141.7,139.5,125300.0
2020-03-06,140.0,140.5,141.2,140.0,231500.0
2020-03-05,141.0,142.7,142.7,140.8,284700.0
2020-03-04,141.3,140.7,141.3,140.0,59100.0
2020-03-03,140.7,142.5,145.0,139.4,64400.00000000001
2020-03-02,140.2,139.1,141.7,139.1,111900.0
2020-02-28,143.0,139.1,143.6,139.1,276200.0
2020-02-27,142.0,141.2,142.0,141.2,53200.0
2020-02-26,141.7,140.0,142.0,140.0,83600.0
2020-02-25,142.0,142.4,142.4,141.7,74600.0
2020-02-24,142.4,142.7,142.8,142.1,69500.0
2020-02-21,142.7,143.0,143.8,142.3,69200.0
2020-02-20,143.3,145.0,145.0,143.1,39300.0
2020-02-19,144.4,144.2,145.0,144.0,13500.0
2020-02-18,144.6,144.3,144.8,144.3,103100.0
2020-02-17,145.0,144.8,145.0,144.6,28300.0
2020-02-14,144.9,145.0,145.0,144.6,15200.0
2020-02-13,144.8,145.5,145.5,144.1,36400.0
2020-02-12,145.0,144.9,145.0,144.2,54000.0
2020-02-11,145.0,146.9,146.9,144.1,30100.0
2020-02-10,145.0,144.3,145.0,144.2,71200.0
2020-02-07,144.3,143.3,144.9,143.3,47400.0
2020-02-06,144.9,144.3,145.0,143.0,80300.0
2020-02-05,143.5,143.2,144.7,143.2,54000.0
2020-02-04,143.4,142.9,144.3,142.9,111500.0
2020-02-03,143.2,142.1,144.1,142.1,58900.0
2020-01-31,144.3,144.5,145.2,142.9,120500.0
2020-01-30,145.2,144.5,145.7,144.0,23000.0
2020-01-29,145.0,146.7,146.7,144.6,238200.0
2020-01-28,145.0,144.5,145.1,144.5,37700.0
2020-01-23,146.1,144.8,146.1,144.8,28500.0
2020-01-22,145.5,145.3,145.8,145.0,26600.0
2020-01-21,145.2,145.0,145.5,145.0,12600.0
2020-01-20,145.4,144.8,145.5,144.8,60600.0
2020-01-17,145.6,146.0,146.0,145.0,85500.0
2020-01-16,145.5,145.4,145.5,144.8,48800.0
2020-01-15,145.6,144.9,145.7,144.9,36700.0
2020-01-14,145.7,145.0,145.9,145.0,64400.00000000001
