Date,Price,Open,High,Low,Vol.
2020-03-13,5.6,5.7,5.7,5.53,165200.0
2020-03-12,5.79,5.9,5.9,5.77,356100.0
2020-03-11,5.95,5.89,6.0,5.89,65800.0
2020-03-10,5.89,5.89,5.95,5.79,304200.0
2020-03-09,5.94,6.12,6.12,5.9,566700.0
2020-03-06,6.19,6.22,6.22,6.19,55700.0
2020-03-05,6.24,6.21,6.25,6.2,95700.0
2020-03-04,6.21,6.19,6.23,6.19,14600.0
2020-03-03,6.18,6.18,6.19,6.17,42500.0
2020-03-02,6.15,6.25,6.25,6.07,182600.0
2020-02-28,6.27,6.35,6.36,6.27,139100.0
2020-02-27,6.38,6.37,6.38,6.36,196900.0
2020-02-26,6.37,6.33,6.39,6.33,77700.0
2020-02-25,6.37,6.34,6.39,6.34,66000.0
2020-02-24,6.34,6.42,6.42,6.28,293700.0
2020-02-21,6.43,6.44,6.45,6.43,52700.0
2020-02-20,6.45,6.45,6.46,6.44,187200.0
2020-02-19,6.44,6.42,6.45,6.42,163400.0
2020-02-18,6.44,6.42,6.44,6.42,138000.0
2020-02-17,6.42,6.38,6.44,6.38,75300.0
2020-02-14,6.4,6.38,6.4,6.38,71700.0
2020-02-13,6.38,6.38,6.4,6.38,225700.0
2020-02-12,6.37,6.38,6.39,6.36,170100.0
2020-02-11,6.38,6.38,6.38,6.37,149400.0
2020-02-10,6.36,6.35,6.38,6.35,13300.0
2020-02-07,6.38,6.39,6.4,6.37,77700.0
2020-02-06,6.38,6.42,6.42,6.38,77200.0
2020-02-05,6.4,6.4,6.4,6.36,120800.0
2020-02-04,6.38,6.42,6.42,6.37,87400.0
2020-02-03,6.37,6.43,6.43,6.01,245500.0
2020-01-31,6.43,6.47,6.5,6.42,173700.0
2020-01-30,6.47,6.46,6.48,6.45,55000.0
2020-01-29,6.46,6.47,6.49,6.46,14700.0
2020-01-28,6.47,6.48,6.49,6.45,51800.0
2020-01-24,6.49,6.5,6.55,6.49,106700.0
2020-01-23,6.51,6.52,6.55,6.5,119100.0
2020-01-22,6.54,6.55,6.55,6.5,108700.0
2020-01-21,6.53,6.55,6.55,6.53,38800.0
2020-01-20,6.54,6.49,6.55,6.49,139000.0
2020-01-17,6.51,6.5,6.51,6.49,129900.0
2020-01-16,6.5,6.5,6.54,6.49,56600.0
2020-01-15,6.5,6.5,6.51,6.5,163000.0
2020-01-14,6.51,6.52,6.55,6.5,32800.0
2020-01-13,6.5,6.49,6.53,6.49,67800.0
2020-01-10,6.49,6.49,6.51,6.49,100300.0
2020-01-09,6.49,6.53,6.53,6.48,151700.0
2020-01-08,6.5,6.53,6.53,6.49,102700.0
2020-01-07,6.53,6.55,6.55,6.53,135000.0
2020-01-06,6.53,6.52,6.56,6.52,46300.0
2020-01-03,6.54,6.54,6.55,6.53,130600.0
2020-01-02,6.55,6.55,6.56,6.54,129199.99999999999
2019-12-31,6.55,6.55,6.55,6.5,20400.0
2019-12-30,6.55,6.55,6.56,6.49,402900.0
2019-12-27,6.56,6.56,6.58,6.55,103100.0
2019-12-26,6.55,6.53,6.55,6.53,29700.0
2019-12-24,6.5,6.53,6.53,6.5,16200.0
2019-12-23,6.5,6.55,6.55,6.5,22500.0
2019-12-20,6.45,6.56,6.57,6.45,392900.0
2019-12-19,6.56,6.56,6.56,6.55,44200.0
2019-12-18,6.55,6.56,6.56,6.55,184500.0
2019-12-17,6.56,6.54,6.57,6.51,57300.0
2019-12-16,6.51,6.55,6.55,6.51,68300.0
2019-12-13,6.55,6.51,6.55,6.51,58700.0
2019-12-12,6.51,6.5,6.53,6.49,292800.0
2019-12-11,6.5,6.5,6.53,6.49,84300.0
2019-12-10,6.5,6.5,6.5,6.5,34400.0
2019-12-09,6.48,6.5,6.52,6.48,79600.0
2019-12-06,6.48,6.5,6.5,6.47,55900.0
2019-12-05,6.47,6.5,6.5,6.46,18100.0
2019-12-04,6.46,6.46,6.47,6.45,60500.0
2019-12-03,6.46,6.47,6.47,6.46,19600.0
2019-12-02,6.46,6.46,6.47,6.45,103100.0
2019-11-29,6.45,6.48,6.51,6.45,64900.00000000001
2019-11-28,6.47,6.47,6.49,6.47,31800.0
2019-11-27,6.5,6.48,6.5,6.48,55000.0
2019-11-26,6.48,6.5,6.5,6.48,59300.0
2019-11-25,6.48,6.49,6.5,6.48,42600.0
2019-11-22,6.49,6.48,6.5,6.48,35000.0
2019-11-21,6.48,6.5,6.5,6.48,131600.0
2019-11-20,6.5,6.54,6.54,6.5,46300.0
2019-11-19,6.54,6.48,6.54,6.47,52400.0
2019-11-18,6.48,6.49,6.5,6.48,39600.0
2019-11-15,6.5,6.48,6.5,6.47,37600.0
2019-11-14,6.48,6.48,6.51,6.48,25400.0
2019-11-13,6.55,6.5,6.55,6.48,10400.0
2019-11-12,6.5,6.47,6.5,6.46,19500.0
2019-11-11,6.46,6.5,6.5,6.46,21000.0
2019-11-08,6.49,6.5,6.5,6.48,32100.0
2019-11-07,6.5,6.48,6.5,6.46,74000.0
2019-11-06,6.5,6.5,6.5,6.48,106300.0
2019-11-05,6.49,6.55,6.55,6.49,30300.0
2019-11-04,6.49,6.49,6.5,6.49,36400.0
2019-11-01,6.57,6.51,6.57,6.48,10100.0
2019-10-31,6.5,6.48,6.51,6.48,117300.0
2019-10-30,6.48,6.47,6.53,6.47,41800.0
2019-10-29,6.46,6.5,6.5,6.46,19200.0
2019-10-25,6.46,6.47,6.47,6.44,23200.0
2019-10-24,6.46,6.48,6.48,6.46,15300.0
2019-10-23,6.58,6.56,6.61,6.55,57000.0
2019-10-22,6.56,6.58,6.61,6.56,51300.0
2019-10-21,6.58,6.6,6.6,6.58,95000.0
2019-10-18,6.6,6.6,6.6,6.58,44500.0
2019-10-17,6.6,6.6,6.6,6.6,110200.0
2019-10-16,6.6,6.6,6.61,6.59,132200.0
2019-10-15,6.59,6.6,6.6,6.59,157800.0
2019-10-14,6.6,6.6,6.6,6.59,110700.0
2019-10-11,6.59,6.6,6.6,6.59,76300.0
2019-10-10,6.6,6.56,6.61,6.56,38700.0
2019-10-09,6.54,6.56,6.61,6.54,78100.0
2019-10-08,6.55,6.52,6.56,6.52,112000.0
2019-10-07,6.51,6.49,6.52,6.49,52600.0
2019-10-04,6.49,6.51,6.51,6.49,58500.0
2019-10-03,6.51,6.51,6.51,6.5,52100.0
2019-10-02,6.51,6.51,6.51,6.5,30300.0
2019-10-01,6.51,6.5,6.51,6.5,92000.0
2019-09-30,6.5,6.5,6.51,6.49,74800.0
2019-09-27,6.51,6.51,6.51,6.49,98900.0
2019-09-26,6.51,6.5,6.51,6.48,155600.0
2019-09-25,6.5,6.51,6.51,6.5,33700.0
2019-09-24,6.52,6.52,6.52,6.5,27400.0
2019-09-23,6.51,6.51,6.51,6.5,76800.0
2019-09-20,6.51,6.5,6.51,6.49,187600.0
2019-09-19,6.5,6.49,6.5,6.49,12400.0
2019-09-18,6.5,6.48,6.5,6.47,88700.0
2019-09-17,6.5,6.5,6.5,6.49,63800.0
2019-09-13,6.48,6.47,6.49,6.47,35600.0
2019-09-12,6.48,6.47,6.49,6.47,120300.0
2019-09-11,6.47,6.48,6.5,6.47,15200.0
2019-09-10,6.46,6.53,6.53,6.46,17200.0
2019-09-06,6.46,6.47,6.48,6.44,17800.0
2019-09-05,6.45,6.47,6.47,6.45,39400.0
2019-09-04,6.46,6.48,6.48,6.46,60800.0
2019-09-03,6.47,6.49,6.49,6.47,25900.0
2019-08-30,6.47,6.47,6.51,6.46,37000.0
2019-08-29,6.45,6.5,6.5,6.44,63500.0
2019-08-28,6.44,6.45,6.47,6.44,54900.0
2019-08-27,6.48,6.44,6.5,6.44,92400.0
2019-08-26,6.46,6.45,6.46,6.44,28600.0
2019-08-23,6.45,6.47,6.53,6.45,72500.0
2019-08-22,6.47,6.48,6.48,6.46,64700.0
2019-08-21,6.48,6.47,6.48,6.47,59900.0
2019-08-20,6.48,6.49,6.49,6.47,166200.0
2019-08-19,6.5,6.47,6.5,6.47,16800.0
2019-08-16,6.48,6.47,6.5,6.47,44300.0
2019-08-15,6.5,6.54,6.54,6.46,43900.0
2019-08-14,6.54,6.49,6.54,6.48,133900.0
2019-08-13,6.49,6.5,6.51,6.49,119200.0
2019-08-09,6.52,6.5,6.55,6.5,120200.0
2019-08-08,6.5,6.49,6.52,6.49,346600.0
2019-08-07,6.52,6.49,6.53,6.49,478300.0
2019-08-06,6.49,6.54,6.54,6.47,156500.0
2019-08-05,6.54,6.53,6.55,6.52,159100.0
2019-08-02,6.54,6.56,6.57,6.54,662800.0
2019-08-01,6.57,6.6,6.62,6.56,144900.0
2019-07-31,6.56,6.6,6.62,6.56,94500.0
2019-07-29,6.6,6.64,6.64,6.6,80300.0
2019-07-26,6.62,6.6,6.64,6.6,60200.0
2019-07-25,6.58,6.65,6.65,6.58,57200.0
2019-07-24,6.6,6.67,6.67,6.58,46100.0
2019-07-23,6.6,6.6,6.65,6.56,73100.0
2019-07-22,6.56,6.57,6.64,6.56,47200.0
2019-07-19,6.56,6.55,6.56,6.55,41900.0
2019-07-18,6.55,6.54,6.55,6.53,335300.0
2019-07-17,6.57,6.54,6.57,6.54,135700.0
2019-07-16,6.56,6.56,6.59,6.55,289500.0
2019-07-15,6.59,6.57,6.59,6.54,199400.0
2019-07-12,6.56,6.56,6.59,6.56,128300.00000000001
2019-07-11,6.59,6.56,6.59,6.55,73000.0
2019-07-10,6.56,6.54,6.6,6.53,124400.0
2019-07-09,6.57,6.55,6.57,6.53,124800.0
2019-07-08,6.56,6.56,6.56,6.53,179300.0
2019-07-05,6.56,6.54,6.58,6.53,120800.0
2019-07-04,6.53,6.6,6.6,6.53,43600.0
2019-07-03,6.59,6.56,6.59,6.54,14800.0
2019-07-02,6.58,6.56,6.58,6.54,25800.0
2019-07-01,6.58,6.49,6.58,6.49,35700.0
2019-06-28,6.48,6.49,6.5,6.46,55400.0
2019-06-27,6.52,6.58,6.58,6.5,163900.0
2019-06-26,6.57,6.57,6.59,6.55,189600.0
2019-06-25,6.57,6.58,6.58,6.55,175600.0
2019-06-24,6.54,6.51,6.58,6.51,175900.0
2019-06-21,6.51,6.5,6.54,6.47,167800.0
2019-06-20,6.47,6.55,6.55,6.46,286400.0
2019-06-19,6.47,6.55,6.55,6.43,219700.0
2019-06-18,6.43,6.41,6.52,6.41,206600.0
2019-06-17,6.39,6.55,6.55,6.38,695000.0
2019-06-14,6.42,6.41,6.45,6.41,297400.0
2019-06-13,6.38,6.45,6.5,6.38,999000.0
2019-06-12,6.45,6.57,6.57,6.44,516100.0
2019-06-11,6.57,6.6,6.6,6.55,154100.0
2019-06-10,6.59,6.61,6.61,6.57,215000.0
2019-06-07,6.6,6.65,6.65,6.59,55900.0
2019-06-04,6.66,6.67,6.67,6.66,1500.0
2019-06-03,6.57,6.58,6.66,6.57,123800.0
2019-05-31,6.57,6.62,6.65,6.5,90200.0
2019-05-30,6.6,6.58,6.62,6.48,258600.00000000003
2019-05-29,6.46,6.49,6.5,6.45,71900.0
2019-05-28,6.49,6.49,6.52,6.48,167500.0
2019-05-27,6.5,6.52,6.53,6.48,312100.0
2019-05-24,6.46,6.47,6.47,6.45,21300.0
2019-05-23,6.47,6.49,6.49,6.45,88400.0
2019-05-21,6.49,6.5,6.5,6.44,32600.0
2019-05-17,6.41,6.48,6.48,6.41,173400.0
2019-05-16,6.47,6.63,6.63,6.47,12400.0
2019-05-15,6.49,6.5,6.5,6.48,90400.0
2019-05-14,6.49,6.5,6.52,6.48,94000.0
2019-05-13,6.55,6.54,6.55,6.52,30000.0
2019-05-10,6.54,6.58,6.58,6.52,99300.0
2019-05-09,6.58,6.62,6.62,6.58,17800.0
2019-05-08,6.59,6.63,6.63,6.58,64300.0
2019-05-07,6.63,6.63,6.64,6.57,71100.0
2019-05-06,6.57,6.63,6.63,6.56,65200.0
2019-05-03,6.6,6.63,6.63,6.58,47600.0
2019-05-02,6.6,6.6,6.65,6.58,21500.0
2019-04-30,6.59,6.66,6.66,6.59,101700.0
2019-04-29,6.58,6.6,6.6,6.57,141200.0
2019-04-26,6.6,6.62,6.62,6.6,52900.0
2019-04-25,6.62,6.63,6.63,6.6,26000.0
2019-04-24,6.6,6.56,6.65,6.56,191900.0
2019-04-23,6.56,6.55,6.59,6.55,23000.0
2019-04-22,6.58,6.58,6.58,6.56,4300.0
2019-04-19,6.56,6.55,6.58,6.55,57500.0
2019-04-18,6.55,6.54,6.55,6.54,26700.0
2019-04-17,6.58,6.6,6.6,6.54,78000.0
2019-04-16,6.54,6.54,6.55,6.54,403300.0
2019-04-15,6.54,6.55,6.55,6.54,302000.0
2019-04-12,6.55,6.53,6.61,6.53,110100.0
2019-04-11,6.47,6.46,6.47,6.45,176600.0
2019-04-10,6.46,6.44,6.55,6.42,303200.0
2019-04-09,6.31,6.31,6.34,6.3,317800.0
2019-04-08,6.33,6.31,6.48,6.29,139400.0
2019-04-05,6.3,6.28,6.31,6.28,25000.0
2019-04-04,6.29,6.23,6.32,6.23,86800.0
2019-04-03,6.3,6.3,6.3,6.3,26300.0
2019-04-02,6.3,6.31,6.31,6.27,47800.0
2019-04-01,6.23,6.25,6.31,6.21,104500.0
2019-03-29,6.25,6.25,6.25,6.25,5100.0
2019-03-28,6.31,6.22,6.32,6.22,28900.0
2019-03-26,6.31,6.31,6.31,6.21,194700.0
2019-03-25,6.27,6.36,6.4,6.26,328500.0
2019-03-22,6.41,6.41,6.42,6.36,94100.0
2019-03-21,6.41,6.5,6.5,6.4,173300.0
2019-03-20,6.5,6.5,6.54,6.5,23300.0
2019-03-18,6.55,6.57,6.59,6.55,44700.0
2019-03-15,6.58,6.62,6.62,6.56,32400.0
2019-03-14,6.6,6.61,6.61,6.59,365200.0
2019-03-13,6.6,6.62,6.62,6.59,152900.0
2019-03-12,6.62,6.55,6.63,6.55,396900.0
2019-03-11,6.55,6.58,6.66,6.5,42000.0
2019-03-08,6.58,6.52,6.58,6.52,13900.0
2019-03-07,6.5,6.62,6.62,6.5,111300.0
2019-03-06,6.62,6.67,6.68,6.62,90900.0
2019-03-05,6.65,6.61,6.65,6.54,95000.0
2019-03-04,6.62,6.63,6.63,6.58,49100.0
2019-03-01,6.62,6.68,6.68,6.41,70400.0
2019-02-28,6.55,6.55,6.59,6.5,58900.0
2019-02-27,6.6,6.64,6.68,6.6,187700.0
2019-02-26,6.59,6.5,6.59,6.5,473400.0
2019-02-25,6.5,6.57,6.61,6.48,221600.0
2019-02-22,6.54,6.59,6.59,6.53,77500.0
2019-02-21,6.62,6.59,6.62,6.59,56600.0
2019-02-20,6.61,6.56,6.61,6.56,102200.0
2019-02-19,6.57,6.49,6.58,6.49,66700.0
2019-02-18,6.49,6.43,6.49,6.43,93300.0
2019-02-15,6.44,6.41,6.47,6.41,78700.0
2019-02-14,6.41,6.41,6.42,6.39,533700.0
2019-02-13,6.42,6.35,6.49,6.35,109100.0
2019-02-12,6.36,6.32,6.36,6.3,65400.00000000001
2019-02-11,6.33,6.31,6.34,6.31,46800.0
2019-02-08,6.28,6.25,6.31,6.24,258700.0
2019-02-07,6.26,6.25,6.26,6.25,273100.0
2019-02-04,6.25,6.26,6.26,6.24,239200.0
2019-01-31,6.25,6.24,6.27,6.24,606600.0
2019-01-30,6.24,6.23,6.25,6.23,236900.0
2019-01-29,6.23,6.24,6.24,6.23,6500.0
2019-01-28,6.28,6.33,6.34,6.26,41500.0
2019-01-25,6.28,6.31,6.31,6.26,72600.0
2019-01-24,6.28,6.29,6.31,6.28,22000.0
2019-01-23,6.28,6.22,6.28,6.21,13000.0
2019-01-22,6.28,6.31,6.31,6.22,48600.0
2019-01-18,6.29,6.31,6.37,6.25,459900.0
2019-01-17,6.24,6.2,6.29,6.2,377500.0
2019-01-16,6.16,6.1,6.2,6.1,184800.0
2019-01-15,6.07,6.05,6.08,6.05,19600.0
2019-01-14,6.05,6.07,6.08,6.04,37900.0
2019-01-11,6.03,6.05,6.07,5.95,124000.0
2019-01-10,6.05,6.06,6.06,6.03,227200.0
2019-01-09,6.03,6.02,6.06,6.02,152900.0
2019-01-08,6.04,6.04,6.07,6.04,381300.0
2019-01-07,6.06,6.02,6.08,6.02,578700.0
2019-01-04,6.02,5.98,6.02,5.98,193600.0
2019-01-03,5.98,5.97,5.98,5.97,42000.0
2019-01-02,5.97,5.99,6.0,5.97,12700.0
2018-12-31,5.99,6.0,6.05,5.99,68200.0
2018-12-28,6.0,6.0,6.0,5.95,36400.0
2018-12-27,5.95,6.0,6.02,5.95,29500.0
2018-12-26,5.95,6.0,6.0,5.92,16100.000000000002
2018-12-24,6.0,6.02,6.02,5.98,31000.0
2018-12-21,6.02,5.82,6.02,5.82,218900.0
2018-12-20,5.86,5.8,5.86,5.8,118500.0
