Date,Price,Open,High,Low,Vol.
2020-03-13,2.65,2.61,2.65,2.56,485000.0
2020-03-12,2.8,2.97,2.97,2.68,634000.0
2020-03-11,2.98,3.0,3.03,2.95,228400.0
2020-03-10,3.0,2.98,3.03,2.96,387400.0
2020-03-09,2.99,3.1,3.1,2.98,738400.0
2020-03-06,3.1,3.05,3.1,3.05,133700.0
2020-03-05,3.09,3.1,3.1,3.07,39100.0
2020-03-04,3.1,3.09,3.1,3.07,189500.0
2020-03-03,3.08,3.06,3.1,3.05,348300.0
2020-03-02,3.02,2.99,3.04,2.96,902300.0
2020-02-28,3.02,3.1,3.1,2.98,1840000.0
2020-02-27,3.11,3.29,3.29,3.11,387200.0
2020-02-26,3.24,3.24,3.24,3.23,51500.0
2020-02-25,3.23,3.28,3.28,3.23,247100.0
2020-02-24,3.36,3.35,3.37,3.3,531700.0
2020-02-21,3.36,3.38,3.4,3.36,70100.0
2020-02-20,3.37,3.42,3.42,3.35,881700.0
2020-02-19,3.42,3.38,3.42,3.34,1470000.0
2020-02-18,3.38,3.41,3.47,3.38,194900.0
2020-02-17,3.41,3.44,3.44,3.39,1990000.0
2020-02-14,3.4,3.47,3.47,3.39,1840000.0
2020-02-13,3.47,3.36,3.5,3.35,1550000.0
2020-02-12,3.4,3.33,3.42,3.31,824300.0
2020-02-11,3.33,3.36,3.38,3.31,1340000.0
2020-02-10,3.36,3.3,3.37,3.3,212700.0
2020-02-07,3.35,3.36,3.37,3.3,194100.0
2020-02-06,3.35,3.36,3.39,3.33,32500.0
2020-02-05,3.36,3.35,3.38,3.31,99400.0
2020-02-04,3.36,3.35,3.37,3.32,233400.0
2020-02-03,3.32,3.29,3.35,3.1,448500.0
2020-01-31,3.31,3.36,3.36,3.3,265600.0
2020-01-30,3.35,3.41,3.41,3.35,152800.0
2020-01-29,3.4,3.38,3.47,3.36,611500.0
2020-01-28,3.38,3.35,3.4,3.2,485200.0
2020-01-24,3.45,3.45,3.51,3.45,336800.0
2020-01-23,3.5,3.48,3.59,3.48,493800.0
2020-01-22,3.5,3.5,3.55,3.48,903800.0
2020-01-21,3.55,3.53,3.57,3.42,1280000.0
2020-01-20,3.53,3.41,3.56,3.41,975300.0
2020-01-17,3.42,3.2,3.43,3.2,2910000.0
2020-01-16,3.19,3.14,3.2,3.08,617500.0
2020-01-15,3.14,3.1,3.16,3.04,2940000.0
2020-01-14,3.05,3.1,3.13,3.05,543300.0
2020-01-13,3.08,3.07,3.11,3.07,293800.0
2020-01-10,3.05,3.09,3.1,3.04,972300.0
2020-01-09,3.08,3.1,3.1,3.08,880000.0
