Date,Price,Open,High,Low,Vol.
2020-03-13,29.1,30.0,30.0,28.8,9400.0
2020-03-12,30.4,30.8,30.8,30.3,9800.0
2020-03-11,31.2,31.2,31.2,31.2,7200.0
2020-03-10,31.2,30.02,31.3,30.02,9100.0
2020-03-09,31.0,31.9,31.9,30.8,26300.0
2020-03-06,31.92,32.2,32.2,31.92,3100.0
2020-03-05,32.3,32.3,32.86,32.3,4300.0
2020-03-04,32.2,32.1,32.3,32.1,3100.0
2020-03-03,32.1,32.1,32.1,31.98,4300.0
2020-03-02,32.48,33.0,33.0,31.0,3700.0
2020-02-28,33.36,34.32,34.32,33.22,12400.0
2020-02-27,34.32,34.4,34.44,34.32,6900.0
2020-02-26,33.9,34.04,34.12,33.9,3000.0
2020-02-25,34.04,33.9,34.38,33.86,12800.0
2020-02-24,33.92,33.62,33.92,32.0,25300.0
2020-02-21,33.7,31.7,33.76,31.7,27600.0
2020-02-20,31.5,30.96,31.5,30.92,57600.0
2020-02-19,30.9,31.64,31.64,30.74,39800.0
2020-02-18,31.68,32.28,32.28,31.66,25100.0
2020-02-17,32.22,32.88,32.88,32.22,15800.0
2020-02-14,32.9,33.02,33.02,32.9,9500.0
2020-02-13,33.02,33.3,33.3,33.02,13300.0
2020-02-12,33.2,33.3,33.4,33.2,3900.0
2020-02-11,33.3,33.46,33.46,33.3,3200.0
2020-02-10,33.2,33.5,33.5,33.18,5600.0
2020-02-07,33.5,33.68,33.7,33.5,9400.0
2020-02-06,33.68,33.7,33.7,33.68,21800.0
2020-02-05,33.7,33.8,33.8,33.7,5300.0
2020-02-04,33.8,34.0,34.0,33.8,4900.0
2020-02-03,34.06,34.6,34.6,33.98,17500.0
2020-01-31,34.6,34.82,35.0,34.6,11200.0
2020-01-30,34.82,36.18,36.2,34.82,14800.0
2020-01-29,34.52,35.0,35.0,34.52,4900.0
2020-01-28,35.0,35.5,35.5,35.0,20300.0
2020-01-24,35.8,35.94,35.94,35.8,1800.0
2020-01-23,35.96,36.0,36.0,35.96,4700.0
2020-01-22,36.02,36.54,36.54,36.02,7900.0
2020-01-21,36.92,36.26,36.92,36.26,586500.0
2020-01-20,36.8,36.8,36.8,36.8,7400.0
2020-01-17,36.68,36.7,36.7,36.68,400.0
2020-01-16,36.7,36.86,36.86,36.7,1200.0
2020-01-15,36.86,36.66,36.86,36.66,300.0
2020-01-14,36.6,36.7,36.7,36.6,200.0
2020-01-13,36.7,36.62,36.7,36.62,5400.0
2020-01-10,36.62,36.6,36.62,36.6,1700.0
2020-01-09,36.6,36.62,36.62,36.6,6700.0
2020-01-08,36.2,36.98,36.98,36.2,8700.0
2020-01-07,36.72,36.72,36.72,36.72,100.0
2020-01-06,36.6,37.0,37.0,36.6,600.0
2020-01-03,37.0,37.0,37.0,36.0,6000.0
2020-01-02,37.0,37.0,37.0,37.0,300.0
2019-12-31,37.0,37.0,37.0,37.0,4800.0
2019-12-30,37.0,36.8,37.0,36.8,6400.0
2019-12-27,37.0,37.2,37.2,37.0,2100.0
2019-12-26,37.2,37.2,37.2,37.2,100.0
2019-12-23,37.0,37.0,37.42,37.0,1300.0
