Date,Price,Open,High,Low,Vol.
2020-03-13,18.5,18.52,18.56,18.06,337100.0
2020-03-12,19.9,19.86,20.12,19.82,334600.0
2020-03-11,20.18,20.14,20.6,19.8,448100.0
2020-03-10,20.12,20.5,21.0,19.82,549800.0
2020-03-09,20.9,21.7,21.76,20.54,734700.0
2020-03-06,22.08,22.1,22.5,21.8,160400.0
2020-03-05,22.08,22.2,22.38,21.92,246500.0
2020-03-04,22.08,22.4,22.4,21.9,547400.0
2020-03-03,22.0,21.94,22.0,21.66,191400.0
2020-03-02,21.94,22.04,22.4,21.88,974800.0
2020-02-28,22.84,21.08,22.88,21.08,1100000.0
2020-02-27,21.52,21.5,21.56,21.44,664100.0
2020-02-26,21.56,21.1,21.94,21.02,634800.0
2020-02-25,21.4,21.3,21.6,21.1,510100.0
2020-02-24,21.6,22.04,22.04,21.6,390700.0
2020-02-21,22.0,21.94,22.3,21.94,270600.0
2020-02-20,22.08,22.22,22.78,22.06,132400.0
2020-02-19,22.18,22.16,22.26,22.08,95900.0
2020-02-18,22.26,22.2,22.3,22.12,148700.0
2020-02-17,22.2,22.28,22.66,22.2,84900.0
2020-02-14,22.16,22.26,22.26,21.88,506500.0
2020-02-13,22.26,22.3,22.3,22.08,177500.0
2020-02-12,22.3,22.3,22.4,22.26,520400.0
2020-02-11,22.46,22.4,22.98,22.4,174800.0
2020-02-10,22.4,22.18,22.4,22.14,178600.0
2020-02-07,22.32,22.32,22.42,22.22,94000.0
2020-02-06,22.42,22.88,22.94,22.3,490500.0
2020-02-05,22.32,22.42,22.46,22.04,277100.0
2020-02-04,22.18,22.36,22.94,22.18,317000.0
2020-02-03,22.1,22.44,22.44,22.1,184000.0
2020-01-31,22.16,22.5,22.6,22.16,1770000.0
2020-01-30,22.5,22.3,22.56,22.22,303200.0
2020-01-29,22.28,22.58,22.78,22.02,725000.0
2020-01-28,22.8,22.62,22.8,21.1,1190000.0
2020-01-24,23.14,23.12,23.38,22.96,138300.0
2020-01-23,23.12,23.1,23.14,22.98,254900.0
2020-01-22,23.32,23.4,23.4,23.14,445200.0
2020-01-21,23.4,23.68,23.68,23.26,553800.0
2020-01-20,23.2,23.8,23.8,23.2,925700.0
2020-01-17,23.8,22.46,23.96,22.42,425000.0
2020-01-16,22.46,22.4,22.46,22.24,197700.0
2020-01-15,22.38,22.32,22.42,22.26,374800.0
2020-01-14,22.44,22.4,22.56,22.34,354600.0
2020-01-13,22.46,22.5,22.52,22.4,563500.0
2020-01-10,22.48,22.7,22.78,22.38,209700.0
2020-01-09,22.76,23.12,23.36,22.6,253700.0
2020-01-08,23.1,23.0,23.1,22.8,176600.0
2020-01-07,23.08,23.1,23.18,23.02,379500.0
2020-01-06,23.1,23.32,23.5,22.88,292300.0
2020-01-03,23.12,23.42,23.42,23.0,459800.0
2020-01-02,22.96,22.92,23.06,22.9,206300.0
2019-12-31,23.1,23.5,23.5,22.84,429800.0
2019-12-30,23.3,23.4,23.46,23.22,98900.0
2019-12-27,23.12,22.92,23.34,22.92,385300.0
2019-12-26,23.06,23.2,23.32,23.02,41600.0
2019-12-24,23.32,23.44,23.7,23.24,112800.0
2019-12-23,23.36,23.02,23.56,23.02,320400.0
2019-12-20,23.0,23.02,23.4,22.88,1210000.0
2019-12-19,23.06,23.02,23.22,23.02,1100000.0
2019-12-18,23.0,23.24,23.24,22.76,487700.0
2019-12-17,23.0,23.14,23.32,22.8,481000.0
2019-12-16,23.4,23.32,24.2,22.6,539900.0
2019-12-13,23.54,24.0,24.3,23.54,2810000.0
2019-12-12,23.78,23.48,26.6,23.48,1620000.0
2019-12-11,23.3,22.32,23.5,22.3,340800.0
2019-12-10,22.5,22.16,22.6,22.16,104500.0
2019-12-09,22.16,22.2,22.5,21.8,207200.0
2019-12-06,22.34,22.9,22.92,22.24,298700.0
2019-12-05,23.0,23.0,23.2,22.9,190100.0
2019-12-04,23.2,23.08,23.3,23.0,448900.0
2019-12-03,23.3,23.04,23.4,23.04,541900.0
2019-12-02,23.3,22.9,23.6,22.9,662900.0
2019-11-29,22.9,23.42,23.64,22.76,552100.0
2019-11-28,23.5,23.58,23.7,23.48,217800.0
2019-11-27,23.96,24.48,24.48,23.68,183000.0
2019-11-26,24.6,23.98,24.6,23.5,1580000.0
2019-11-25,23.9,24.28,24.28,23.1,438600.0
2019-11-22,24.1,23.7,24.36,23.58,402500.0
2019-11-21,23.58,23.98,23.98,23.36,998500.0
2019-11-20,24.16,24.2,24.5,23.84,146400.0
2019-11-19,24.22,24.3,24.62,24.08,210800.0
2019-11-18,24.3,23.8,24.3,23.66,150800.0
2019-11-15,23.76,23.78,23.86,23.56,460800.0
2019-11-14,23.96,23.8,24.02,23.8,1280000.0
2019-11-13,24.1,23.84,24.18,23.7,296400.0
2019-11-12,23.96,23.98,24.36,23.76,235600.0
2019-11-11,23.96,23.8,24.0,23.32,217800.0
2019-11-08,23.72,23.8,23.8,23.66,331300.0
2019-11-07,23.8,23.9,24.0,23.7,186900.0
2019-11-06,23.7,23.88,23.88,23.62,174000.0
2019-11-05,23.74,23.68,23.94,23.5,253600.0
2019-11-04,23.68,23.68,23.76,23.5,151700.0
2019-11-01,23.54,23.56,23.58,23.5,144200.0
2019-10-31,23.56,23.56,23.68,23.5,464300.0
2019-10-30,23.56,23.62,23.68,23.52,174300.0
2019-10-29,23.5,23.46,23.6,23.4,624200.0
2019-10-25,23.46,23.5,23.7,23.32,302500.0
2019-10-24,23.46,23.16,23.5,23.16,285100.0
2019-10-23,23.48,23.46,23.48,23.3,167700.0
2019-10-22,23.48,23.46,23.5,23.4,212900.0
2019-10-21,23.48,23.14,23.5,23.14,119500.0
2019-10-18,23.3,23.18,23.54,23.18,218100.0
2019-10-17,23.3,23.12,23.42,23.12,191300.0
2019-10-16,23.3,23.12,23.46,23.12,232000.0
2019-10-15,23.3,23.2,23.5,23.2,265700.0
2019-10-14,23.3,23.06,23.48,23.06,199200.0
2019-10-11,23.04,23.02,23.14,23.02,540200.0
2019-10-10,23.1,23.14,23.46,23.06,440500.0
2019-10-09,23.3,22.68,23.4,22.68,350500.0
2019-10-08,23.18,23.2,23.78,23.06,418200.0
2019-10-07,23.68,23.2,23.72,23.2,221800.0
2019-10-04,23.48,23.44,23.54,23.12,270800.0
2019-10-03,23.44,23.3,23.48,23.3,156700.0
2019-10-02,23.56,23.64,23.68,23.56,93300.0
2019-10-01,23.64,23.78,23.78,23.58,48600.0
2019-09-30,23.6,23.5,23.8,23.48,297200.0
2019-09-27,23.48,22.9,23.5,22.9,307800.0
2019-09-26,23.36,23.18,23.52,23.18,361700.0
2019-09-25,23.48,23.44,23.48,23.42,502600.0
2019-09-24,23.42,23.22,23.5,23.2,332200.0
2019-09-23,23.3,23.1,23.38,23.1,276800.0
2019-09-20,23.4,23.6,23.6,22.92,751300.0
