Date,Price,Open,High,Low,Vol.
2020-03-13,14.7,14.86,14.94,14.6,557600.0
2020-03-12,15.4,15.82,15.82,14.92,1530000.0
2020-03-11,15.6,15.5,15.72,15.48,1060000.0
2020-03-10,15.5,15.86,15.86,15.36,1360000.0
2020-03-09,15.68,15.7,15.96,15.62,904900.0
2020-03-06,16.14,16.2,16.38,15.96,392300.0
2020-03-05,16.36,16.5,16.5,16.18,296300.0
2020-03-04,16.48,16.24,16.82,16.12,1240000.0
2020-03-03,16.56,16.8,16.8,16.5,375500.0
2020-03-02,16.5,16.28,16.7,16.28,1540000.0
2020-02-28,16.62,16.5,16.78,16.4,1990000.0
2020-02-27,16.94,16.96,16.96,16.46,924200.0
2020-02-26,16.8,16.36,17.16,16.28,1210000.0
2020-02-25,16.4,16.46,16.54,16.22,939800.0
2020-02-24,16.5,16.18,16.6,16.18,884300.0
2020-02-21,16.46,16.5,16.5,16.22,615800.0
2020-02-20,16.48,16.3,16.66,16.3,870600.0
2020-02-19,16.5,16.42,16.68,16.34,1420000.0
2020-02-18,16.38,16.2,16.52,16.2,529400.0
2020-02-17,16.22,16.28,16.32,16.18,248100.0
2020-02-14,16.32,16.2,16.34,16.18,562000.0
2020-02-13,16.3,16.26,16.32,16.24,579100.0
2020-02-12,16.26,16.2,16.42,16.08,1060000.0
2020-02-11,16.24,16.4,16.4,16.16,367700.0
2020-02-10,16.12,16.4,16.4,16.04,321400.0
2020-02-07,16.2,16.34,16.48,16.18,412000.0
2020-02-06,16.2,16.18,16.42,16.18,423500.0
2020-02-05,16.28,16.7,16.7,16.14,1050000.0
2020-02-04,16.46,15.98,16.64,15.98,956400.0
2020-02-03,15.92,15.88,15.98,15.8,392900.0
2020-01-31,16.0,16.0,16.32,15.78,1500000.0
2020-01-30,16.0,16.48,16.48,15.92,706200.0
2020-01-29,16.3,16.3,16.46,16.08,424300.0
2020-01-28,16.3,16.4,16.4,16.0,559200.0
2020-01-24,16.4,16.66,16.66,16.32,139200.0
2020-01-23,16.4,16.4,16.4,16.3,565100.0
2020-01-22,16.4,16.32,16.5,16.32,693000.0
2020-01-21,16.42,16.34,16.52,16.34,413300.0
2020-01-20,16.24,16.5,16.5,16.22,228100.0
2020-01-17,16.5,16.6,16.6,16.38,758000.0
2020-01-16,16.5,16.5,16.7,16.44,595200.0
2020-01-15,16.6,16.44,16.6,16.42,683200.0
2020-01-14,16.6,16.6,16.78,16.5,503400.0
2020-01-13,16.6,16.84,16.84,16.52,542200.0
2020-01-10,16.84,16.9,17.2,16.7,390700.0
2020-01-09,17.0,17.06,17.14,16.94,754000.0
2020-01-08,16.96,16.96,17.1,16.74,335900.0
2020-01-07,16.96,16.8,17.4,16.7,543800.0
2020-01-06,16.88,17.32,17.32,16.6,336300.0
2020-01-03,17.16,17.1,17.38,17.1,901800.0
2020-01-02,16.96,16.8,17.04,16.7,508100.0
2019-12-31,16.62,16.98,17.0,16.62,824700.0
2019-12-30,16.9,17.24,17.52,16.9,736600.0
2019-12-27,17.24,17.46,17.74,17.2,332000.0
2019-12-26,17.56,17.9,17.9,17.46,278400.0
2019-12-24,18.0,17.5,18.0,17.18,1740000.0
2019-12-23,17.7,17.4,17.88,17.02,1520000.0
2019-12-20,17.64,16.5,17.64,16.5,1520000.0
2019-12-19,16.8,16.62,16.9,16.44,524500.0
2019-12-18,17.0,16.8,17.0,16.52,1130000.0
2019-12-17,17.0,17.28,17.28,16.72,1790000.0
2019-12-16,17.4,16.7,17.4,16.44,1580000.0
2019-12-13,16.94,16.44,16.94,15.9,14490000.0
2019-12-12,16.4,15.3,16.68,15.3,5460000.0
2019-12-11,15.34,15.58,15.58,15.04,800700.0
2019-12-10,15.42,15.62,15.62,15.28,415800.0
2019-12-09,15.6,15.78,15.84,15.6,395200.0
2019-12-06,15.8,15.5,15.8,15.5,307800.0
2019-12-05,15.5,15.46,15.54,15.38,409400.0
2019-12-04,15.46,15.34,15.5,15.34,1190000.0
2019-12-03,15.5,15.52,15.58,15.2,705700.0
2019-12-02,15.54,15.56,15.74,15.46,908600.0
2019-11-29,15.5,16.0,16.06,15.5,1110000.0
2019-11-28,16.06,16.02,16.12,15.98,421900.0
2019-11-27,15.98,16.08,16.14,15.86,780900.0
2019-11-26,15.8,16.48,16.48,15.8,3240000.0
2019-11-25,16.3,16.4,16.4,16.24,810000.0
2019-11-22,16.4,16.32,16.56,16.2,3160000.0
2019-11-21,16.14,16.5,16.5,16.02,944500.0
2019-11-20,16.46,16.44,16.66,16.38,526100.0
2019-11-19,16.7,16.46,16.8,16.46,440200.0
2019-11-18,16.68,16.6,16.8,16.4,221600.0
2019-11-15,16.42,16.48,16.5,16.38,235300.0
2019-11-14,16.48,16.8,16.8,16.42,468400.0
2019-11-13,16.8,16.5,16.92,16.5,423000.0
2019-11-12,16.72,16.58,16.8,16.4,524900.0
2019-11-11,16.4,16.32,16.46,16.22,540300.0
2019-11-08,16.32,16.6,16.6,16.3,455100.0
2019-11-07,16.6,16.58,16.66,16.42,701800.0
2019-11-06,16.42,16.54,16.58,16.26,1000000.0
2019-11-05,16.62,16.58,16.74,16.58,720100.0
2019-11-04,16.58,16.6,16.66,16.46,596000.0
2019-11-01,16.48,16.6,16.6,14.0,950000.0
2019-10-31,16.64,16.6,16.74,16.58,1070000.0
2019-10-30,16.6,16.7,16.74,16.5,309000.0
2019-10-29,16.6,16.52,16.72,16.44,823400.0
2019-10-25,16.48,16.56,16.6,16.46,387300.0
2019-10-24,16.4,16.6,16.76,16.38,770000.0
2019-10-23,16.64,16.96,16.98,16.5,401900.0
2019-10-22,16.8,16.66,16.88,16.56,681100.0
2019-10-21,16.66,16.5,16.74,16.5,163100.0
2019-10-18,16.66,16.66,16.74,16.58,237100.0
2019-10-17,16.64,16.98,16.98,16.46,267000.0
2019-10-16,16.98,16.58,17.1,16.54,351800.0
2019-10-15,16.58,16.66,16.7,16.5,184500.0
2019-10-14,16.68,16.4,16.7,16.4,179500.0
2019-10-11,16.4,16.4,16.5,16.4,108600.0
2019-10-10,16.38,16.42,16.44,16.3,297400.0
2019-10-09,16.48,16.3,16.56,16.16,228100.0
2019-10-08,16.3,16.54,16.54,16.12,405300.0
2019-10-07,16.52,16.5,16.64,16.4,52200.0
2019-10-04,16.5,16.4,16.7,16.4,313400.0
2019-10-03,16.4,16.38,16.48,16.38,207700.0
2019-10-02,16.46,16.5,16.5,16.38,93100.0
