Date,Price,Open,High,Low,Vol.
2020-03-13,3.7,4.02,4.02,3.6,3780000.0
2020-03-12,4.33,4.4,4.44,4.32,4030000.0000000005
2020-03-11,4.42,4.4,4.56,4.37,1430000.0
2020-03-10,4.32,4.36,4.36,4.3,3660000.0
2020-03-09,4.41,4.58,4.64,4.34,2550000.0
2020-03-06,4.71,4.86,4.86,4.71,1630000.0
2020-03-05,4.86,4.86,4.86,4.75,977500.0
2020-03-04,4.81,4.66,4.84,4.66,956600.0
2020-03-03,4.71,4.69,4.74,4.65,899700.0
2020-03-02,4.65,4.66,4.69,4.6,2810000.0
2020-02-28,4.66,4.72,4.79,4.41,3650000.0
2020-02-27,4.8,4.82,4.84,4.73,1240000.0
2020-02-26,4.75,4.8,4.94,4.7,2460000.0
2020-02-25,4.81,4.83,4.85,4.8,2560000.0
2020-02-24,4.88,4.85,4.89,4.84,2260000.0
2020-02-21,4.9,4.93,4.97,4.85,1670000.0
2020-02-20,4.99,4.91,5.03,4.91,3170000.0
2020-02-19,4.93,5.0,5.0,4.9,832600.0
2020-02-18,4.95,5.0,5.05,4.95,604600.0
2020-02-17,5.05,5.02,5.18,4.99,1920000.0
2020-02-14,5.0,4.96,5.0,4.96,229300.0
2020-02-13,5.0,4.98,5.02,4.98,869300.0
2020-02-12,4.99,5.02,5.02,4.98,1470000.0
2020-02-11,4.99,5.01,5.01,4.94,1550000.0
2020-02-10,5.01,5.02,5.05,4.98,2160000.0
2020-02-07,5.05,5.06,5.06,5.01,2790000.0
2020-02-06,5.08,5.0,5.09,4.99,6920000.0
2020-02-05,5.0,4.95,5.0,4.95,3780000.0
2020-02-04,4.94,4.85,5.05,4.85,3280000.0
2020-02-03,4.9,4.81,4.93,4.81,3130000.0
2020-01-31,4.88,4.88,4.96,4.87,3600000.0
2020-01-30,4.94,4.99,5.0,4.88,3300000.0
2020-01-29,4.96,4.94,5.01,4.9,1610000.0
2020-01-28,4.94,5.07,5.08,4.89,3250000.0
2020-01-24,5.1,5.19,5.19,5.09,2450000.0
2020-01-23,5.2,4.92,5.22,4.92,4170000.0
2020-01-22,5.17,5.16,5.19,5.15,1060000.0
2020-01-21,5.21,5.2,5.22,5.18,3700000.0
2020-01-20,5.2,5.2,5.23,5.18,7730000.0
2020-01-17,5.17,5.2,5.21,5.02,4910000.0
2020-01-16,5.2,5.13,5.24,5.01,11220000.0
2020-01-15,5.15,4.95,5.15,4.95,3370000.0
2020-01-14,4.95,4.9,4.95,4.9,2550000.0
2020-01-13,4.94,4.9,4.96,4.9,4080000.0
2020-01-10,4.94,4.9,4.94,4.89,4950000.0
2020-01-09,4.9,4.94,4.95,4.81,3290000.0
2020-01-08,4.95,4.8,4.96,4.73,3480000.0
2020-01-07,4.85,4.78,4.88,4.78,2080000.0
2020-01-06,4.82,4.86,4.87,4.79,1740000.0
2020-01-03,4.86,4.75,4.87,4.75,5090000.0
2020-01-02,4.75,4.65,4.78,4.65,5440000.0
2019-12-31,4.65,4.65,4.68,4.63,1950000.0
2019-12-30,4.65,4.65,4.7,4.61,1540000.0
2019-12-27,4.7,4.65,4.7,4.65,1030000.0
2019-12-26,4.65,4.65,4.66,4.63,681400.0
2019-12-24,4.64,4.7,4.7,4.61,1060000.0
2019-12-23,4.69,4.65,4.7,4.59,1430000.0
2019-12-20,4.68,4.69,4.7,4.67,2360000.0
2019-12-19,4.7,4.68,4.71,4.68,2390000.0
2019-12-18,4.68,4.6,4.7,4.6,993800.0
2019-12-17,4.69,4.68,4.71,4.66,2500000.0
2019-12-16,4.68,4.75,4.75,4.67,450300.0
2019-12-13,4.68,4.72,4.77,4.68,903200.0
2019-12-12,4.71,4.62,4.74,4.62,1530000.0
2019-12-11,4.71,4.64,4.72,4.61,1420000.0
2019-12-10,4.6,4.59,4.65,4.57,1160000.0
2019-12-09,4.57,4.6,4.6,4.56,711300.0
2019-12-06,4.6,4.59,4.61,4.58,984100.0
2019-12-05,4.56,4.59,4.65,4.56,590600.0
2019-12-04,4.59,4.61,4.7,4.56,1600000.0
2019-12-03,4.62,4.68,4.73,4.62,1890000.0
2019-12-02,4.7,4.75,4.75,4.6,653500.0
2019-11-29,4.7,4.73,4.75,4.63,1350000.0
2019-11-28,4.77,4.75,4.8,4.75,363700.0
2019-11-27,4.8,4.85,4.85,4.75,354400.0
2019-11-26,4.85,4.7,4.85,4.7,2320000.0
2019-11-25,4.75,4.7,4.75,4.68,310100.0
2019-11-22,4.7,4.7,4.72,4.69,608900.0
2019-11-21,4.72,4.7,4.72,4.68,895900.0
2019-11-20,4.7,4.72,4.76,4.67,895400.0
2019-11-19,4.75,4.76,4.76,4.7,656000.0
2019-11-18,4.76,4.77,4.77,4.72,401000.0
2019-11-15,4.77,4.76,4.77,4.71,463600.0
2019-11-14,4.76,4.7,4.76,4.64,619900.0
2019-11-13,4.7,4.8,4.8,4.66,455900.0
2019-11-12,4.79,4.8,4.8,4.74,578700.0
2019-11-11,4.79,4.76,4.79,4.72,624700.0
2019-11-08,4.77,4.75,4.77,4.71,648800.0
2019-11-07,4.78,4.77,4.78,4.69,624700.0
