Date,Price,Open,High,Low,Vol.
2020-03-13,15.42,15.8,15.86,15.3,5170000.0
2020-03-12,16.2,16.8,16.8,16.2,7600000.0
2020-03-11,16.8,17.08,17.08,16.8,7560000.0
2020-03-10,17.3,17.0,17.46,16.94,7890000.0
2020-03-09,17.02,17.48,17.48,17.0,6880000.0
2020-03-06,17.66,17.9,17.9,17.5,5550000.0
2020-03-05,18.0,17.9,18.04,17.82,5830000.0
2020-03-04,17.9,17.76,17.96,17.6,6470000.0
2020-03-03,17.76,17.3,17.96,17.08,6760000.0
2020-03-02,17.08,16.8,17.5,16.22,10350000.0
2020-02-28,17.1,17.2,17.38,17.0,12810000.0
2020-02-27,17.3,17.28,17.84,17.22,11270000.0
2020-02-26,17.2,17.5,17.6,17.2,9150000.0
2020-02-25,17.52,17.38,17.8,17.36,4410000.0
2020-02-24,17.4,17.84,17.94,17.34,11250000.0
2020-02-21,18.14,18.08,18.28,17.9,4420000.0
2020-02-20,18.12,18.0,18.18,17.98,3830000.0
2020-02-19,17.94,17.68,18.0,17.68,2370000.0
2020-02-18,17.7,17.64,17.8,17.62,3790000.0
2020-02-17,17.62,17.62,17.72,17.58,2089999.9999999998
2020-02-14,17.62,17.8,17.8,17.5,3710000.0
2020-02-13,17.8,17.82,18.0,17.64,3580000.0
2020-02-12,17.78,18.2,18.3,17.76,7280000.0
2020-02-11,18.3,18.28,18.42,18.2,5360000.0
2020-02-10,18.28,18.34,18.38,18.14,3080000.0
2020-02-07,18.34,18.38,18.4,18.24,6170000.0
2020-02-06,18.4,18.1,18.5,18.1,5150000.0
2020-02-05,18.0,18.28,18.3,17.8,4750000.0
2020-02-04,18.2,18.68,18.88,18.2,5440000.0
2020-02-03,18.56,18.6,18.72,18.5,3600000.0
2020-01-31,18.6,18.84,19.08,18.56,6610000.0
2020-01-30,18.9,19.0,19.0,18.8,2970000.0
2020-01-29,19.0,18.96,19.04,18.96,3180000.0
2020-01-28,18.96,19.0,19.02,18.5,2320000.0
2020-01-24,19.18,19.12,19.32,19.08,2110000.0
2020-01-23,19.14,19.0,19.18,18.98,1580000.0
2020-01-22,19.02,19.24,19.6,18.92,4350000.0
2020-01-21,19.48,19.48,19.5,19.4,1130000.0
2020-01-20,19.48,19.56,19.62,19.42,1260000.0
2020-01-17,19.6,19.56,19.7,19.52,2800000.0
2020-01-16,19.56,19.58,19.7,19.3,2080000.0
2020-01-15,19.56,19.2,19.64,19.16,3030000.0
2020-01-14,19.14,19.36,19.42,19.06,3140000.0
2020-01-13,19.22,19.58,19.72,19.18,3210000.0
2020-01-10,19.54,19.64,19.66,19.52,1660000.0
2020-01-09,19.56,19.74,19.86,19.5,3240000.0
2020-01-08,19.6,20.0,20.04,19.58,2550000.0
2020-01-07,20.12,19.8,20.14,19.8,2610000.0
2020-01-06,19.9,19.9,19.92,19.7,1830000.0
2020-01-03,19.96,19.8,19.98,19.8,3100000.0
2020-01-02,19.9,19.48,19.9,19.46,1630000.0
2019-12-31,19.44,19.8,19.9,19.4,3430000.0
2019-12-30,19.98,19.88,20.0,19.78,2180000.0
2019-12-27,19.88,19.68,19.94,19.66,1330000.0
2019-12-26,19.68,19.82,19.86,19.64,599400.0
2019-12-24,19.82,20.0,20.02,19.72,1410000.0
2019-12-23,20.04,19.84,20.14,19.7,3170000.0
2019-12-20,19.82,19.8,19.82,19.58,6130000.0
2019-12-19,19.62,19.36,19.8,19.36,3540000.0
2019-12-18,19.56,19.0,19.56,18.92,4179999.9999999995
2019-12-17,19.0,18.88,19.08,18.84,3650000.0
2019-12-16,18.84,18.92,18.96,18.8,4820000.0
2019-12-13,18.92,19.08,19.08,18.92,3550000.0
2019-12-12,18.96,19.02,19.14,18.88,3850000.0
2019-12-11,19.0,18.94,19.1,18.94,2830000.0
2019-12-10,18.96,18.96,19.02,18.92,4150000.0000000005
2019-12-09,19.02,19.16,19.2,18.9,4610000.0
2019-12-06,19.16,19.3,19.38,19.08,2780000.0
2019-12-05,19.34,19.4,19.52,19.32,2860000.0
2019-12-04,19.3,19.44,19.5,19.2,5740000.0
2019-12-03,19.46,19.56,19.56,19.3,4290000.0
2019-12-02,19.56,19.66,19.74,19.5,2570000.0
2019-11-29,19.62,19.64,19.82,19.62,4890000.0
2019-11-28,19.74,19.7,19.84,19.64,3000000.0
