Date,Price,Open,High,Low,Vol.
2020-03-13,7.6,7.97,7.97,7.5,1920000.0
2020-03-12,8.06,7.97,8.16,7.97,1350000.0
2020-03-11,8.09,7.99,8.1,7.99,1170000.0
2020-03-10,7.99,7.96,8.13,7.9,1190000.0
2020-03-09,7.99,8.0,8.04,7.95,1060000.0
2020-03-06,8.11,8.1,8.15,8.05,854800.0
2020-03-05,8.2,8.18,8.24,8.18,1090000.0
2020-03-04,8.18,8.14,8.2,8.05,1020000.0
2020-03-03,8.08,8.18,8.4,8.07,836800.0
2020-03-02,8.2,8.15,8.25,8.06,845800.0
2020-02-28,8.16,8.22,8.3,8.0,1970000.0
2020-02-27,8.3,8.2,8.36,8.2,1150000.0
2020-02-26,8.2,8.49,8.49,8.2,1430000.0
2020-02-25,8.35,8.21,8.49,8.21,1250000.0
2020-02-24,8.4,8.49,8.5,8.39,590600.0
2020-02-21,8.53,8.39,8.57,8.39,668500.0
2020-02-20,8.46,8.59,8.59,8.46,432400.0
2020-02-19,8.54,8.5,8.65,8.42,1110000.0
2020-02-18,8.5,8.61,8.65,8.49,265000.0
2020-02-17,8.61,8.5,8.65,8.5,1540000.0
2020-02-14,8.45,8.4,8.46,8.4,983900.0
2020-02-13,8.4,8.28,8.4,8.28,1850000.0
2020-02-12,8.28,8.1,8.34,8.1,1250000.0
2020-02-11,8.15,8.1,8.15,8.08,467900.0
2020-02-10,8.12,8.16,8.23,8.09,601400.0
2020-02-07,8.1,8.1,8.19,8.09,365800.0
2020-02-06,8.1,8.1,8.23,8.09,259000.0
2020-02-05,8.06,8.18,8.18,8.06,376300.0
2020-02-04,8.1,8.2,8.27,8.1,482200.0
2020-02-03,8.2,8.28,8.28,8.11,739300.0
2020-01-31,8.3,8.08,8.3,8.08,1150000.0
2020-01-30,8.1,8.11,8.15,8.07,144300.0
2020-01-29,8.07,8.11,8.2,8.02,346500.0
2020-01-28,8.1,8.17,8.17,8.08,636700.0
2020-01-24,8.17,8.15,8.2,8.13,45500.0
2020-01-23,8.17,8.08,8.23,8.08,156700.0
2020-01-22,8.25,8.14,8.28,8.08,516400.0
2020-01-21,8.08,8.08,8.11,8.06,404300.0
2020-01-20,8.08,8.17,8.17,8.07,247700.0
2020-01-17,8.15,8.08,8.15,8.03,1070000.0
2020-01-16,8.08,8.12,8.12,8.03,371600.0
2020-01-15,8.13,8.05,8.14,8.05,384900.0
2020-01-14,8.15,8.16,8.16,8.0,880200.0
2020-01-13,8.14,8.16,8.18,8.08,496200.0
2020-01-10,8.15,8.1,8.16,8.1,434000.0
2020-01-09,8.09,8.05,8.12,8.05,438100.0
2020-01-08,8.07,8.13,8.13,8.0,393300.0
2020-01-07,8.1,8.04,8.1,8.04,231300.0
2020-01-06,8.06,8.1,8.1,8.05,1770000.0
2020-01-03,8.1,8.11,8.12,8.05,677000.0
2020-01-02,8.02,8.14,8.14,8.0,175300.0
2019-12-31,8.13,7.95,8.13,7.95,807300.0
2019-12-30,7.98,7.95,8.13,7.94,617700.0
2019-12-27,7.93,7.92,8.0,7.92,274100.0
2019-12-26,7.97,8.0,8.04,7.91,338500.0
2019-12-24,8.02,8.15,8.15,8.02,158800.0
2019-12-23,8.15,8.32,8.32,8.08,1030000.0
2019-12-20,8.35,7.98,8.35,7.91,5420000.0
2019-12-19,8.04,8.06,8.06,7.93,1180000.0
2019-12-18,8.06,7.96,8.06,7.75,1930000.0
2019-12-17,7.96,7.66,7.96,7.66,713000.0
2019-12-16,7.78,7.6,7.79,7.6,604100.0
2019-12-13,7.55,7.88,7.91,7.55,808300.0
2019-12-12,7.88,7.67,7.88,7.63,780400.0
2019-12-11,7.6,7.6,7.9,7.56,656900.0
2019-12-10,7.6,7.47,7.6,7.47,361400.0
2019-12-09,7.47,7.47,7.5,7.45,100700.0
