Date,Price,Open,High,Low,Vol.
2020-03-13,0.84,0.86,0.86,0.84,31500.0
2020-03-12,0.885,0.885,0.885,0.885,300.0
2020-03-11,0.88,0.86,0.885,0.86,38400.0
2020-03-10,0.86,0.875,0.875,0.86,14000.0
2020-03-09,0.9,0.895,0.9,0.89,47900.0
2020-03-06,0.9,0.9,0.9,0.9,107800.0
2020-03-05,0.9,0.9,0.9,0.9,44600.0
2020-02-28,0.9,0.905,0.905,0.895,100000.0
2020-02-26,0.9,0.9,0.9,0.9,27200.0
2020-02-24,0.9,0.91,0.91,0.9,84000.0
2020-02-18,0.91,0.91,0.91,0.91,4000.0
2020-02-11,0.92,0.92,0.92,0.92,1000.0
2020-02-10,0.92,0.9,0.92,0.9,25300.0
2020-02-07,0.9,0.9,0.9,0.9,5500.0
2020-02-05,0.9,0.9,0.9,0.9,31000.0
2020-02-04,0.9,0.895,0.9,0.895,9800.0
2020-02-03,0.895,0.895,0.895,0.895,15000.0
2020-01-31,0.9,0.9,0.9,0.9,3100.0
2020-01-21,0.905,0.905,0.905,0.905,30000.0
2020-01-08,0.89,0.89,0.89,0.89,2440000.0
2020-01-07,0.89,0.89,0.89,0.89,96000.0
2020-01-03,0.885,0.9,0.9,0.885,136300.0
2020-01-02,0.9,0.9,0.9,0.9,240400.0
2019-12-31,0.895,0.895,0.895,0.89,175000.0
2019-12-30,0.89,0.905,0.905,0.89,119000.0
2019-12-27,0.9,0.9,0.9,0.9,154600.0
2019-12-26,0.91,0.92,0.92,0.91,84900.0
2019-12-24,0.91,0.91,0.91,0.91,200.0
2019-12-10,0.915,0.94,0.94,0.915,30100.0
2019-12-06,0.91,0.91,0.91,0.91,1000.0
2019-12-04,0.91,0.91,0.91,0.91,4400.0
2019-12-02,0.91,0.91,0.91,0.91,9100.0
2019-11-27,0.91,0.91,0.91,0.91,500.0
2019-11-19,0.92,0.92,0.92,0.92,5000.0
2019-11-12,0.91,0.93,0.93,0.91,20300.0
2019-11-08,0.93,0.925,0.93,0.925,16000.0
2019-11-06,0.915,0.905,0.915,0.905,16000.0
2019-11-01,0.9,0.9,0.9,0.9,111600.0
2019-10-30,0.905,0.905,0.905,0.905,4900.0
2019-10-25,0.9,0.9,0.9,0.89,32800.0
2019-10-23,0.91,0.9,0.91,0.9,23000.0
2019-10-21,0.905,0.895,0.905,0.89,38000.0
2019-10-03,0.885,0.885,0.885,0.885,20000.0
2019-10-02,0.935,0.95,0.95,0.935,400.0
2019-10-01,0.88,0.88,0.88,0.88,10000.0
2019-09-27,0.86,0.86,0.86,0.86,100.0
2019-09-26,0.855,0.86,0.86,0.855,270100.0
2019-09-25,0.855,0.865,0.865,0.855,128000.0
2019-09-24,0.87,0.875,0.88,0.87,26500.0
2019-09-18,0.88,0.87,0.88,0.865,51400.0
2019-09-05,0.875,0.875,0.875,0.875,600.0
2019-09-04,0.875,0.875,0.91,0.875,3900.0
2019-08-28,0.94,0.93,0.94,0.93,11000.0
2019-08-22,0.905,0.905,0.905,0.905,400.0
2019-08-15,0.905,0.905,0.905,0.905,20000.0
2019-08-08,0.94,0.93,0.94,0.905,61900.0
2019-08-07,0.93,0.9,0.93,0.9,10100.0
2019-08-06,0.905,0.91,0.91,0.905,30200.0
2019-08-05,0.91,0.91,0.91,0.91,19800.0
2019-07-29,0.9,0.9,0.9,0.9,1200.0
2019-07-22,0.9,0.9,0.9,0.9,40000.0
2019-07-15,0.93,0.93,0.93,0.93,15400.0
2019-07-11,0.93,0.9,0.93,0.885,2400.0
2019-07-10,0.9,0.9,0.9,0.9,3700.0
2019-07-08,0.9,0.9,0.9,0.9,4200.0
2019-07-01,0.9,0.9,0.9,0.9,4900.0
2019-06-25,0.9,0.9,0.9,0.9,24600.0
2019-06-21,0.9,0.9,0.9,0.9,5000.0
2019-06-20,0.89,0.89,0.89,0.89,900.0
2019-06-19,0.89,0.89,0.89,0.89,7300.0
2019-06-18,0.89,0.89,0.89,0.89,1900.0
2019-06-17,0.89,0.88,0.89,0.88,900.0
2019-06-14,0.885,0.88,0.885,0.88,600.0
2019-06-13,0.89,0.88,0.89,0.88,4300.0
2019-05-30,0.87,0.87,0.87,0.87,500.0
2019-05-24,0.9,0.88,0.9,0.88,55000.0
2019-05-10,0.9,0.89,0.9,0.89,46400.0
2019-04-29,0.87,0.87,0.87,0.87,1600.0
2019-04-25,0.9,0.9,0.9,0.9,2000.0
2019-04-23,0.9,0.9,0.9,0.9,30000.0
2019-04-17,0.9,0.9,0.9,0.9,427600.0
2019-04-12,0.9,0.875,0.9,0.875,37100.0
2019-04-11,0.9,0.9,0.9,0.89,145000.0
2019-04-02,0.9,0.9,0.9,0.9,45000.0
2019-04-01,0.9,0.9,0.9,0.9,10000.0
2019-03-29,0.9,0.9,0.9,0.9,16000.0
2019-03-28,0.9,0.9,0.9,0.9,3000.0
2019-03-25,0.9,0.9,0.9,0.9,80000.0
2019-03-22,0.865,0.865,0.865,0.865,2000.0
2019-03-19,0.88,0.88,0.88,0.88,1800.0
2019-03-15,0.9,0.9,0.9,0.9,131100.0
2019-03-13,0.9,0.875,0.905,0.875,164400.0
2019-03-12,0.91,0.9,0.91,0.895,139100.0
2019-03-11,0.9,0.9,0.9,0.9,202000.0
2019-03-08,0.9,0.9,0.91,0.9,91000.0
2019-03-05,0.91,0.91,0.91,0.91,52900.0
2019-03-04,0.9,0.94,0.94,0.9,9500.0
2019-02-21,0.9,0.89,0.9,0.89,80000.0
2019-02-19,0.88,0.88,0.88,0.88,40000.0
2019-02-18,0.88,0.88,0.89,0.88,150000.0
2019-02-15,0.88,0.88,0.88,0.88,100000.0
2019-02-12,0.88,0.89,0.89,0.88,9000.0
2019-02-08,0.875,0.875,0.875,0.875,6200.0
2019-01-29,0.875,0.875,0.875,0.875,900.0
2019-01-25,0.87,0.87,0.87,0.87,100.0
2019-01-24,0.93,0.87,0.93,0.87,950000.0
2019-01-22,0.86,0.86,0.86,0.855,49900.0
2019-01-17,0.855,0.86,0.86,0.855,16800.0
2019-01-14,0.88,0.88,0.88,0.88,5000.0
2019-01-11,0.88,0.86,0.885,0.86,85000.0
2019-01-10,0.86,0.87,0.87,0.86,239600.0
2019-01-02,0.8,0.88,0.88,0.8,3200.0
2018-12-31,0.87,0.87,0.87,0.87,3600.0
2018-12-24,0.875,0.875,0.875,0.875,5000.0
2018-12-21,0.875,0.875,0.875,0.875,3800.0
2018-12-19,0.89,0.89,0.89,0.89,20500.0
2018-12-18,0.89,0.89,0.89,0.89,25000.0
2018-12-13,0.88,0.875,0.88,0.875,35500.0
2018-12-12,0.87,0.95,0.95,0.86,35000.0
2018-12-11,0.9,0.9,0.9,0.9,4000.0
2018-12-07,0.88,0.88,0.88,0.88,100.0
2018-11-29,0.9,0.93,0.93,0.9,21700.0
2018-11-28,0.91,0.91,0.91,0.91,2700.0
2018-11-09,0.98,0.93,0.98,0.91,8600.0
2018-10-31,0.99,0.96,0.99,0.96,20000.0
2018-10-25,0.91,0.915,0.915,0.91,12200.0
2018-10-23,0.91,0.91,0.91,0.91,12000.0
2018-10-16,0.915,0.915,0.915,0.915,800.0
2018-10-15,0.985,0.985,0.985,0.985,15000.0
2018-10-12,0.99,0.99,0.99,0.965,365000.0
2018-10-10,0.965,0.965,0.965,0.965,100000.0
2018-10-02,1.0,0.99,1.0,0.99,233800.0
2018-10-01,0.995,0.995,0.995,0.995,200000.0
2018-09-28,0.995,0.995,0.995,0.99,119900.0
2018-09-27,1.0,0.995,1.0,0.995,312100.0
2018-09-26,0.995,0.995,1.0,0.995,300000.0
2018-09-25,1.0,0.995,1.0,0.995,380700.0
2018-09-24,0.995,0.96,0.995,0.96,303000.0
2018-09-19,0.99,0.99,0.99,0.985,160000.0
2018-09-18,0.99,0.99,0.99,0.99,280000.0
2018-09-14,0.99,0.995,1.0,0.99,202300.0
2018-09-12,0.97,0.97,0.97,0.97,42000.0
2018-09-07,0.97,0.97,0.97,0.97,8000.0
2018-09-06,0.98,0.975,0.99,0.975,100000.0
2018-09-05,0.98,0.995,1.0,0.98,147000.0
2018-09-04,0.99,1.0,1.0,0.99,29000.0
2018-09-03,1.0,1.03,1.03,0.995,97000.0
2018-08-30,0.995,0.995,0.995,0.995,1400.0
2018-08-29,1.03,1.03,1.03,1.03,1400.0
2018-08-28,1.04,1.03,1.04,1.03,2500.0
2018-08-24,1.0,1.0,1.0,1.0,11200.0
2018-08-23,1.0,1.0,1.0,1.0,28200.0
2018-08-21,1.01,1.01,1.01,1.01,90000.0
2018-08-20,1.0,1.0,1.0,1.0,62300.0
2018-08-17,0.99,1.0,1.0,0.99,100000.0
2018-08-16,1.0,1.0,1.0,1.0,49000.0
2018-08-15,1.0,1.0,1.0,1.0,147700.0
2018-08-14,1.0,1.0,1.0,1.0,16700.0
