Date,Price,Open,High,Low,Vol.
2020-03-13,2.51,2.7,2.7,2.51,98800.0
2020-03-12,2.85,2.9,2.9,2.8,47600.0
2020-03-11,2.97,2.88,3.0,2.88,57400.0
2020-03-10,2.89,2.69,2.9,2.69,66900.0
2020-03-09,2.75,2.94,2.94,2.72,71400.0
2020-03-06,3.23,3.28,3.28,3.1,28300.0
2020-03-05,3.34,3.25,3.34,3.25,75400.0
2020-03-04,3.2,3.21,3.21,3.2,19600.0
2020-03-03,3.26,3.1,3.3,3.03,188800.0
2020-03-02,3.2,3.24,3.26,3.2,11000.0
2020-02-28,3.26,3.26,3.32,3.2,328200.0
2020-02-27,3.35,3.35,3.37,3.33,64200.0
2020-02-26,3.35,3.25,3.38,3.25,51700.0
2020-02-25,3.33,3.31,3.35,3.25,84600.0
2020-02-24,3.33,3.36,3.37,3.3,93500.0
2020-02-21,3.4,3.51,3.51,3.39,44900.0
2020-02-20,3.51,3.5,3.51,3.5,8700.0
2020-02-19,3.51,3.51,3.51,3.5,111500.0
2020-02-18,3.5,3.5,3.5,3.5,4000.0
2020-02-17,3.55,3.55,3.6,3.52,9100.0
2020-02-14,3.52,3.5,3.53,3.48,15800.0
2020-02-13,3.53,3.6,3.6,3.53,20800.0
2020-02-12,3.63,3.69,3.69,3.6,64300.0
2020-02-11,3.7,3.66,3.7,3.65,56000.0
2020-02-10,3.65,3.6,3.66,3.6,22600.0
2020-02-07,3.8,3.82,3.82,3.72,611100.0
2020-02-06,3.8,3.69,3.8,3.68,430000.0
2020-02-05,3.64,3.45,3.65,3.45,126500.0
2020-02-04,3.41,3.25,3.41,3.25,84500.0
2020-02-03,3.21,3.28,3.31,3.1,153800.0
2020-01-31,3.43,3.5,3.5,3.41,163700.0
2020-01-30,3.5,3.5,3.52,3.5,110400.0
2020-01-29,3.57,3.4,3.57,3.39,69100.0
2020-01-28,3.43,3.5,3.51,3.33,155900.0
2020-01-24,3.64,3.63,3.64,3.61,57800.0
2020-01-23,3.64,3.6,3.65,3.6,35000.0
2020-01-22,3.63,3.63,3.66,3.63,156200.0
2020-01-21,3.66,3.68,3.72,3.6,207500.0
2020-01-20,3.68,3.66,3.73,3.65,126700.0
2020-01-17,3.7,3.7,3.71,3.63,130100.0
2020-01-16,3.73,3.85,3.86,3.6,470500.0
