Date,Price,Open,High,Low,Vol.
2020-03-13,8.32,8.48,8.48,8.17,540600.0
2020-03-12,8.77,8.8,8.86,8.72,879100.0
2020-03-11,8.92,8.59,8.98,8.59,389300.0
2020-03-10,8.51,8.5,8.58,8.21,312000.0
2020-03-09,8.6,8.9,8.9,8.44,809300.0
2020-03-06,8.99,9.0,9.1,8.9,90600.0
2020-03-05,9.15,8.98,9.15,8.86,292400.0
2020-03-04,8.99,8.89,8.99,8.79,104600.0
2020-03-03,8.9,8.8,8.96,8.7,148400.0
2020-03-02,8.73,8.61,8.79,8.5,741700.0
2020-02-28,9.0,9.03,9.03,8.84,291000.0
2020-02-27,9.04,9.06,9.12,9.04,159100.0
2020-02-26,9.09,9.17,9.18,9.05,94900.0
2020-02-25,9.18,9.05,9.18,9.05,173700.0
2020-02-24,9.11,9.2,9.23,9.1,184400.0
2020-02-21,9.3,9.44,9.44,9.3,132800.0
2020-02-20,9.44,9.33,9.46,9.33,65099.99999999999
2020-02-19,9.36,9.49,9.49,9.34,170000.0
2020-02-18,9.49,9.41,9.49,9.4,287900.0
2020-02-17,9.5,9.5,9.52,9.43,119700.0
2020-02-14,9.5,9.2,9.55,9.16,410700.0
2020-02-13,9.25,9.38,9.38,9.13,406100.0
2020-02-12,9.34,9.05,9.38,9.0,201500.0
2020-02-11,9.05,9.0,9.1,8.96,233600.0
2020-02-10,9.08,9.1,9.19,9.01,87000.0
2020-02-07,9.08,9.1,9.1,9.08,207800.0
2020-02-06,9.1,9.15,9.18,9.05,1110000.0
2020-02-05,9.15,9.05,9.16,9.0,207000.0
2020-02-04,9.05,8.95,9.1,8.88,336800.0
2020-02-03,9.0,9.01,9.05,8.93,717000.0
2020-01-31,9.05,9.18,9.19,9.03,215100.0
2020-01-30,9.17,9.14,9.21,9.1,308500.0
2020-01-29,9.18,9.2,9.2,9.13,125000.0
2020-01-28,9.18,9.19,9.19,9.14,170100.0
2020-01-24,9.21,9.22,9.24,9.2,53200.0
2020-01-23,9.21,9.25,9.25,9.2,47000.0
2020-01-22,9.23,9.22,9.26,9.18,166500.0
2020-01-21,9.18,9.15,9.25,9.15,426700.0
2020-01-20,9.15,9.36,9.36,9.14,434500.0
2020-01-17,9.36,9.36,9.39,9.24,323300.0
2020-01-16,9.38,9.4,9.42,9.36,74700.0
2020-01-15,9.4,9.4,9.43,9.39,146600.0
2020-01-14,9.39,9.42,9.45,9.38,245400.0
2020-01-13,9.44,9.45,9.45,9.4,70500.0
2020-01-10,9.46,9.45,9.48,9.43,147700.0
2020-01-09,9.41,9.44,9.5,9.4,214800.0
2020-01-08,9.44,9.6,9.6,9.35,312500.0
2020-01-07,9.6,9.64,9.64,9.51,120300.0
2020-01-06,9.63,9.61,9.69,9.55,166400.0
2020-01-03,9.65,9.51,9.68,9.5,359600.0
2020-01-02,9.5,9.45,9.52,9.45,260800.0
2019-12-31,9.45,9.5,9.52,9.45,333400.0
2019-12-30,9.51,9.5,9.57,9.41,338000.0
2019-12-27,9.49,9.3,9.55,9.25,224800.0
2019-12-26,9.3,9.39,9.39,9.22,125300.0
2019-12-24,9.41,9.44,9.5,9.4,222000.0
2019-12-23,9.44,9.42,9.47,9.39,480400.0
2019-12-20,9.4,9.4,9.48,9.35,394500.0
2019-12-19,9.41,9.53,9.58,9.27,764600.0
2019-12-18,9.55,9.61,9.65,9.53,248300.0
2019-12-17,9.53,9.82,9.85,9.43,890500.0
2019-12-16,9.8,9.84,9.85,9.68,255900.0
2019-12-13,9.84,9.8,9.87,9.76,281600.0
2019-12-12,9.75,9.48,9.79,9.48,526000.0
2019-12-11,9.51,9.52,9.55,9.45,148400.0
2019-12-10,9.5,9.41,9.55,9.41,320800.0
2019-12-09,9.4,9.39,9.55,9.39,308600.0
2019-12-06,9.39,9.28,9.39,9.28,612800.0
2019-12-05,9.28,9.3,9.35,9.25,181500.0
2019-12-04,9.32,9.32,9.38,9.31,124100.0
2019-12-03,9.32,9.34,9.37,9.27,478300.0
2019-12-02,9.34,9.34,9.39,9.25,306500.0
2019-11-29,9.31,9.34,9.39,9.27,117000.0
2019-11-28,9.35,9.42,9.42,9.3,160600.0
2019-11-27,9.42,9.51,9.51,9.35,180800.0
2019-11-26,9.5,9.39,9.5,9.37,1080000.0
2019-11-25,9.34,9.49,9.51,9.29,183100.0
2019-11-22,9.44,9.4,9.65,9.38,795200.0
