Date,Price,Open,High,Low,Vol.
2019-05-06,6.27,6.27,6.28,6.27,157400.0
2019-05-03,6.27,6.27,6.27,6.27,64200.0
2019-05-02,6.27,6.28,6.28,6.27,41000.0
2019-04-30,6.27,6.28,6.28,6.27,29200.0
2019-04-29,6.27,6.27,6.28,6.27,75600.0
2019-04-26,6.28,6.27,6.28,6.27,301200.0
2019-04-25,6.27,6.26,6.27,6.26,31200.0
2019-04-24,6.26,6.26,6.27,6.26,129000.0
2019-04-23,6.26,6.26,6.27,6.26,30500.0
2019-04-22,6.26,6.26,6.26,6.26,866400.0
2019-04-19,6.26,6.26,6.27,6.26,27200.0
2019-04-18,6.27,6.25,6.27,6.25,61800.0
2019-04-17,6.25,6.25,6.26,6.25,34700.0
2019-04-16,6.25,6.25,6.26,6.25,17200.0
2019-04-15,6.25,6.25,6.26,6.25,35300.0
2019-04-12,6.25,6.25,6.26,6.25,3500.0
2019-04-11,6.26,6.26,6.26,6.25,86400.0
2019-04-10,6.27,6.25,6.27,6.25,168600.0
2019-04-09,6.25,6.26,6.26,6.25,134500.0
2019-04-08,6.26,6.27,6.27,6.26,117100.0
2019-04-05,6.26,6.26,6.27,6.26,28300.0
2019-04-04,6.27,6.26,6.27,6.26,50900.0
2019-04-03,6.25,6.25,6.26,6.25,8900.0
2019-04-02,6.26,6.25,6.26,6.25,79400.0
2019-04-01,6.25,6.25,6.27,6.25,30300.0
2019-03-29,6.25,6.25,6.26,6.25,125000.0
2019-03-28,6.25,6.24,6.25,6.24,50500.0
2019-03-27,6.24,6.24,6.25,6.24,155800.0
2019-03-26,6.23,6.23,6.23,6.23,123100.0
2019-03-25,6.23,6.24,6.24,6.23,184100.0
2019-03-22,6.23,6.23,6.24,6.23,42600.0
2019-03-21,6.23,6.23,6.24,6.23,78700.0
2019-03-20,6.23,6.23,6.24,6.23,66600.0
2019-03-19,6.23,6.23,6.23,6.23,134400.0
2019-03-18,6.23,6.22,6.24,6.22,429000.0
2019-03-15,6.22,6.22,6.23,6.22,14000.0
2019-03-14,6.22,6.22,6.23,6.22,27400.0
2019-03-13,6.22,6.22,6.22,6.22,43600.0
2019-03-12,6.22,6.22,6.22,6.22,105900.0
2019-03-11,6.22,6.22,6.22,6.22,125500.0
2019-03-08,6.23,6.23,6.23,6.22,18000.0
2019-03-07,6.23,6.22,6.23,6.22,53600.0
2019-03-06,6.23,6.23,6.23,6.23,70800.0
2019-03-05,6.23,6.24,6.24,6.23,115600.0
2019-03-04,6.23,6.23,6.24,6.23,335600.0
2019-03-01,6.23,6.23,6.23,6.23,24400.0
2019-02-28,6.23,6.23,6.23,6.23,166500.0
2019-02-27,6.23,6.23,6.23,6.23,34000.0
2019-02-26,6.23,6.22,6.23,6.22,70900.0
2019-02-25,6.22,6.22,6.23,6.22,48100.0
2019-02-22,6.22,6.22,6.23,6.22,173500.0
2019-02-21,6.22,6.22,6.22,6.22,175900.0
2019-02-20,6.22,6.21,6.22,6.21,54200.0
2019-02-19,6.21,6.21,6.22,6.21,42400.0
2019-02-18,6.21,6.21,6.21,6.2,166700.0
2019-02-15,6.2,6.2,6.21,6.2,80500.0
2019-02-14,6.2,6.15,6.21,6.15,141500.0
2019-02-13,6.16,6.16,6.16,6.16,44500.0
2019-02-12,6.15,6.15,6.15,6.14,49900.0
2019-02-11,6.15,6.14,6.17,6.13,198200.0
2019-02-08,6.14,6.13,6.14,6.13,7500.0
2019-02-07,6.13,6.12,6.13,6.12,53300.0
2019-02-04,6.12,6.12,6.12,6.12,8900.0
2019-01-31,6.12,6.12,6.12,6.12,113000.0
2019-01-30,6.12,6.12,6.13,6.12,70800.0
2019-01-29,6.12,6.12,6.12,6.12,73500.0
2019-01-28,6.12,6.11,6.12,6.11,92200.0
2019-01-25,6.12,6.11,6.12,6.11,67600.0
2019-01-24,6.11,6.12,6.12,6.11,64099.99999999999
2019-01-23,6.13,6.11,6.13,6.1,70100.0
2019-01-22,6.1,6.1,6.11,6.09,190200.0
2019-01-18,6.09,6.08,6.09,6.08,112700.0
2019-01-17,6.08,6.09,6.09,6.08,57500.0
2019-01-16,6.09,6.07,6.09,6.06,325300.0
2019-01-15,6.07,5.76,6.07,5.75,406600.0
2019-01-14,5.75,5.75,5.75,5.75,24000.0
2019-01-11,5.77,5.75,5.77,5.74,19700.0
2019-01-10,5.75,5.74,5.75,5.74,7000.0
2019-01-09,5.75,5.77,5.77,5.74,14500.0
2019-01-08,5.74,5.74,5.74,5.74,44000.0
2019-01-07,5.78,5.73,5.78,5.73,64099.99999999999
2019-01-04,5.72,5.72,5.73,5.71,60000.0
2019-01-03,5.74,5.73,5.74,5.7,20200.0
