Date,Price,Open,High,Low,Vol.
2020-03-13,1.62,1.69,1.69,1.59,14670000.0
2020-03-12,1.83,1.92,1.92,1.8,14530000.0
2020-03-11,1.93,1.92,2.02,1.91,16760000.000000002
2020-03-10,1.85,1.8,1.93,1.76,22470000.0
2020-03-09,1.85,2.11,2.11,1.73,37440000.0
2020-03-06,2.27,2.27,2.28,2.22,5570000.0
2020-03-05,2.25,2.23,2.29,2.23,11030000.0
2020-03-04,2.2,2.22,2.24,2.19,7540000.0
2020-03-03,2.22,2.22,2.25,2.21,10110000.0
2020-03-02,2.17,2.19,2.27,2.13,6320000.0
2020-02-28,2.2,2.29,2.29,2.17,9280000.0
2020-02-27,2.32,2.4,2.44,2.3,9850000.0
2020-02-26,2.34,2.33,2.34,2.32,7550000.0
2020-02-25,2.35,2.31,2.35,2.31,6030000.0
2020-02-24,2.36,2.32,2.39,2.3,7960000.0
2020-02-21,2.43,2.43,2.44,2.41,2550000.0
2020-02-20,2.43,2.45,2.45,2.41,3690000.0
2020-02-19,2.43,2.4,2.46,2.4,4980000.0
2020-02-18,2.4,2.4,2.41,2.37,3420000.0
2020-02-17,2.4,2.43,2.44,2.4,2330000.0
2020-02-14,2.43,2.45,2.48,2.42,5670000.0
2020-02-13,2.43,2.38,2.45,2.38,7490000.0
2020-02-12,2.36,2.33,2.38,2.32,7240000.0
2020-02-11,2.32,2.32,2.34,2.3,6410000.0
2020-02-10,2.3,2.32,2.32,2.28,3290000.0
2020-02-07,2.32,2.34,2.35,2.31,6220000.0
2020-02-06,2.32,2.32,2.35,2.3,5920000.0
2020-02-05,2.31,2.27,2.32,2.25,15230000.0
2020-02-04,2.22,2.19,2.28,2.18,13370000.0
2020-02-03,2.18,2.2,2.21,2.15,11790000.0
2020-01-31,2.25,2.25,2.29,2.23,12980000.0
2020-01-30,2.27,2.28,2.3,2.25,8350000.0
2020-01-29,2.28,2.29,2.3,2.26,5910000.0
2020-01-28,2.26,2.27,2.27,2.23,6480000.0
2020-01-24,2.32,2.33,2.33,2.3,2560000.0
2020-01-23,2.33,2.29,2.33,2.29,3720000.0
2020-01-22,2.29,2.29,2.33,2.28,3480000.0
2020-01-21,2.29,2.37,2.38,2.29,7600000.0
2020-01-20,2.35,2.31,2.36,2.29,10150000.0
2020-01-17,2.29,2.28,2.33,2.28,5820000.0
2020-01-16,2.28,2.3,2.3,2.27,4360000.0
2020-01-15,2.3,2.28,2.3,2.27,3800000.0
2020-01-14,2.27,2.3,2.32,2.25,7800000.0
2020-01-13,2.29,2.29,2.36,2.28,7980000.0
2020-01-10,2.28,2.28,2.32,2.27,6820000.0
2020-01-09,2.27,2.32,2.36,2.27,8480000.0
2020-01-08,2.28,2.37,2.37,2.25,16230000.0
2020-01-07,2.39,2.4,2.43,2.37,7780000.0
2020-01-06,2.4,2.48,2.52,2.37,11610000.0
2020-01-03,2.42,2.35,2.44,2.31,14940000.0
2020-01-02,2.33,2.21,2.35,2.21,11040000.0
2019-12-31,2.2,2.18,2.2,2.17,3260000.0
2019-12-30,2.18,2.13,2.25,2.1,8410000.0
2019-12-27,2.11,2.07,2.13,2.07,7530000.0
2019-12-26,2.05,2.05,2.08,2.03,6450000.0
2019-12-24,2.04,2.04,2.08,2.02,8990000.0
2019-12-23,2.02,2.03,2.07,2.01,2870000.0
2019-12-20,2.03,2.02,2.04,2.01,2180000.0
2019-12-19,2.02,2.03,2.04,2.01,2470000.0
2019-12-18,2.03,2.01,2.03,2.0,1850000.0
2019-12-17,2.03,2.03,2.08,2.01,3920000.0
2019-12-16,2.03,2.05,2.06,2.0,2880000.0
2019-12-13,2.04,2.03,2.05,2.01,3560000.0
2019-12-12,2.0,2.02,2.03,2.0,3140000.0
2019-12-11,2.02,2.03,2.03,1.99,2220000.0
2019-12-10,2.03,2.05,2.05,2.02,1830000.0
2019-12-09,2.05,2.07,2.08,2.01,4150000.0000000005
2019-12-06,2.05,2.01,2.08,2.0,5910000.0
2019-12-05,2.0,2.01,2.02,1.99,3600000.0
2019-12-04,2.01,2.0,2.01,1.95,2340000.0
2019-12-03,2.01,2.04,2.05,2.0,2860000.0
2019-12-02,2.04,2.02,2.07,2.01,2610000.0
2019-11-29,2.018,2.022,2.032,2.009,5660000.0
