Date,Price,Open,High,Low,Vol.
2020-03-13,4.62,4.63,4.63,4.62,13900.0
2020-03-12,4.79,4.77,4.79,4.73,12800.0
2020-03-11,4.9,4.78,4.9,4.78,2200.0
2020-03-10,4.89,4.89,4.89,4.89,2000.0
2020-03-09,4.9,4.71,4.9,4.64,16300.0
2020-03-06,4.9,4.72,4.9,4.72,20300.0
2020-03-05,4.9,4.9,4.9,4.9,500.0
2020-02-28,4.9,4.9,4.9,4.9,4000.0
2020-02-27,4.9,4.9,4.9,4.9,1000.0
2020-02-25,4.9,4.7,4.9,4.7,1600.0
2020-02-24,4.9,4.72,4.9,4.72,1500.0
2020-02-21,4.9,4.9,4.9,4.85,14300.0
2020-02-19,5.12,5.12,5.12,5.12,1000.0
2020-02-14,5.12,5.12,5.12,5.12,22000.0
2020-02-13,4.9,4.9,4.9,4.9,2000.0
2020-02-11,5.0,4.85,5.01,4.85,11900.0
2020-02-10,5.0,5.0,5.0,5.0,25000.0
2020-02-07,4.69,4.7,4.7,4.62,15100.0
2020-02-05,4.67,4.7,4.7,4.62,25200.0
2020-02-04,4.74,4.7,4.74,4.7,10000.0
2020-02-03,4.75,4.75,4.75,4.75,2000.0
2020-01-31,4.7,4.7,4.7,4.7,4600.0
2020-01-30,4.71,4.71,4.71,4.71,1000.0
2020-01-29,4.75,4.73,4.75,4.7,59400.0
2020-01-28,4.89,4.85,4.9,4.75,20200.0
2020-01-23,4.89,4.78,4.89,4.78,1500.0
2020-01-21,4.89,4.89,4.89,4.89,3000.0
2020-01-20,4.83,4.88,4.88,4.83,13700.0
2020-01-16,4.89,4.89,4.89,4.89,2000.0
2020-01-15,4.86,4.9,4.9,4.8,5400.0
2020-01-14,4.92,4.88,4.92,4.88,11000.0
2020-01-13,4.93,4.88,4.93,4.88,18000.0
2020-01-10,4.95,4.95,4.95,4.95,2100.0
2020-01-08,4.99,4.94,4.99,4.94,55100.0
2020-01-07,4.99,4.97,4.99,4.95,16300.0
2020-01-03,5.04,5.04,5.04,5.04,96800.0
2020-01-02,5.04,5.04,5.04,5.04,3000.0
2019-12-31,5.02,4.97,5.02,4.97,8300.0
2019-12-27,5.05,4.97,5.05,4.97,71000.0
2019-12-26,5.03,5.03,5.03,5.03,188300.0
2019-12-24,5.03,5.03,5.03,5.03,142000.0
2019-12-23,5.03,5.03,5.03,5.03,2000.0
2019-12-20,5.03,5.03,5.03,5.03,3000.0
2019-12-19,4.94,4.95,4.95,4.94,3000.0
2019-12-18,4.99,5.02,5.02,4.96,28500.0
2019-12-16,5.03,5.03,5.03,5.03,222100.0
2019-12-13,5.02,5.02,5.02,5.02,2500.0
2019-12-12,5.03,5.03,5.03,5.03,1000.0
2019-12-11,5.0,5.0,5.0,5.0,29500.0
2019-12-10,5.12,5.06,5.12,5.0,31700.0
2019-12-09,5.25,5.25,5.25,5.25,30000.0
