Date,Price,Open,High,Low,Vol.
2020-03-13,1.6,1.74,1.75,1.58,19020000.0
2020-03-12,1.77,1.78,1.86,1.76,30180000.0
2020-03-11,1.73,1.74,1.78,1.72,10560000.0
2020-03-10,1.73,1.68,1.76,1.67,17230000.0
2020-03-09,1.7,1.78,1.79,1.66,33240000.000000004
2020-03-06,1.79,1.69,1.8,1.69,34720000.0
2020-03-05,1.71,1.7,1.75,1.69,15610000.0
2020-03-04,1.7,1.6,1.7,1.59,25390000.0
2020-03-03,1.61,1.6,1.63,1.57,8160000.0
2020-03-02,1.59,1.61,1.61,1.55,5840000.0
2020-02-28,1.59,1.6,1.63,1.53,15960000.0
2020-02-27,1.63,1.7,1.7,1.61,12130000.0
2020-02-26,1.7,1.64,1.71,1.62,19550000.0
2020-02-25,1.65,1.59,1.67,1.59,21210000.0
2020-02-24,1.58,1.55,1.62,1.55,16810000.0
2020-02-21,1.59,1.57,1.61,1.55,10910000.0
2020-02-20,1.57,1.58,1.59,1.52,16620000.000000002
2020-02-19,1.6,1.65,1.65,1.57,15340000.0
2020-02-18,1.65,1.65,1.66,1.61,6770000.0
2020-02-17,1.64,1.7,1.71,1.64,13660000.0
2020-02-14,1.7,1.7,1.73,1.69,11570000.0
2020-02-13,1.71,1.72,1.72,1.69,8450000.0
2020-02-12,1.72,1.71,1.74,1.69,16320000.0
2020-02-11,1.7,1.72,1.72,1.67,16820000.0
2020-02-10,1.72,1.74,1.75,1.7,30360000.0
2020-02-07,1.68,1.65,1.69,1.64,21550000.0
2020-02-06,1.64,1.7,1.71,1.62,26140000.0
2020-02-05,1.72,1.67,1.75,1.61,38850000.0
2020-02-04,1.67,1.74,1.76,1.64,23840000.0
2020-02-03,1.73,1.76,1.81,1.69,35450000.0
2020-01-31,1.78,1.83,1.86,1.76,41950000.0
2020-01-30,1.82,1.81,1.84,1.76,44390000.0
2020-01-29,1.78,1.87,1.87,1.76,69840000.0
2020-01-28,1.86,1.75,1.93,1.72,108820000.0
2020-01-24,1.61,1.53,1.63,1.53,45140000.0
