Date,Price,Open,High,Low,Vol.
2020-03-13,3.97,4.09,4.09,3.9,2100000.0
2020-03-12,4.2,4.25,4.27,4.18,983300.0
2020-03-11,4.3,4.37,4.37,4.25,2870000.0
2020-03-10,4.25,4.22,4.3,4.22,2140000.0
2020-03-09,4.39,4.45,4.45,4.15,1240000.0
2020-03-06,4.5,4.58,4.58,4.46,804500.0
2020-03-05,4.6,4.5,4.63,4.44,1330000.0
2020-03-04,4.49,4.52,4.55,4.45,688600.0
2020-03-03,4.57,4.6,4.64,4.55,940800.0
2020-03-02,4.57,4.68,4.68,4.55,1330000.0
2020-02-28,4.74,4.8,4.8,4.64,1510000.0
2020-02-27,4.81,4.71,4.89,4.68,865500.0
2020-02-26,4.7,4.67,4.72,4.56,1810000.0
2020-02-25,4.77,4.79,4.82,4.73,1460000.0
2020-02-24,4.81,4.8,4.85,4.7,1860000.0
2020-02-21,4.9,4.88,4.98,4.85,992800.0
2020-02-20,4.85,4.88,4.9,4.82,589500.0
2020-02-19,4.84,4.86,4.9,4.83,716700.0
2020-02-18,4.84,5.05,5.05,4.82,1280000.0
2020-02-17,5.03,5.05,5.18,4.98,1560000.0
2020-02-14,5.03,4.71,5.13,4.7,2950000.0
2020-02-13,4.71,4.6,4.73,4.6,615400.0
2020-02-12,4.64,4.7,4.74,4.58,820300.0
2020-02-11,4.7,4.66,4.74,4.63,949600.0
2020-02-10,4.69,4.77,4.77,4.56,831800.0
2020-02-07,4.77,4.71,4.87,4.69,2320000.0
2020-02-06,4.69,4.27,4.7,4.27,2570000.0
2020-02-05,4.25,4.22,4.28,4.21,4590000.0
2020-02-04,4.21,4.3,4.3,4.13,4059999.9999999995
2020-02-03,4.3,4.5,4.5,4.28,3350000.0
2020-01-31,4.55,4.56,4.59,4.52,1720000.0
2020-01-30,4.58,4.6,4.6,4.51,834100.0
2020-01-29,4.6,4.54,4.61,4.52,1410000.0
2020-01-28,4.59,4.79,4.79,4.48,3450000.0
2020-01-24,4.83,5.18,5.18,4.8,2220000.0
2020-01-23,5.18,5.15,5.2,5.15,1370000.0
2020-01-22,5.18,5.2,5.21,5.13,992600.0
2020-01-21,5.2,5.3,5.3,5.2,1270000.0
2020-01-20,5.27,5.19,5.29,5.19,2250000.0
2020-01-17,5.18,5.21,5.27,5.17,2640000.0
2020-01-16,5.11,5.5,5.5,5.11,9100000.0
2020-01-15,5.7,5.69,5.74,5.68,1180000.0
2020-01-14,5.73,5.77,5.79,5.7,251200.0
2020-01-13,5.77,5.85,5.85,5.77,290400.0
2020-01-10,5.79,5.66,5.84,5.66,1110000.0
2020-01-09,5.65,5.64,5.69,5.64,162300.0
2020-01-08,5.63,5.63,5.68,5.56,657600.0
2020-01-07,5.63,5.63,5.67,5.6,123000.0
2020-01-06,5.6,5.65,5.7,5.56,299300.0
2020-01-03,5.65,5.7,5.7,5.64,735300.0
2020-01-02,5.68,5.67,5.71,5.65,196200.0
2019-12-31,5.7,5.7,5.72,5.67,706900.0
2019-12-30,5.7,5.72,5.74,5.7,120800.0
2019-12-27,5.73,5.75,5.75,5.7,155800.0
2019-12-26,5.75,5.74,5.75,5.73,249700.0
2019-12-24,5.75,5.75,5.76,5.74,278400.0
2019-12-23,5.76,5.79,5.79,5.74,1110000.0
2019-12-20,5.79,5.78,5.79,5.73,203000.0
2019-12-19,5.75,5.75,5.79,5.73,728000.0
2019-12-18,5.77,5.8,5.8,5.56,381900.0
2019-12-17,5.88,5.88,5.91,5.87,1590000.0
2019-12-16,5.88,5.9,5.95,5.86,340400.0
2019-12-13,5.88,5.93,5.97,5.86,235200.0
2019-12-12,5.9,5.92,5.96,5.86,1860000.0
2019-12-11,5.85,5.83,5.98,5.81,733900.0
2019-12-10,5.83,5.81,5.84,5.8,298900.0
2019-12-09,5.8,5.85,5.85,5.74,786500.0
2019-12-06,5.85,5.93,5.93,5.84,669500.0
2019-12-05,5.91,5.93,6.0,5.85,709900.0
2019-12-04,5.93,5.87,5.97,5.8,467900.0
2019-12-03,5.83,5.84,5.84,5.81,335100.0
2019-12-02,5.84,5.78,5.86,5.75,350900.0
2019-11-29,5.79,5.77,5.8,5.7,619100.0
2019-11-28,5.69,5.75,5.8,5.68,1060000.0
2019-11-27,5.69,5.7,5.8,5.67,1280000.0
2019-11-26,5.7,5.9,5.9,5.7,3330000.0
2019-11-25,5.91,5.88,5.94,5.82,1070000.0
2019-11-22,5.88,5.91,5.91,5.85,671600.0
2019-11-21,5.91,5.96,6.05,5.88,758600.0
2019-11-20,5.96,6.05,6.1,5.89,1380000.0
2019-11-19,6.05,6.2,6.2,6.0,1040000.0
2019-11-18,6.17,6.18,6.2,6.15,206500.0
2019-11-15,6.2,6.18,6.2,6.16,401700.0
2019-11-14,6.2,6.24,6.24,6.18,244300.0
2019-11-13,6.21,6.25,6.25,6.2,586000.0
2019-11-12,6.22,6.27,6.29,6.2,800800.0
2019-11-11,6.24,6.22,6.25,6.22,429000.0
2019-11-08,6.25,6.29,6.3,6.18,568700.0
2019-11-07,6.25,6.25,6.25,6.17,798600.0
2019-11-06,6.27,6.3,6.34,6.25,188900.0
2019-11-05,6.29,6.32,6.32,6.28,663300.0
2019-11-04,6.3,6.35,6.35,6.27,1400000.0
2019-11-01,6.27,6.3,6.3,6.27,875900.0
2019-10-31,6.29,6.3,6.33,6.25,570200.0
2019-10-30,6.33,6.45,6.45,6.31,1210000.0
2019-10-29,6.45,6.42,6.53,6.41,1020000.0
2019-10-25,6.38,6.6,6.72,6.23,2970000.0
2019-10-24,6.2,6.24,6.24,6.17,1250000.0
2019-10-23,6.21,6.25,6.25,6.13,206900.0
2019-10-22,6.24,6.03,6.24,6.03,1270000.0
2019-10-21,6.03,6.28,6.29,5.93,368800.0
2019-10-18,6.29,6.24,6.3,6.16,1040000.0
2019-10-17,6.22,6.21,6.23,6.2,258000.0
2019-10-16,6.21,6.17,6.22,6.17,492500.0
2019-10-15,6.21,6.12,6.21,6.12,87300.0
2019-10-14,6.2,6.06,6.28,6.06,1300000.0
