Date,Price,Open,High,Low,Vol.
2020-03-13,0.225,0.235,0.24,0.225,4350000.0
2020-03-12,0.245,0.255,0.255,0.24,12250000.0
2020-03-11,0.245,0.25,0.25,0.245,447600.0
2020-03-10,0.245,0.25,0.25,0.245,4620000.0
2020-03-09,0.255,0.26,0.26,0.25,9990000.0
2020-03-06,0.25,0.26,0.26,0.25,13180000.0
2020-03-05,0.26,0.25,0.26,0.25,802900.0
2020-03-04,0.25,0.255,0.255,0.25,7540000.0
2020-03-03,0.26,0.255,0.26,0.255,660700.0
2020-03-02,0.25,0.255,0.255,0.25,588000.0
2020-02-28,0.255,0.26,0.26,0.25,8670000.0
2020-02-27,0.265,0.26,0.265,0.26,1500000.0
2020-02-26,0.265,0.26,0.265,0.26,497500.0
2020-02-25,0.265,0.26,0.265,0.26,953600.0
2020-02-24,0.265,0.265,0.265,0.26,3600000.0
2020-02-21,0.265,0.265,0.265,0.26,8210000.000000001
2020-02-20,0.265,0.26,0.27,0.26,3760000.0
2020-02-19,0.265,0.26,0.265,0.26,606400.0
2020-02-18,0.26,0.26,0.26,0.26,1100000.0
2020-02-17,0.26,0.26,0.26,0.26,2420000.0
2020-02-14,0.26,0.265,0.265,0.26,6160000.0
2020-02-13,0.26,0.275,0.275,0.26,17100000.0
2020-02-11,0.23,0.23,0.23,0.23,25000.0
2020-02-10,0.235,0.235,0.235,0.23,168100.0
2020-02-07,0.235,0.23,0.235,0.23,171100.0
2020-02-06,0.235,0.23,0.235,0.23,234500.0
2020-02-05,0.235,0.23,0.235,0.23,125600.0
2020-02-04,0.235,0.23,0.235,0.23,158900.0
2020-02-03,0.235,0.23,0.235,0.225,1150000.0
2020-01-31,0.235,0.235,0.24,0.235,84800.0
2020-01-30,0.245,0.24,0.245,0.24,269000.0
2020-01-29,0.24,0.24,0.24,0.235,626000.0
2020-01-28,0.235,0.24,0.24,0.235,476200.0
2020-01-24,0.24,0.24,0.245,0.24,80000.0
2020-01-23,0.245,0.24,0.245,0.235,446900.0
2020-01-22,0.24,0.24,0.245,0.24,17600.0
2020-01-21,0.245,0.24,0.245,0.24,6000.0
2020-01-20,0.245,0.24,0.245,0.24,67800.0
2020-01-17,0.25,0.24,0.25,0.24,64300.0
2020-01-16,0.245,0.245,0.245,0.245,60000.0
2020-01-15,0.245,0.24,0.245,0.24,65600.0
2020-01-14,0.245,0.24,0.245,0.24,48300.0
2020-01-13,0.245,0.24,0.245,0.24,68100.0
2020-01-10,0.245,0.245,0.245,0.24,270200.0
2020-01-09,0.24,0.25,0.25,0.235,770000.0
2020-01-08,0.25,0.25,0.25,0.245,267100.0
2020-01-07,0.255,0.255,0.255,0.25,49100.0
2020-01-06,0.255,0.255,0.255,0.25,338900.0
2020-01-03,0.26,0.255,0.26,0.25,269300.0
2020-01-02,0.26,0.255,0.26,0.25,410200.0
2019-12-31,0.255,0.255,0.265,0.255,1120000.0
2019-12-30,0.255,0.25,0.255,0.245,356400.0
2019-12-27,0.25,0.25,0.25,0.245,835900.0
2019-12-26,0.25,0.25,0.25,0.245,28300.0
2019-12-24,0.245,0.25,0.25,0.245,281300.0
2019-12-23,0.25,0.25,0.25,0.245,126600.0
2019-12-20,0.25,0.245,0.25,0.245,20900.0
2019-12-19,0.245,0.245,0.245,0.245,54600.0
2019-12-18,0.245,0.255,0.26,0.245,1160000.0
2019-12-17,0.26,0.25,0.265,0.25,1470000.0
2019-12-16,0.255,0.24,0.255,0.24,229600.0
2019-12-13,0.25,0.24,0.25,0.24,301100.0
2019-12-12,0.245,0.24,0.25,0.24,384800.0
2019-12-11,0.245,0.245,0.245,0.24,273700.0
2019-12-10,0.245,0.24,0.245,0.24,200900.0
2019-12-09,0.245,0.24,0.245,0.24,350600.0
2019-12-06,0.245,0.24,0.245,0.235,478300.0
2019-12-05,0.245,0.24,0.245,0.24,443300.0
2019-12-04,0.24,0.24,0.24,0.24,378800.0
2019-12-03,0.235,0.24,0.24,0.235,230300.0
2019-12-02,0.24,0.25,0.25,0.235,817100.0
2019-11-29,0.25,0.245,0.25,0.24,289200.0
2019-11-28,0.25,0.24,0.25,0.24,141300.0
