Date,Price,Open,High,Low,Vol.
2020-03-13,0.79,0.8,0.8,0.76,752300.0
2020-03-12,0.81,0.825,0.825,0.81,400500.0
2020-03-11,0.83,0.81,0.83,0.8,438400.0
2020-03-10,0.82,0.815,0.825,0.81,327800.0
2020-03-09,0.815,0.83,0.835,0.805,1330000.0
2020-03-06,0.825,0.815,0.825,0.815,271200.0
2020-03-05,0.825,0.82,0.83,0.815,826900.0
2020-03-04,0.82,0.82,0.83,0.815,239800.0
2020-03-03,0.815,0.825,0.83,0.815,587100.0
2020-03-02,0.82,0.85,0.85,0.81,1760000.0
2020-02-28,0.83,0.83,0.84,0.82,757200.0
2020-02-27,0.835,0.84,0.84,0.83,258500.0
2020-02-26,0.835,0.83,0.84,0.83,84800.0
2020-02-25,0.83,0.835,0.85,0.83,355200.0
2020-02-24,0.835,0.845,0.85,0.83,464300.0
2020-02-21,0.85,0.85,0.855,0.85,365400.0
2020-02-20,0.855,0.855,0.86,0.845,27700.0
2020-02-19,0.855,0.855,0.855,0.84,1940000.0
2020-02-18,0.855,0.86,0.865,0.85,1380000.0
2020-02-17,0.86,0.86,0.87,0.86,2100000.0
2020-02-14,0.86,0.86,0.865,0.855,3120000.0
2020-02-13,0.86,0.855,0.865,0.85,1070000.0
2020-02-12,0.85,0.85,0.855,0.85,201200.0
2020-02-11,0.86,0.85,0.86,0.85,114900.0
2020-02-10,0.85,0.86,0.86,0.85,356400.0
2020-02-07,0.84,0.85,0.85,0.84,451500.0
2020-02-06,0.84,0.845,0.85,0.84,781300.0
2020-02-05,0.84,0.83,0.84,0.83,640600.0
2020-02-04,0.82,0.82,0.825,0.82,620600.0
2020-02-03,0.82,0.82,0.83,0.815,396600.0
2020-01-31,0.835,0.83,0.84,0.83,828500.0
2020-01-30,0.825,0.835,0.835,0.825,582600.0
2020-01-29,0.83,0.835,0.845,0.825,3410000.0
2020-01-28,0.83,0.84,0.84,0.83,135500.0
2020-01-24,0.845,0.86,0.865,0.84,376100.0
2020-01-23,0.86,0.87,0.875,0.85,825100.0
2020-01-22,0.86,0.855,0.875,0.855,1260000.0
2020-01-21,0.85,0.87,0.87,0.85,627500.0
2020-01-20,0.86,0.87,0.88,0.855,807500.0
2020-01-17,0.87,0.87,0.875,0.87,402800.0
2020-01-16,0.87,0.885,0.885,0.865,1200000.0
2020-01-15,0.885,0.885,0.885,0.885,76600.0
2020-01-14,0.885,0.885,0.89,0.885,155400.0
2020-01-13,0.89,0.89,0.89,0.885,622800.0
2020-01-10,0.89,0.9,0.9,0.89,550600.0
2020-01-09,0.9,0.895,0.9,0.89,99900.0
2020-01-08,0.89,0.895,0.9,0.89,544400.0
2020-01-07,0.895,0.9,0.9,0.89,441200.0
2020-01-06,0.895,0.895,0.9,0.89,212600.0
2020-01-03,0.895,0.895,0.9,0.89,926100.0
2020-01-02,0.89,0.9,0.905,0.89,1160000.0
2019-12-31,0.89,0.905,0.91,0.89,511800.0
2019-12-30,0.9,0.915,0.93,0.895,2680000.0
2019-12-27,0.87,0.87,0.875,0.865,1850000.0
2019-12-26,0.87,0.88,0.88,0.865,665700.0
2019-12-24,0.87,0.86,0.87,0.86,289100.0
2019-12-23,0.87,0.88,0.88,0.87,508300.0
2019-12-20,0.875,0.87,0.875,0.86,710600.0
2019-12-19,0.88,0.875,0.88,0.87,490700.0
2019-12-18,0.875,0.87,0.875,0.865,281500.0
2019-12-17,0.87,0.87,0.875,0.86,913100.0
2019-12-16,0.87,0.875,0.88,0.87,284300.0
2019-12-13,0.87,0.87,0.875,0.865,1110000.0
2019-12-12,0.87,0.865,0.87,0.86,550500.0
2019-12-11,0.865,0.88,0.88,0.865,379900.0
2019-12-10,0.885,0.885,0.89,0.88,99100.0
2019-12-09,0.88,0.89,0.89,0.875,261300.0
2019-12-06,0.88,0.89,0.9,0.88,394500.0
2019-12-05,0.885,0.89,0.895,0.885,152700.0
2019-12-04,0.89,0.89,0.89,0.88,174000.0
2019-12-03,0.895,0.9,0.9,0.89,258000.0
2019-12-02,0.89,0.9,0.91,0.89,160200.0
2019-11-29,0.895,0.9,0.9,0.89,271700.0
2019-11-28,0.89,0.915,0.925,0.89,815100.0
2019-11-27,0.89,0.915,0.915,0.89,114400.0
2019-11-26,0.9,0.9,0.9,0.895,18800.0
2019-11-25,0.905,0.895,0.905,0.89,811100.0
2019-11-22,0.895,0.9,0.91,0.89,414600.0
2019-11-21,0.9,0.9,0.9,0.895,92500.0
2019-11-20,0.905,0.895,0.91,0.895,493700.0
2019-11-19,0.895,0.9,0.9,0.895,264900.0
2019-11-18,0.9,0.905,0.91,0.895,1250000.0
2019-11-15,0.9,0.905,0.91,0.9,277400.0
2019-11-14,0.905,0.92,0.92,0.905,33900.0
2019-11-13,0.92,0.905,0.92,0.905,189000.0
2019-11-12,0.9,0.9,0.915,0.9,383600.0
2019-11-11,0.9,0.9,0.905,0.9,25600.0
2019-11-08,0.9,0.915,0.915,0.9,721800.0
