Date,Price,Open,High,Low,Vol.
2020-03-13,3.31,3.39,3.39,3.09,3180000.0
2020-03-12,3.44,3.45,3.46,3.4,3870000.0
2020-03-11,3.5,3.45,3.51,3.4,6780000.0
2020-03-10,3.45,3.49,3.49,3.39,7720000.0
2020-03-09,3.5,3.59,3.59,3.4,3710000.0
2020-03-06,3.61,3.64,3.68,3.61,4070000.0000000005
2020-03-05,3.75,3.69,3.75,3.66,3260000.0
2020-03-04,3.68,3.69,3.7,3.65,1740000.0
2020-03-03,3.66,3.71,3.72,3.64,4010000.0
2020-03-02,3.67,3.69,3.72,3.52,2500000.0
2020-02-28,3.7,3.68,3.71,3.66,3270000.0
2020-02-27,3.71,3.68,3.74,3.68,1770000.0
2020-02-26,3.71,3.66,3.72,3.66,5180000.0
2020-02-25,3.73,3.75,3.8,3.68,5090000.0
2020-02-24,3.75,3.71,3.76,3.66,8740000.0
2020-02-21,3.82,3.86,3.9,3.8,3730000.0
2020-02-20,3.88,3.92,3.92,3.85,1430000.0
2020-02-19,3.91,3.87,3.94,3.86,1470000.0
2020-02-18,3.87,3.84,3.88,3.83,667200.0
2020-02-17,3.84,3.85,3.87,3.83,783500.0
2020-02-14,3.85,3.83,3.87,3.83,1390000.0
2020-02-13,3.86,3.83,3.88,3.83,1670000.0
2020-02-12,3.85,3.85,3.86,3.82,1810000.0
2020-02-11,3.82,3.86,3.86,3.81,1510000.0
2020-02-10,3.86,3.86,3.87,3.81,5520000.0
2020-02-07,3.86,3.88,3.88,3.86,1770000.0
2020-02-06,3.88,3.94,3.97,3.88,1970000.0
2020-02-05,3.95,3.95,3.98,3.89,2660000.0
2020-02-04,3.95,3.83,3.99,3.81,2290000.0
2020-02-03,3.83,3.82,3.84,3.78,2880000.0
2020-01-31,3.86,3.85,3.89,3.85,3040000.0
2020-01-30,3.86,3.87,3.93,3.86,1480000.0
2020-01-29,3.9,3.9,3.95,3.83,3630000.0
2020-01-28,3.91,3.95,3.95,3.89,1610000.0
2020-01-24,4.0,3.96,4.0,3.96,654700.0
2020-01-23,3.99,3.93,3.99,3.91,923000.0
2020-01-22,3.93,4.01,4.01,3.92,675500.0
2020-01-21,4.02,4.05,4.06,4.02,1650000.0
2020-01-20,4.05,4.05,4.05,4.01,5900000.0
2020-01-17,4.02,4.0,4.02,3.94,8390000.0
2020-01-16,4.02,3.92,4.02,3.88,6970000.0
2020-01-15,3.96,3.96,3.96,3.87,1920000.0
2020-01-14,3.96,3.93,3.98,3.92,3050000.0
2020-01-13,3.93,3.92,3.94,3.9,3690000.0
2020-01-10,3.93,3.94,3.94,3.91,2630000.0
2020-01-09,3.94,3.92,3.95,3.89,7920000.0
2020-01-08,3.91,3.84,3.94,3.81,10970000.0
2020-01-07,3.87,3.83,3.88,3.81,1080000.0
2020-01-06,3.83,3.84,3.84,3.8,1090000.0
2020-01-03,3.87,3.85,3.87,3.84,5070000.0
2020-01-02,3.85,3.82,3.87,3.82,3230000.0
2019-12-31,3.82,3.86,3.88,3.82,1710000.0
2019-12-30,3.88,3.92,3.92,3.85,1880000.0
2019-12-27,3.91,3.87,3.94,3.85,2470000.0
2019-12-26,3.85,3.88,3.89,3.84,259600.00000000003
2019-12-24,3.88,3.89,3.9,3.84,741000.0
2019-12-23,3.89,3.84,3.9,3.82,2460000.0
2019-12-20,3.86,3.91,3.91,3.81,2570000.0
2019-12-19,3.86,3.83,3.88,3.82,2410000.0
2019-12-18,3.85,3.82,3.85,3.82,3300000.0
2019-12-17,3.85,3.84,3.86,3.81,3870000.0
2019-12-16,3.8,3.84,3.86,3.8,1010000.0
2019-12-13,3.83,3.88,3.89,3.82,1990000.0
2019-12-12,3.87,3.84,3.88,3.84,2790000.0
2019-12-11,3.84,3.8,3.88,3.8,2560000.0
2019-12-10,3.83,3.8,3.83,3.79,1860000.0
2019-12-09,3.8,3.81,3.82,3.79,2370000.0
2019-12-06,3.81,3.9,3.9,3.8,3390000.0
2019-12-05,3.91,3.85,3.92,3.84,9380000.0
2019-12-04,3.83,3.78,3.83,3.74,4050000.0
2019-12-03,3.8,3.79,3.83,3.76,2290000.0
2019-12-02,3.79,3.76,3.8,3.72,1500000.0
2019-11-29,3.76,3.8,3.8,3.72,3530000.0
