Date,Price,Open,High,Low,Vol.
2020-03-13,11.26,12.0,12.0,11.12,8960000.0
2020-03-12,12.42,12.4,12.56,12.38,8810000.0
2020-03-11,12.62,12.5,12.76,12.46,4380000.0
2020-03-10,12.5,12.36,12.86,12.32,4740000.0
2020-03-09,12.54,12.5,12.56,12.34,4510000.0
2020-03-06,12.6,12.64,12.64,12.5,7290000.0
2020-03-05,12.64,12.68,12.68,12.6,5160000.0
2020-03-04,12.58,12.54,12.62,12.48,4490000.0
2020-03-03,12.5,12.58,12.58,12.36,5600000.0
2020-03-02,12.5,12.24,12.68,12.24,9140000.0
2020-02-28,12.1,12.26,12.46,12.02,10690000.0
2020-02-27,12.5,12.32,12.52,12.32,3140000.0
2020-02-26,12.38,12.18,12.54,12.14,6990000.0
2020-02-25,12.3,12.0,12.38,12.0,6870000.0
2020-02-24,12.14,12.56,12.76,12.0,9400000.0
2020-02-21,12.78,12.66,12.84,12.66,6350000.0
2020-02-20,12.78,12.7,12.98,12.6,4560000.0
2020-02-19,12.6,12.64,12.64,12.54,1240000.0
2020-02-18,12.6,12.5,12.64,12.5,1000000.0
2020-02-17,12.5,12.68,12.72,12.5,3000000.0
2020-02-14,12.68,12.6,12.7,12.58,1660000.0
2020-02-13,12.58,12.62,12.64,12.58,2690000.0
2020-02-12,12.64,12.6,12.74,12.6,4019999.9999999995
2020-02-11,12.64,12.56,12.7,12.48,2230000.0
2020-02-10,12.5,12.78,12.78,12.28,6640000.0
2020-02-07,12.74,12.94,12.98,12.74,4270000.0
2020-02-06,12.88,12.76,13.0,12.72,3270000.0
2020-02-05,12.76,12.72,12.82,12.6,5060000.0
2020-02-04,12.72,12.52,12.78,12.46,5590000.0
2020-02-03,12.46,12.4,12.54,12.32,3540000.0
2020-01-31,12.46,12.48,12.6,12.4,7460000.0
2020-01-30,12.48,12.6,12.6,12.42,7700000.0
2020-01-29,12.56,12.7,12.72,12.52,7680000.0
2020-01-28,12.74,12.62,12.82,12.5,6490000.0
2020-01-24,12.88,12.7,12.88,12.54,4090000.0
2020-01-23,12.82,12.76,12.84,12.68,3360000.0
2020-01-22,12.88,12.82,12.88,12.82,4490000.0
2020-01-21,12.88,12.96,12.98,12.86,2660000.0
2020-01-20,12.94,12.94,13.0,12.9,2810000.0
2020-01-17,12.9,12.9,12.98,12.76,4420000.0
2020-01-16,12.9,12.88,12.9,12.62,6270000.0
2020-01-15,12.9,12.8,12.9,12.72,5250000.0
2020-01-14,12.9,12.96,12.96,12.64,3520000.0
2020-01-13,12.96,12.98,13.0,12.94,5870000.0
2020-01-10,12.98,13.0,13.0,12.98,2590000.0
2020-01-09,13.04,13.02,13.12,12.92,2900000.0
2020-01-08,12.98,13.06,13.06,12.9,1980000.0
