Date,Price,Open,High,Low,Vol.
2020-03-13,0.845,0.8,0.85,0.775,976300.0
2020-03-12,0.825,0.845,0.85,0.82,915400.0
2020-03-11,0.855,0.85,0.86,0.85,165700.0
2020-03-10,0.845,0.835,0.855,0.82,969900.0
2020-03-09,0.845,0.85,0.85,0.815,553000.0
2020-03-06,0.86,0.865,0.875,0.86,255400.0
2020-03-05,0.87,0.875,0.88,0.87,494500.0
2020-03-04,0.88,0.875,0.885,0.875,83400.0
2020-03-03,0.88,0.875,0.88,0.87,430300.0
2020-03-02,0.88,0.865,0.88,0.86,1200000.0
2020-02-28,0.865,0.875,0.88,0.865,457200.0
2020-02-27,0.88,0.875,0.88,0.87,520500.0
2020-02-26,0.88,0.88,0.88,0.87,419200.0
2020-02-25,0.88,0.875,0.88,0.875,58500.0
2020-02-24,0.88,0.88,0.885,0.87,145100.0
2020-02-21,0.89,0.885,0.89,0.88,344200.0
2020-02-20,0.885,0.885,0.89,0.88,346600.0
2020-02-19,0.89,0.885,0.89,0.885,121700.0
2020-02-18,0.89,0.89,0.89,0.88,81800.0
2020-02-17,0.89,0.88,0.89,0.88,160100.0
2020-02-14,0.88,0.88,0.885,0.88,137300.0
2020-02-13,0.88,0.885,0.89,0.88,155200.0
2020-02-12,0.88,0.885,0.895,0.875,356600.0
2020-02-11,0.89,0.885,0.89,0.88,242800.0
2020-02-10,0.89,0.895,0.895,0.89,476400.0
2020-02-07,0.9,0.895,0.9,0.89,510000.0
2020-02-06,0.9,0.885,0.9,0.885,389300.0
2020-02-05,0.89,0.88,0.89,0.88,334000.0
2020-02-04,0.885,0.87,0.885,0.87,178000.0
2020-02-03,0.88,0.865,0.88,0.865,474000.0
2020-01-31,0.875,0.88,0.89,0.875,816200.0
2020-01-30,0.89,0.885,0.89,0.88,807100.0
2020-01-29,0.89,0.89,0.89,0.885,70500.0
2020-01-28,0.89,0.885,0.89,0.875,504100.0
2020-01-24,0.89,0.895,0.895,0.89,68100.0
2020-01-23,0.895,0.89,0.895,0.885,144700.0
2020-01-22,0.89,0.885,0.895,0.885,270700.0
2020-01-21,0.89,0.885,0.89,0.885,532500.0
2020-01-20,0.89,0.885,0.89,0.885,419800.0
2020-01-17,0.885,0.89,0.895,0.885,94900.0
2020-01-16,0.89,0.89,0.895,0.885,527000.0
2020-01-15,0.9,0.895,0.9,0.89,645100.0
2020-01-14,0.9,0.9,0.9,0.89,112100.0
2020-01-13,0.9,0.9,0.9,0.895,91100.0
2020-01-10,0.9,0.895,0.9,0.895,45000.0
2020-01-09,0.9,0.885,0.9,0.885,604500.0
2020-01-08,0.895,0.9,0.9,0.875,541000.0
2020-01-07,0.905,0.895,0.91,0.89,880500.0
2020-01-06,0.9,0.915,0.92,0.9,417800.0
2020-01-03,0.92,0.93,0.93,0.92,1470000.0
2020-01-02,0.935,0.93,0.935,0.92,871600.0
2019-12-31,0.935,0.925,0.935,0.92,1020000.0
2019-12-30,0.93,0.925,0.935,0.92,752700.0
2019-12-27,0.935,0.925,0.935,0.925,408700.0
2019-12-26,0.93,0.935,0.94,0.93,298300.0
2019-12-24,0.94,0.935,0.94,0.93,302900.0
2019-12-23,0.94,0.925,0.94,0.925,558600.0
2019-12-20,0.935,0.925,0.935,0.925,842600.0
2019-12-19,0.935,0.925,0.94,0.925,678500.0
2019-12-18,0.935,0.93,0.935,0.925,495100.0
2019-12-17,0.935,0.925,0.935,0.915,763700.0
2019-12-16,0.93,0.915,0.93,0.91,568800.0
2019-12-13,0.92,0.92,0.925,0.915,387700.0
2019-12-12,0.92,0.93,0.93,0.92,213500.0
2019-12-11,0.93,0.925,0.93,0.925,294500.0
2019-12-10,0.925,0.93,0.935,0.92,554200.0
2019-12-09,0.94,0.935,0.94,0.925,366500.0
