Date,Price,Open,High,Low,Vol.
2020-03-13,1.82,1.85,1.87,1.81,546400.0
2020-03-12,1.88,1.9,1.9,1.87,84600.0
2020-03-11,1.93,1.95,1.99,1.9,86600.0
2020-03-10,1.86,1.88,1.93,1.86,517400.0
2020-03-09,1.89,1.95,1.95,1.88,363700.0
2020-03-06,1.96,1.95,1.96,1.93,157100.0
2020-03-05,1.95,1.93,1.95,1.93,21900.0
2020-03-04,1.92,1.95,1.96,1.92,269100.0
2020-03-03,1.95,1.92,1.95,1.92,158600.0
2020-03-02,1.92,1.96,1.96,1.92,483500.0
2020-02-28,1.95,1.99,1.99,1.94,454100.0
2020-02-27,1.99,2.0,2.01,1.99,347700.0
2020-02-26,1.98,1.94,1.99,1.93,159600.0
2020-02-25,1.91,1.93,1.94,1.91,807400.0
2020-02-24,1.92,1.95,1.95,1.91,1630000.0
2020-02-21,1.96,2.02,2.05,1.95,7140000.0
2020-02-20,2.01,2.0,2.02,1.97,468900.0
2020-02-19,1.98,2.01,2.01,1.97,52900.0
2020-02-18,1.99,1.98,1.99,1.97,2750000.0
2020-02-17,1.99,1.98,1.99,1.97,183900.0
2020-02-14,2.0,1.97,2.0,1.96,1080000.0
2020-02-13,1.95,1.95,2.01,1.94,361500.0
2020-02-12,1.95,1.97,1.97,1.94,727700.0
2020-02-11,1.95,1.95,1.99,1.95,436700.0
2020-02-10,1.95,1.95,1.96,1.94,368500.0
2020-02-07,1.96,1.99,1.99,1.95,344600.0
2020-02-06,1.95,1.96,1.96,1.95,118600.0
2020-02-05,1.95,1.96,1.96,1.95,241800.0
2020-02-04,1.96,2.0,2.0,1.95,631700.0
2020-02-03,1.99,2.03,2.03,1.97,459500.0
2020-01-31,1.98,2.04,2.04,1.98,1080000.0
2020-01-30,2.04,2.06,2.06,2.04,1150000.0
2020-01-29,2.06,2.06,2.07,2.05,507700.0
2020-01-28,2.05,2.03,2.07,2.03,894000.0
2020-01-24,2.06,2.05,2.06,2.0,277900.0
2020-01-23,2.06,2.09,2.12,2.06,236600.0
2020-01-22,2.1,2.07,2.11,2.06,1090000.0
2020-01-21,2.05,2.06,2.1,2.05,183700.0
2020-01-20,2.03,2.0,2.05,2.0,207200.0
2020-01-17,2.01,2.0,2.01,2.0,3100.0
2020-01-16,2.0,2.0,2.01,1.99,406500.0
2020-01-15,2.0,2.02,2.02,2.0,57800.0
2020-01-14,2.0,2.0,2.0,1.99,484400.0
2020-01-13,1.97,2.05,2.05,1.97,634200.0
2020-01-10,2.05,2.05,2.06,2.04,491600.0
2020-01-09,2.05,2.05,2.06,2.02,450300.0
2020-01-08,2.03,2.03,2.03,2.02,238600.0
2020-01-07,2.03,2.03,2.04,2.02,173400.0
2020-01-06,2.02,2.04,2.04,2.02,115200.0
2020-01-03,2.04,2.04,2.05,2.03,418300.0
2020-01-02,2.04,2.03,2.06,2.02,187800.0
2019-12-31,2.03,2.02,2.03,2.02,260600.00000000003
2019-12-30,2.02,2.04,2.05,2.02,260800.0
2019-12-27,2.04,2.06,2.06,2.04,107400.0
2019-12-26,2.06,2.08,2.09,2.06,31900.0
2019-12-24,2.08,2.1,2.1,2.08,900.0
2019-12-23,2.08,2.08,2.08,2.08,1500.0
2019-12-20,2.08,2.14,2.14,2.08,48800.0
2019-12-19,2.14,2.15,2.15,2.13,261200.0
2019-12-18,2.15,2.1,2.15,2.1,388400.0
2019-12-17,2.08,2.07,2.09,2.07,1040000.0
2019-12-16,2.09,2.07,2.09,2.06,314300.0
2019-12-13,2.08,2.06,2.08,2.02,387400.0
