Date,Price,Open,High,Low,Vol.
2020-03-13,2.3,2.35,2.35,2.25,696000.0
2020-03-12,2.41,2.48,2.48,2.35,880300.0
2020-03-11,2.5,2.49,2.55,2.48,386600.0
2020-03-10,2.49,2.45,2.49,2.38,728700.0
2020-03-09,2.5,2.63,2.63,2.5,340300.0
2020-03-06,2.63,2.65,2.66,2.63,251100.0
2020-03-05,2.66,2.63,2.67,2.63,121500.0
2020-03-04,2.64,2.66,2.66,2.64,213800.0
2020-03-03,2.66,2.66,2.67,2.65,170100.0
2020-03-02,2.66,2.7,2.7,2.66,95900.0
2020-02-28,2.66,2.71,2.71,2.66,597400.0
2020-02-27,2.71,2.69,2.73,2.69,297700.0
2020-02-26,2.68,2.71,2.71,2.67,57000.0
2020-02-25,2.71,2.66,2.72,2.65,49300.0
2020-02-24,2.66,2.71,2.72,2.66,328000.0
2020-02-21,2.78,2.74,2.78,2.72,548200.0
2020-02-20,2.74,2.76,2.77,2.72,79100.0
2020-02-19,2.75,2.7,2.76,2.7,207200.0
2020-02-18,2.7,2.7,2.71,2.68,29800.0
2020-02-17,2.72,2.71,2.72,2.7,111100.0
2020-02-14,2.71,2.71,2.72,2.7,106900.0
2020-02-13,2.69,2.68,2.7,2.68,142800.0
2020-02-12,2.68,2.68,2.69,2.66,107100.0
2020-02-11,2.68,2.68,2.69,2.68,23700.0
2020-02-10,2.67,2.65,2.71,2.65,60400.0
2020-02-07,2.65,2.68,2.68,2.65,86300.0
2020-02-06,2.69,2.68,2.7,2.68,102300.0
2020-02-05,2.67,2.64,2.68,2.63,53000.0
2020-02-04,2.64,2.58,2.64,2.58,824200.0
2020-02-03,2.57,2.64,2.64,2.57,709700.0
2020-01-31,2.64,2.65,2.68,2.63,300200.0
2020-01-30,2.65,2.66,2.67,2.65,76000.0
2020-01-29,2.66,2.64,2.69,2.64,54200.0
2020-01-28,2.64,2.65,2.7,2.63,494500.0
2020-01-24,2.65,2.65,2.67,2.64,166700.0
2020-01-23,2.68,2.68,2.7,2.64,339500.0
2020-01-22,2.63,2.71,2.71,2.61,751500.0
2020-01-21,2.7,2.7,2.73,2.69,479400.0
2020-01-20,2.7,2.73,2.73,2.7,382000.0
2020-01-17,2.72,2.75,2.77,2.68,899500.0
2020-01-16,2.75,2.79,2.79,2.75,177500.0
2020-01-15,2.79,2.8,2.8,2.77,39600.0
2020-01-14,2.8,2.79,2.8,2.77,29300.0
2020-01-13,2.79,2.8,2.81,2.79,934900.0
2020-01-10,2.8,2.8,2.8,2.79,334700.0
2020-01-09,2.77,2.8,2.81,2.77,928000.0
2020-01-08,2.78,2.81,2.81,2.77,446600.0
2020-01-07,2.81,2.79,2.81,2.79,219600.0
2020-01-06,2.76,2.8,2.81,2.76,1380000.0
2020-01-03,2.81,2.8,2.82,2.79,1180000.0
2020-01-02,2.78,2.79,2.82,2.76,1510000.0
2019-12-31,2.78,2.76,2.79,2.76,1400000.0
2019-12-30,2.76,2.77,2.78,2.75,688400.0
2019-12-27,2.83,2.83,2.84,2.81,756100.0
2019-12-26,2.83,2.84,2.84,2.82,162500.0
2019-12-24,2.81,2.81,2.83,2.81,523600.0
2019-12-23,2.81,2.82,2.82,2.8,358500.0
2019-12-20,2.83,2.82,2.85,2.82,29400.0
2019-12-19,2.82,2.82,2.83,2.82,232800.0
2019-12-18,2.83,2.82,2.84,2.82,339300.0
2019-12-17,2.84,2.82,2.84,2.82,613400.0
2019-12-16,2.82,2.84,2.84,2.82,57300.0
2019-12-13,2.81,2.82,2.82,2.8,979400.0
2019-12-12,2.81,2.82,2.84,2.8,470600.0
2019-12-11,2.8,2.82,2.82,2.79,288400.0
2019-12-10,2.8,2.8,2.82,2.79,330000.0
2019-12-09,2.8,2.82,2.84,2.8,172000.0
2019-12-06,2.84,2.81,2.84,2.8,41100.0
2019-12-05,2.8,2.85,2.85,2.8,156600.0
2019-12-04,2.83,2.84,2.84,2.81,24200.0
2019-12-03,2.81,2.81,2.82,2.8,93000.0
2019-12-02,2.81,2.81,2.83,2.81,42500.0
2019-11-29,2.81,2.82,2.83,2.81,194600.0
2019-11-28,2.83,2.82,2.83,2.81,62200.0
2019-11-27,2.84,2.85,2.85,2.83,379000.0
2019-11-26,2.82,2.85,2.86,2.82,480400.0
2019-11-25,2.85,2.84,2.9,2.83,962400.0
2019-11-22,2.8,2.79,2.81,2.79,241800.0
2019-11-21,2.79,2.8,2.8,2.79,36300.0
2019-11-20,2.81,2.8,2.82,2.79,25800.0
2019-11-19,2.81,2.81,2.82,2.8,110700.0
2019-11-18,2.81,2.81,2.81,2.8,139300.0
2019-11-15,2.81,2.82,2.83,2.81,23600.0
2019-11-14,2.83,2.83,2.83,2.82,836100.0
2019-11-13,2.83,2.83,2.83,2.8,615500.0
2019-11-12,2.83,2.83,2.85,2.8,232700.0
2019-11-11,2.83,2.85,2.85,2.83,6800.0
2019-11-08,2.85,2.83,2.86,2.82,729800.0
2019-11-07,2.81,2.81,2.82,2.81,48100.0
2019-11-06,2.81,2.81,2.82,2.8,454600.0
2019-11-05,2.8,2.82,2.82,2.78,165100.0
2019-11-04,2.8,2.79,2.81,2.79,334700.0
2019-11-01,2.79,2.81,2.81,2.77,12700.0
2019-10-31,2.76,2.75,2.76,2.74,1460000.0
2019-10-30,2.75,2.75,2.76,2.74,1100000.0
2019-10-29,2.73,2.82,2.82,2.72,567200.0
2019-10-25,2.8,2.8,2.81,2.8,35100.0
2019-10-24,2.81,2.82,2.83,2.81,131800.0
2019-10-23,2.8,2.81,2.83,2.8,187800.0
2019-10-22,2.79,2.78,2.8,2.77,333200.0
2019-10-21,2.77,2.74,2.78,2.74,199300.0
2019-10-18,2.74,2.71,2.77,2.71,1970000.0
2019-10-17,2.7,2.68,2.7,2.68,52700.0
2019-10-16,2.69,2.72,2.72,2.69,561300.0
2019-10-15,2.72,2.7,2.74,2.7,232200.0
2019-10-14,2.68,2.78,2.78,2.66,1350000.0
2019-10-11,2.78,2.79,2.79,2.77,31400.0
2019-10-10,2.79,2.78,2.79,2.78,496600.0
2019-10-09,2.79,2.8,2.8,2.78,148700.0
2019-10-08,2.8,2.8,2.81,2.79,300500.0
2019-10-07,2.8,2.83,2.83,2.79,432900.0
2019-10-04,2.8,2.8,2.83,2.79,270600.0
2019-10-03,2.83,2.8,2.83,2.8,11100.0
2019-10-02,2.8,2.81,2.84,2.79,442200.0
2019-10-01,2.8,2.81,2.81,2.78,398300.0
2019-09-30,2.81,2.8,2.81,2.79,300800.0
2019-09-27,2.81,2.81,2.82,2.8,18000.0
2019-09-26,2.81,2.82,2.82,2.81,4300.0
2019-09-25,2.84,2.79,2.84,2.79,102200.0
2019-09-24,2.79,2.83,2.83,2.79,65300.0
2019-09-23,2.82,2.81,2.84,2.8,99300.0
2019-09-20,2.8,2.78,2.81,2.78,61300.0
2019-09-19,2.79,2.81,2.81,2.79,31200.0
2019-09-18,2.81,2.8,2.81,2.8,28000.0
2019-09-17,2.8,2.8,2.8,2.78,74600.0
2019-09-13,2.8,2.82,2.82,2.8,8500.0
2019-09-12,2.82,2.82,2.83,2.82,19500.0
2019-09-11,2.82,2.83,2.84,2.8,41100.0
2019-09-10,2.84,2.8,2.85,2.8,57000.0
2019-09-06,2.8,2.8,2.81,2.8,72900.0
2019-09-05,2.8,2.79,2.8,2.79,129100.0
2019-09-04,2.79,2.82,2.82,2.79,950900.0
2019-09-03,2.81,2.8,2.82,2.8,71700.0
2019-08-30,2.81,2.81,2.81,2.8,65800.0
2019-08-29,2.81,2.81,2.85,2.81,71200.0
2019-08-28,2.86,2.82,2.86,2.82,91600.0
2019-08-27,2.84,2.8,2.89,2.78,439900.0
2019-08-26,2.78,2.76,2.78,2.76,15800.0
2019-08-23,2.78,2.78,2.78,2.76,18100.0
2019-08-22,2.76,2.8,2.8,2.76,298100.0
2019-08-21,2.79,2.79,2.8,2.78,199500.0
2019-08-20,2.79,2.77,2.8,2.77,445100.0
2019-08-19,2.77,2.76,2.77,2.75,21300.0
2019-08-16,2.77,2.76,2.77,2.75,5600.0
2019-08-15,2.76,2.75,2.76,2.72,246100.0
2019-08-14,2.75,2.75,2.77,2.74,573900.0
2019-08-13,2.74,2.76,2.76,2.74,1060000.0
2019-08-09,2.75,2.81,2.81,2.74,132300.0
2019-08-08,2.81,2.78,2.81,2.78,501000.0
2019-08-07,2.77,2.79,2.8,2.77,33200.0
2019-08-06,2.79,2.76,2.83,2.75,233500.0
2019-08-05,2.77,2.77,2.8,2.76,259600.00000000003
2019-08-02,2.77,2.79,2.8,2.77,24900.0
2019-08-01,2.8,2.75,2.8,2.75,103200.0
2019-07-31,2.72,2.8,2.8,2.72,337100.0
2019-07-29,2.8,2.74,2.83,2.74,179900.0
2019-07-26,2.74,2.75,2.76,2.74,255200.0
2019-07-25,2.75,2.76,2.76,2.75,138900.0
2019-07-24,2.76,2.78,2.78,2.74,591500.0
2019-07-23,2.78,2.8,2.8,2.75,614200.0
2019-07-22,2.8,2.82,2.82,2.79,351500.0
2019-07-19,2.81,2.84,2.84,2.81,49300.0
2019-07-18,2.84,2.85,2.85,2.84,12800.0
2019-07-17,2.85,2.85,2.87,2.83,49600.0
2019-07-16,2.85,2.83,2.85,2.83,182800.0
2019-07-15,2.84,2.83,2.84,2.82,65500.0
2019-07-12,2.83,2.83,2.84,2.83,30100.0
2019-07-11,2.83,2.85,2.85,2.82,56500.0
2019-07-10,2.88,2.86,2.88,2.85,20600.0
2019-07-09,2.88,2.86,2.88,2.83,110400.0
2019-07-08,2.86,2.88,2.88,2.82,188200.0
2019-07-05,2.85,2.88,2.88,2.85,108300.0
2019-07-04,2.88,2.88,2.88,2.81,306400.0
2019-07-03,2.89,2.88,2.89,2.83,195200.0
2019-07-02,2.88,2.88,2.89,2.85,592000.0
2019-07-01,2.88,2.88,2.88,2.84,362100.0
2019-06-28,2.88,2.87,2.9,2.87,766200.0
2019-06-27,2.87,2.89,2.89,2.84,551500.0
2019-06-26,2.89,2.89,2.9,2.88,134300.0
