Date,Price,Open,High,Low,Vol.
2020-03-13,3.1,3.25,3.25,3.02,3500000.0
2020-03-12,3.5,3.45,3.55,3.43,2690000.0
2020-03-11,3.55,3.45,3.6,3.45,4550000.0
2020-03-10,3.45,3.3,3.48,3.28,1840000.0
2020-03-09,3.36,3.4,3.4,3.27,1230000.0
2020-03-06,3.5,3.44,3.54,3.42,1520000.0
2020-03-05,3.5,3.55,3.58,3.45,3990000.0
2020-03-04,3.48,3.41,3.48,3.34,5240000.0
2020-03-03,3.42,3.38,3.46,3.28,4560000.0
2020-03-02,3.32,3.48,3.48,3.3,3680000.0
2020-02-28,3.44,3.5,3.6,3.44,6670000.0
2020-02-27,3.6,3.5,3.61,3.49,4110000.0000000005
2020-02-26,3.62,3.62,3.64,3.48,2840000.0
2020-02-25,3.62,3.46,3.65,3.46,3680000.0
2020-02-24,3.45,3.67,3.68,3.45,5400000.0
2020-02-21,3.74,3.74,3.75,3.66,3750000.0
2020-02-20,3.75,3.8,3.8,3.73,7660000.0
2020-02-19,3.85,3.9,3.91,3.83,2990000.0
2020-02-18,3.9,3.91,3.92,3.89,453500.0
2020-02-17,3.9,3.9,3.93,3.85,668000.0
2020-02-14,3.89,3.85,3.9,3.84,1370000.0
2020-02-13,3.83,3.83,3.85,3.77,1770000.0
2020-02-12,3.84,3.89,3.89,3.83,4019999.9999999995
2020-02-11,3.87,3.91,3.91,3.85,2540000.0
2020-02-10,3.91,3.91,4.0,3.87,3540000.0
2020-02-07,3.91,3.94,3.97,3.88,3130000.0
2020-02-06,3.96,3.92,4.0,3.91,2320000.0
2020-02-05,3.9,3.95,3.95,3.88,1710000.0
2020-02-04,3.91,3.94,3.96,3.85,2450000.0
2020-02-03,3.9,3.82,3.92,3.82,2340000.0
2020-01-31,3.95,4.0,4.0,3.93,2190000.0
2020-01-30,3.99,3.96,4.0,3.96,846200.0
2020-01-29,3.97,4.0,4.02,3.97,595300.0
2020-01-28,4.0,4.01,4.04,4.0,1480000.0
2020-01-24,4.06,4.06,4.07,4.04,120200.0
2020-01-23,4.1,4.02,4.1,3.96,879400.0
2020-01-22,4.0,4.06,4.07,3.96,3600000.0
2020-01-21,4.06,4.15,4.15,4.06,1000000.0
2020-01-20,4.15,4.11,4.17,4.11,1340000.0
