Date,Price,Open,High,Low,Vol.
2020-03-13,5.7,5.88,6.02,5.6,2880000.0
2020-03-12,6.2,6.3,6.5,6.09,4200000.0
2020-03-11,6.46,6.35,6.55,6.35,3250000.0
2020-03-10,6.3,5.92,6.4,5.9,2180000.0
2020-03-09,6.0,6.74,6.74,5.91,12130000.0
2020-03-06,7.01,7.08,7.08,6.98,767300.0
2020-03-05,7.02,7.1,7.1,7.0,516299.99999999994
2020-03-04,7.03,7.02,7.06,7.01,918300.0
2020-03-03,7.06,7.0,7.09,7.0,1500000.0
2020-03-02,6.95,7.0,7.05,6.82,1410000.0
2020-02-28,7.15,7.03,7.15,6.95,2100000.0
2020-02-27,7.12,7.04,7.14,7.04,1530000.0
2020-02-26,7.1,7.19,7.19,7.03,1710000.0
2020-02-25,7.1,7.03,7.23,7.03,3330000.0
2020-02-24,7.04,7.0,7.12,6.9,3030000.0
2020-02-21,7.11,7.38,7.42,7.11,3310000.0
2020-02-20,7.24,7.04,7.25,6.9,5640000.0
2020-02-19,7.0,6.98,7.05,6.98,4810000.0
2020-02-18,7.0,7.1,7.1,6.98,4860000.0
2020-02-17,7.09,7.01,7.25,7.01,3900000.0
2020-02-14,7.0,7.06,7.38,6.91,8700000.0
2020-02-13,6.8,6.42,6.8,6.4,5070000.0
2020-02-12,6.41,6.38,6.43,6.38,3460000.0
2020-02-11,6.38,6.39,6.39,6.3,212700.0
2020-02-10,6.38,6.35,6.43,6.34,849700.0
2020-02-07,6.35,6.44,6.44,6.31,443600.0
2020-02-06,6.32,6.46,6.5,6.31,676400.0
2020-02-05,6.38,6.4,6.41,6.28,2750000.0
2020-02-04,6.27,6.22,6.28,6.2,1050000.0
2020-02-03,6.2,6.2,6.21,6.18,1200000.0
2020-01-31,6.2,6.2,6.21,6.19,1850000.0
2020-01-30,6.2,6.21,6.21,6.19,2460000.0
2020-01-29,6.2,6.21,6.23,6.19,3090000.0
2020-01-28,6.22,6.2,6.23,6.18,3090000.0
2020-01-24,6.2,6.23,6.24,6.2,215100.0
2020-01-23,6.23,6.23,6.24,6.22,900800.0
2020-01-22,6.23,6.25,6.25,6.22,1330000.0
2020-01-21,6.25,6.22,6.25,6.21,679000.0
2020-01-20,6.2,6.25,6.25,6.18,1120000.0
2020-01-17,6.25,6.25,6.32,6.22,894300.0
2020-01-16,6.25,6.24,6.28,6.2,320900.0
2020-01-15,6.23,6.24,6.24,6.23,410900.0
2020-01-14,6.24,6.23,6.29,6.22,303200.0
2020-01-13,6.22,6.28,6.33,6.22,695800.0
2020-01-10,6.22,6.26,6.26,6.21,655900.0
2020-01-09,6.26,6.3,6.31,6.26,408900.0
2020-01-08,6.3,6.35,6.36,6.29,1900000.0
2020-01-07,6.36,6.38,6.4,6.34,2049999.9999999998
2020-01-06,6.38,6.46,6.46,6.37,592000.0
2020-01-03,6.45,6.49,6.52,6.43,587600.0
2020-01-02,6.48,6.51,6.51,6.46,392300.0
2019-12-31,6.48,6.5,6.5,6.47,615400.0
2019-12-30,6.49,6.51,6.51,6.48,1120000.0
2019-12-27,6.49,6.5,6.5,6.46,432400.0
2019-12-26,6.5,6.52,6.52,6.49,331700.0
2019-12-24,6.52,6.54,6.54,6.49,914500.0
2019-12-23,6.53,6.55,6.55,6.51,1090000.0
2019-12-20,6.55,6.58,6.58,6.47,600100.0
2019-12-19,6.46,6.5,6.5,6.44,660200.0
2019-12-18,6.44,6.43,6.48,6.43,2380000.0
2019-12-17,6.44,6.45,6.45,6.43,1970000.0
2019-12-16,6.45,6.46,6.47,6.44,953600.0
2019-12-13,6.47,6.48,6.54,6.46,994300.0
2019-12-12,6.45,6.45,6.47,6.43,2180000.0
2019-12-11,6.45,6.48,6.48,6.44,2210000.0
2019-12-10,6.47,6.47,6.49,6.46,1230000.0
2019-12-09,6.48,6.49,6.58,6.47,579500.0
2019-12-06,6.49,6.49,6.59,6.48,441000.0
2019-12-05,6.49,6.5,6.5,6.48,223500.0
2019-12-04,6.5,6.5,6.51,6.49,383000.0
2019-12-03,6.5,6.5,6.51,6.49,119200.0
2019-12-02,6.49,6.51,6.53,6.49,476900.0
2019-11-29,6.5,6.51,6.55,6.49,493200.0
2019-11-28,6.59,6.72,6.72,6.58,743600.0
2019-11-27,6.63,6.75,6.75,6.59,478500.0
2019-11-26,6.84,6.65,6.84,6.56,327100.0
2019-11-25,6.65,6.5,6.65,6.49,1460000.0
2019-11-22,6.49,6.63,6.63,6.49,2180000.0
2019-11-21,6.59,6.52,6.61,6.52,1540000.0
2019-11-20,6.52,6.62,6.62,6.46,7790000.0
2019-11-19,6.63,6.63,6.64,6.6,217200.0
2019-11-18,6.64,6.65,6.65,6.61,786400.0
2019-11-15,6.61,6.65,6.65,6.6,886200.0
2019-11-14,6.64,6.64,6.65,6.61,1320000.0
2019-11-13,6.64,6.6,6.65,6.6,1140000.0
