date,USD
20150201,3.51
20150501,3.5398
20150601,3.555
20150701,3.572
20150801,3.568
20150901,3.555
20151201,3.5505
20150113,3.5755
20150114,3.594
20150115,3.5715
20150116,3.57
20150119,3.5665
20150120,3.5985
20150121,3.6225
20150122,3.6115
20150123,3.595
20150126,3.607
20150127,3.61
20150128,3.624
20150129,3.634
20150130,3.6235
20150402,3.558
20150502,3.573
20150602,3.5525
20150902,3.56
20151002,3.5815
20151102,3.597
20151202,3.6215
20150213,3.5815
20150216,3.569
20150217,3.5925
20150218,3.594
20150223,3.641
20150224,3.627
20150225,3.6245
20150226,3.598
20150227,3.6113
20150203,3.627
20150303,3.6275
20150403,3.6285
20150503,3.6565
20150603,3.6475
20150903,3.688
20151003,3.6965
20151103,3.714
20151203,3.696
20150313,3.6965
20150316,3.7075
20150317,3.6995
20150318,3.7
20150319,3.68
20150320,3.7225
20150323,3.6883
20150324,3.6745
20150325,3.6575
20150326,3.679
20150327,3.6675
20150330,3.7085
20150331,3.7165
20150104,3.6855
20150204,3.6835
20150304,3.6635
20150604,3.6225
20150704,3.635
20150804,3.644
20150904,3.6295
20151004,3.6445
20150413,3.6975
20150414,3.704
20150415,3.7225
20150416,3.6575
20150417,3.637
20150420,3.6235
20150421,3.6435
20150422,3.619
20150423,3.6205
20150424,3.5995
20150427,3.5645
20150428,3.5575
20150429,3.559
20150430,3.5705
20150505,3.606
20150605,3.568
20150705,3.5945
20150805,3.6075
20151105,3.6015
20151205,3.625
20150513,3.6045
20150514,3.5725
20150515,3.5665
20150518,3.572
20150519,3.585
20150520,3.609
20150521,3.606
20150522,3.5875
20150525,3.6055
20150526,3.618
20150527,3.6385
20150528,3.65
20150529,3.6515
20150106,3.6725
20150206,3.7001
20150306,3.679
20150406,3.7015
20150506,3.7105
20150806,3.7635
20150906,3.7635
20151006,3.7575
20151106,3.7355
20151206,3.7385
20150615,3.7635
20150616,3.7525
20150617,3.7508
20150618,3.7235
20150619,3.7185
20150622,3.7325
20150623,3.754
20150624,3.7525
20150625,3.7585
20150626,3.763
20150629,3.783
20150630,3.7855
20150107,3.739
20150207,3.7735
20150307,3.784
20150607,3.807
20150707,3.806
20150807,3.807
20150907,3.8045
20151007,3.7885
20150713,3.8005
20150714,3.8065
20150715,3.8048
20150716,3.8075
20150720,3.807
20150721,3.807
20150722,3.7925
20150723,3.807
20150724,3.807
20150727,3.8145
20150728,3.814
20150729,3.814
20150730,3.814
20150731,3.8175
20150308,3.842
20150408,3.8675
20150508,3.8775
20150608,3.8905
20150708,3.923
20151008,3.9265
20151108,3.9535
20151208,4.018
20150813,4.002
20150814,4.076
20150817,4.1165
20150818,4.123
20150819,4.11
20150820,4.114
20150821,4.1855
20150824,4.23
20150825,4.2395
20150826,4.2435
20150827,4.249
20150828,4.214
20150109,4.156
20150209,4.219
20150309,4.2285
20150409,4.2605
20150709,4.3045
20150809,4.3425
20150909,4.331
20151009,4.3455
20151109,4.3195
20150914,4.3165
20150915,4.306
20150917,4.2585
20150918,4.2495
20150921,4.2455
20150922,4.2925
20150923,4.3465
20150925,4.391
20150928,4.4025
20150929,4.4725
20150930,4.4455
20150110,4.4095
20150210,4.4425
20150510,4.401
20150610,4.369
20150710,4.332
20150810,4.2255
20150910,4.1305
20151210,4.1735
20151013,4.195
20151015,4.1175
20151016,4.175
20151019,4.207
20151020,4.245
20151021,4.295
20151022,4.2945
20151023,4.2251
20151026,4.2595
20151027,4.2625
20151028,4.278
20151029,4.2875
20151030,4.304
20150211,4.2925
20150311,4.283
20150411,4.2625
20150511,4.298
20150611,4.301
20150911,4.3615
20151111,4.3655
20151211,4.368
20151113,4.3775
20151116,4.3925
20151117,4.3825
20151118,4.396
20151119,4.344
20151120,4.2825
20151123,4.297
20151124,4.265
20151125,4.194
20151126,4.2115
20151127,4.2365
20151130,4.2615
20150112,4.238
20150212,4.2255
20150312,4.251
20150412,4.2155
20150712,4.2065
20150812,4.2645
20150912,4.2655
20151012,4.2585
20151112,4.2785
20151214,4.3185
20151215,4.328
20151216,4.309
20151217,4.3325
20151218,4.3185
20151221,4.307
20151222,4.2985
20151223,4.3085
20151228,4.304
20151229,4.2925
20151230,4.29
20151231,4.292
20160401,4.3235
20160501,4.3425
20160601,4.3695
20160701,4.414
20160801,4.3705
20161101,4.3985
20161201,4.404
20160113,4.3945
20160114,4.393
20160115,4.3775
20160118,4.4085
20160119,4.389
20160120,4.3795
20160121,4.376
20160122,4.337
20160126,4.2915
20160127,4.2615
20160128,4.235
20160129,4.1475
20160202,4.2045
20160302,4.2375
20160402,4.1485
20160502,4.1395
20161002,4.161
20161102,4.1085
20161202,4.165
20160215,4.146
20160216,4.1475
20160217,4.2065
20160218,4.167
20160219,4.225
20160222,4.2095
20160223,4.186
20160224,4.241
20160225,4.212
20160226,4.221
20160229,4.2195
20160103,4.194
20160203,4.162
20160303,4.143
20160403,4.129
20160703,4.097
20160803,4.1045
20160903,4.1355
20161003,4.1195
20161103,4.105
20160314,4.092
20160315,4.1175
20160316,4.1355
20160317,4.083
20160318,4.0575
20160321,4.071
20160322,4.0435
20160323,3.982
20160324,4.027
20160325,4.047
20160328,4.0375
20160329,4.0025
20160330,3.959
20160331,3.922
20160104,3.901
20160404,3.88
20160504,3.9205
20160604,3.914
20160704,3.905
20160804,3.935
20161104,3.8807
20161204,3.892
20160413,3.865
20160414,3.9035
20160415,3.9055
20160418,3.934
20160419,3.8955
20160420,3.874
20160421,3.881
20160422,3.9035
20160425,3.9135
20160426,3.937
20160427,3.9315
20160428,3.917
20160429,3.9045
20160305,3.9225
20160405,3.9765
20160505,4.003
20160605,4.0095
20160905,4.0005
20161005,4.059
20161105,4.0545
20161205,4.0265
20160513,4.0275
20160516,4.0355
20160517,4.014
20160518,4.035
20160519,4.08
20160520,4.0795
20160523,4.068
20160524,4.1185
20160525,4.106
20160526,4.0825
20160527,4.0855
20160530,4.1095
20160531,4.1195
20160106,4.1345
20160206,4.1625
20160306,4.15
20160606,4.1055
20160706,4.077
20160806,4.0625
20160906,4.0355
20161006,4.0705
20160613,4.0945
20160614,4.0925
20160615,4.101
20160616,4.096
20160617,4.0985
20160620,4.077
20160621,4.0555
20160623,4.02
20160624,4.115
20160627,4.109
20160628,4.0915
20160629,4.0575
20160630,4.0225
20160107,3.993
20160407,3.995
20160507,4.0005
20160807,4.0425
20161107,3.9855
20161207,4.0015
20160713,3.9865
20160714,3.9595
20160715,3.9585
20160718,3.9785
20160719,3.9865
20160720,4.02
20160721,4.0505
20160722,4.071
20160725,4.0815
20160726,4.076
20160727,4.0765
20160728,4.054
20160729,4.0535
20160108,4.0325
20160208,4.052
20160308,4.0585
20160408,4.0475
20160508,4.038
20160808,4.043
20160908,4.0325
20161008,3.9965
20161108,4.0195
20161208,4.0105
20160815,4.0215
20160816,3.9955
20160817,4.0
20160818,3.9945
20160819,4.011
20160822,4.034
20160823,4.0295
20160824,4.036
20160825,4.0325
20160826,4.0205
20160829,4.037
20160830,4.0495
20160109,4.0765
20160209,4.0845
20160509,4.0745
20160609,4.0795
20160709,4.061
20160809,4.059
20160909,4.0625
20160913,4.104
20160914,4.1305
20160915,4.1285
20160919,4.1315
20160920,4.144
20160921,4.1505
20160922,4.115
20160923,4.1205
20160926,4.133
20160927,4.1185
20160928,4.1405
20160929,4.114
20160930,4.1455
20160410,4.125
20160510,4.1415
20160610,4.1335
20160710,4.1535
20161010,4.1475
20161110,4.155
20161210,4.183
20161013,4.208
20161014,4.2125
20161017,4.2195
20161018,4.2105
20161019,4.19
20161020,4.1785
20161021,4.1925
20161024,4.1823
20161025,4.175
20161026,4.1605
20161027,4.1825
20161028,4.197
20161031,4.204
20160111,4.1885
20160211,4.196
20160311,4.187
20160411,4.1965
20160711,4.2095
20160811,4.206
20160911,4.22
20161011,4.2515
20161111,4.2775
20161114,4.33
20161115,4.3355
20161116,4.3485
20161117,4.3885
20161118,4.412
20161121,4.4315
20161122,4.426
20161123,4.4445
20161124,4.4635
20161125,4.465
20161128,4.461
20161129,4.463
20161130,4.466
20160112,4.468
20160212,4.448
20160512,4.4495
20160612,4.444
20160712,4.436
20160812,4.429
20160912,4.4245
20161213,4.4245
20161214,4.4425
20161215,4.4645
20161216,4.4755
20161219,4.4795
20161220,4.4795
20161221,4.4795
20161222,4.4745
20161223,4.4795
20161227,4.4785
20161228,4.4815
20161229,4.4845
20161230,4.486
20170301,4.4925
20170401,4.4995
